...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,0.216690432716524,0.04910873248427685,AK,2022-07-10,1,1,1,1,1,1,1,1,1,1
2,2.15088361131411,0.2444943274084945,AK,2022-07-11,1,0,1,1,1,1,1,0,0,1
3,0.985404016269601,0.222226834669568,AK,2022-07-12,1,1,1,0,1,1,0,0,1,1
4,1.38388105585513,0.113872191864594,AK,2022-07-13,1,1,0,1,1,1,0,0,0,1
5,0.561479239942572,0.171868779421138,AK,2022-07-14,1,1,1,1,1,1,1,0,0,1
6,0.661392355738932,0.160973036487635,AK,2022-07-15,1,1,1,1,1,1,1,0,0,1
7,1.0414087538284,0.142320407020128,AK,2022-07-16,1,1,1,1,1,1,0,0,1,1
8,1.0207923606952,0.2381664514690335,AK,2022-07-17,1,1,1,1,1,1,1,0,0,1
9,2.17067719201398,0.060059185826912,AK,2022-07-18,1,1,0,1,1,1,1,1,1,1
10,2.85670869317815,0.02799293180465035,AK,2022-07-19,1,0,0,1,1,1,0,0,1,1
11,0.680735072956475,0.1456539020949485,AK,2022-07-20,1,1,1,1,1,1,0,1,0,1
12,0.67203537892029,0.140593706667628,AK,2022-07-21,1,1,1,1,1,1,1,1,1,1
13,0.747855823418029,0.1016658873206365,AK,2022-07-22,1,1,1,1,1,1,0,0,1,1
14,0.599522145838167,0.02302640631005535,AK,2022-07-23,1,1,1,1,1,1,1,1,1,1
15,0.418254496122914,0.0930028551484635,AK,2022-07-24,1,1,1,1,1,1,0,0,1,1
16,1.27278104511458,0.2020244845393055,AK,2022-07-25,0,1,1,1,1,0,0,0,0,1
17,2.15464025845101,0.0630849004543475,AK,2022-07-26,1,0,0,1,1,1,0,1,0,1
18,1.26118870181411,0.051146585696822,AK,2022-07-27,1,1,0,1,1,1,0,0,0,1
19,1.41488766764752,0.106723751965188,AK,2022-07-28,0,0,1,1,1,0,0,0,1,1
20,0.943135017774996,0.117333814187319,AK,2022-07-29,1,1,1,1,0,1,0,0,1,0
21,0.786327877599466,0.1053089155385395,AK,2022-07-30,1,1,1,1,1,0,0,0,0,1
22,1.36658478316254,0.01750995753921515,AK,2022-07-31,1,1,0,1,1,1,0,0,1,1
23,1.52376783694133,0.103924789836619,AK,2022-08-01,1,1,1,0,1,1,1,0,0,1
24,0.411755102087914,0.073900590480078,AK,2022-08-02,1,1,1,1,1,1,1,1,1,1
25,0.402824943063032,0.01645851560991205,AK,2022-08-03,1,1,1,1,1,1,0,0,1,1
26,1.05984322533481,0.1519723544078115,AK,2022-08-04,1,0,1,1,1,1,1,1,1,1
27,1.73515855082506,0.165638208994099,AK,2022-08-05,1,0,0,1,1,1,0,0,1,1
28,0.294438726276056,0.01581552995696545,AK,2022-08-06,1,1,1,1,1,1,1,1,1,1
29,0.287872199002421,0.0156832132072104,AK,2022-08-07,1,1,1,1,1,1,1,1,1,1
30,0.78955084262331,0.0946464788645665,AK,2022-08-08,1,1,1,1,1,1,0,0,1,1
31,1.11784142244435,0.0882496803335355,AK,2022-08-09,1,1,1,1,1,1,0,0,1,1
32,0.912282274798969,0.0155178685078426,AK,2022-08-10,1,1,1,1,1,1,0,0,1,1
33,0.618039009296679,0.1407401702541705,AK,2022-08-11,1,1,1,1,1,1,0,0,1,1
34,0.211999389134546,0.01559721097949965,AK,2022-08-12,1,1,1,1,1,1,1,1,1,1
