...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
1,0.451168735371679,0.327744178474813,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
2,1.91108926045353,0.124144694084302,AK,2023-02-20,1,1,0,1,1,1,1,1,0,1,1,0
3,0.955910594836188,0.1181785933019685,AK,2023-02-21,1,1,1,1,1,1,0,1,0,1,1,1
4,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.764079857533688,0.0405900873098775,AK,2023-02-23,1,1,1,1,1,1,1,0,0,1,1,1
6,0.898610771104585,0.425330021872999,AK,2023-02-24,1,1,1,0,1,1,1,1,0,0,1,1
7,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0871290752256579,0.0319681437895778,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
10,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.0742320839384048,0.02291793694658255,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
16,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.204777660307273,0.0198128717333611,AK,2023-03-08,1,1,1,1,1,1,0,1,0,1,1,1
19,0.0723311970632828,0.0189652532539471,AK,2023-03-09,1,1,1,1,1,1,1,1,0,1,1,0
20,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0693050345995431,0.01651458981816785,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0695889096869843,0.0159195917208136,AK,2023-03-15,1,1,1,1,1,1,0,1,0,1,1,1
26,0.0698541737243222,0.0158166869290485,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
27,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0723534143563779,0.01609940009806815,AK,2023-03-18,1,1,1,1,1,1,1,1,1,1,1,1
29,NA,NA,AK,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0734127593088022,0.01722207422600455,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.901994163968042,0.77621027565204,AK,2023-03-24,0,1,1,1,1,1,0,1,0,1,1,1
35,NA,NA,AK,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.203645211444658,0.03856112670266505,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.061698262698012,0.03733997077418055,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1
45,0.0607202774526321,0.03515676926674025,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
46,0.92126111257125,0.695536724123535,AL,2023-02-22,0,1,0,1,1,1,1,1,1,1,1,1
47,0.0562205610271228,0.03127998934772295,AL,2023-02-23,1,1,1,1,1,1,1,1,0,1,0,1
48,0.92900191391057,0.4090970342258465,AL,2023-02-24,1,1,1,1,1,0,1,1,0,1,1,0
49,1.097341887524,0.777722741197465,AL,2023-02-25,1,1,0,1,0,1,1,1,0,1,0,1
