...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
1,0.985116778534364,0.0470753960215317,AK,2023-02-12,1,1,1,0,1,1,1,0,1,0,1,1
2,1.2171454247363,0.3036350637241535,AK,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1
3,0.583701058309064,0.244002177512924,AK,2023-02-14,1,1,1,1,1,1,1,0,1,0,1,1
4,0.651373525141686,0.288100698011324,AK,2023-02-15,1,1,1,1,1,1,1,0,0,0,1,1
5,1.69316933604882,0.0337103501814965,AK,2023-02-16,1,0,1,0,1,1,0,0,1,0,1,1
6,0.793336533576759,0.1251510341527565,AK,2023-02-17,1,1,1,1,1,1,0,1,1,0,1,0
7,0.382499498829861,0.196740035829031,AK,2023-02-18,1,1,1,1,1,1,1,1,0,0,1,1
8,0.471850309947747,0.3691030154600385,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
9,1.5647725510548,0.117543941348969,AK,2023-02-20,1,1,1,1,1,1,1,0,0,0,1,1
10,0.821488955083902,0.111391032699086,AK,2023-02-21,1,1,1,1,1,1,1,0,1,0,1,0
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.652407483991659,0.0196508401222902,AK,2023-02-23,1,1,1,1,1,1,1,0,0,0,1,1
13,0.92088867937941,0.4328369103327145,AK,2023-02-24,1,1,1,1,1,0,1,1,1,0,1,0
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0764782227757539,0.0149575697814687,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.0658901896881383,0.01053166546685015,AK,2023-03-05,1,1,1,1,1,1,1,1,0,0,1,1
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.168811929612779,0.00909417041497575,AK,2023-03-08,1,1,1,1,1,1,1,0,1,0,1,1
26,0.0584350639033873,0.00869871746722715,AK,2023-03-09,1,1,1,1,1,1,1,0,1,0,1,1
27,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0576945958243614,0.007451295510703,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
