"","es_score","brier_score","location","target_date","X22A_50_CI","X22B_50_CI","other_50_CI","X22A_95_CI","X22B_95_CI","other_95_CI"
"66",0.294869208138297,0.0189039632223864,"AL",2022-09-20,1,1,1,0,0,1
"67",0.297654136589766,0.122488720518797,"AL",2022-09-21,1,1,1,1,1,1
"68",0.370904362024017,0.164142198506827,"AL",2022-09-22,1,1,1,0,0,1
"69",1.98578609200534,0.292107250360447,"AL",2022-09-23,0,0,1,0,0,1
"70",0.166434105947139,0.0179064375502476,"AL",2022-09-24,1,1,1,1,1,1
"71",0.492399083820681,0.201210057743518,"AL",2022-09-25,1,1,1,0,0,1
"72",0.480361014767588,0.201421281379102,"AL",2022-09-26,1,1,1,0,0,1
"73",0.612431283090189,0.263112953181833,"AL",2022-09-27,1,1,1,0,0,1
"74",0.330587597742545,0.0169603204669463,"AL",2022-09-28,1,1,1,1,1,1
"75",0.655176926968362,0.263831465928497,"AL",2022-09-29,1,1,1,0,0,1
"76",0.0760400191109813,0.0165055513838785,"AL",2022-09-30,1,1,1,0,0,1
"77",1.4610232160576,0.314200081003344,"AL",2022-10-01,0,0,1,0,0,1
"78",0.166287484332568,0.0160624999189269,"AL",2022-10-02,1,1,1,1,1,1
"79",0.0178518016194082,0.0158452644202794,"AL",2022-10-03,1,1,1,1,1,1
"80",NA,NA,"AL",2022-10-04,NA,NA,NA,NA,NA,NA
"81",0.072544440187043,0.0154191761839148,"AL",2022-10-05,1,1,1,1,1,1
"82",NA,NA,"AL",2022-10-06,NA,NA,NA,NA,NA,NA
"83",NA,NA,"AL",2022-10-07,NA,NA,NA,NA,NA,NA
"84",0.0676833842137166,0.0148004377386161,"AL",2022-10-08,1,1,1,1,1,1
"85",2.75951981145068,0.239997874328185,"AR",2022-08-28,0,0,1,0,0,1
"86",1.45549616440348,0.110045600024196,"AR",2022-08-29,1,1,0,0,0,0
"87",1.2260909132467,0.0871498556539797,"AR",2022-08-30,1,1,0,0,0,0
"88",2.11602316668127,0.131962873202746,"AR",2022-08-31,1,1,0,0,1,0
"89",3.28975774416219,0.149964352394452,"AR",2022-09-01,0,0,1,1,1,1
"90",1.73799450251079,0.219270358194376,"AR",2022-09-02,1,0,0,0,0,0
"91",0.460263932333524,0.00881052519461738,"AR",2022-09-03,1,1,1,0,0,1
"92",0.829483263413371,0.144252154778167,"AR",2022-09-04,1,1,1,0,0,1
"93",1.04427233389163,0.140769932258042,"AR",2022-09-05,1,1,0,1,0,0
"94",2.35126318252908,0.118961492688435,"AR",2022-09-06,1,1,0,0,0,0
"95",5.45255129790928,0.187707181038491,"AR",2022-09-07,0,0,0,0,0,0
"96",4.12748955160586,0.221326185429321,"AR",2022-09-08,0,0,1,0,0,1
"97",2.14461872044397,0.180330676682513,"AR",2022-09-09,0,0,1,0,0,1
"98",0.674100526442224,0.125104544249734,"AR",2022-09-10,1,1,1,1,1,1
"99",0.404672902523548,0.062816277317049,"AR",2022-09-11,1,1,1,0,0,1
"100",3.27486734343417,0.159027385597422,"AR",2022-09-12,0,0,1,0,0,1
"101",1.0069761990112,0.104111503722596,"AR",2022-09-13,1,1,0,0,0,0
"102",1.71027266932857,0.0475924671692066,"AR",2022-09-14,0,1,0,1,0,0
"103",1.21822877991249,0.144813574882288,"AR",2022-09-15,0,1,1,0,0,1
"104",1.25639166943543,0.135568198765843,"AR",2022-09-16,1,1,0,0,0,0
"105",1.15171639223616,0.311106047576008,"AR",2022-09-17,1,0,0,1,0,0
"106",1.13602599772829,0.190653175511482,"AR",2022-09-18,0,0,1,1,1,1
"107",1.95749244918502,0.117980436393562,"AR",2022-09-19,1,1,0,1,0,0
"108",0.488444099422074,0.0793969188567691,"AR",2022-09-20,1,1,1,0,0,1
"109",1.96896065988562,0.119679236011015,"AR",2022-09-21,1,1,0,0,0,0
"110",0.399776910848244,0.0626581253617823,"AR",2022-09-22,1,1,1,0,0,1
"111",0.675613236653117,0.213991520419461,"AR",2022-09-23,1,1,1,0,0,1
"112",0.0141280924623954,0.00755920610585514,"AR",2022-09-24,1,1,1,1,1,1
"113",0.0436152254185035,0.00750810288926793,"AR",2022-09-25,1,1,1,1,1,1
"114",1.31771802252159,0.0611584078741089,"AR",2022-09-26,0,1,0,0,0,0
"115",0.326787916947596,0.0665409334377938,"AR",2022-09-27,1,1,1,1,1,1
"116",0.514917795628247,0.0945626439244103,"AR",2022-09-28,1,1,1,0,0,1
"117",0.914981403235213,0.00730886146416564,"AR",2022-09-29,1,1,1,0,0,1
"118",1.48047334610005,0.244285070008043,"AR",2022-09-30,0,0,1,0,0,1
"119",0.0398574937867537,0.00721211229469993,"AR",2022-10-01,1,1,1,0,0,1
"120",0.204270033895854,0.00716440528130841,"AR",2022-10-02,1,1,1,1,1,1
"121",1.77302337955197,0.185247402313438,"AR",2022-10-03,0,0,1,0,0,1
"122",1.2856727743675,0.2012193803781,"AR",2022-10-04,1,0,0,1,0,0
"123",1.67868381844443,0.00702380907825727,"AR",2022-10-05,0,0,1,0,0,1
"124",0.202385361771058,0.0069777493009079,"AR",2022-10-06,1,1,1,1,1,1
"125",2.18473655528709,0.197383238374889,"AR",2022-10-07,1,0,0,0,0,0
"126",0.483458135449152,0.145891298564662,"AR",2022-10-08,1,1,1,1,1,1
"127",1.11909435069812,0.086340619786091,"AZ",2022-08-28,1,1,1,0,0,1
"128",1.3951638987706,0.080510744484941,"AZ",2022-08-29,1,1,1,0,0,1
"129",2.11193492472264,0.117021184832986,"AZ",2022-08-30,0,0,1,0,0,1
"130",1.46043893847471,0.0400827341167762,"AZ",2022-08-31,0,1,0,0,0,0
"131",2.04574011841373,0.139052603811579,"AZ",2022-09-01,1,0,0,0,0,0
"132",0.992074640228726,0.0826919888532754,"AZ",2022-09-02,1,1,0,1,0,0
"133",0.621759624994381,0.00535999397377428,"AZ",2022-09-03,1,1,1,0,0,1
"134",0.34473860315757,0.0663279374638217,"AZ",2022-09-04,1,1,1,0,0,1
"135",2.44707437878875,0.129658439064688,"AZ",2022-09-05,0,0,0,0,0,0
"136",3.7357532464412,0.160831981105275,"AZ",2022-09-06,0,0,0,0,0,0
"137",0.327681174299773,0.0526184081035947,"AZ",2022-09-07,1,1,1,0,0,1
"138",2.63168276834287,0.221193175864417,"AZ",2022-09-08,0,0,1,0,0,1
"139",4.8661571569716,0.245819161539043,"AZ",2022-09-09,0,0,1,0,0,1
"140",1.85378721866193,0.152933758737626,"AZ",2022-09-10,1,0,0,0,0,0
"141",0.336695083987398,0.0585941477858552,"AZ",2022-09-11,1,1,1,1,1,1
"142",3.08224431383557,0.105350688781701,"AZ",2022-09-12,1,0,0,0,0,0
"143",1.22816999802232,0.110590180878321,"AZ",2022-09-13,1,0,0,0,1,0
"144",3.84405860685135,0.210952010176965,"AZ",2022-09-14,0,0,1,0,0,0
"145",1.2763477316388,0.121225787645,"AZ",2022-09-15,0,0,1,0,0,1
"146",0.312630724138642,0.00324030611641449,"AZ",2022-09-16,1,1,1,1,1,1
"147",1.33428388530622,0.125244131867914,"AZ",2022-09-17,1,0,0,0,0,0
"148",1.03545859291727,0.0888798045435059,"AZ",2022-09-18,1,1,0,1,0,0
"149",4.74699513258459,0.132567442651729,"AZ",2022-09-19,0,0,0,0,0,0
"150",1.03014297168478,0.0658996040287129,"AZ",2022-09-20,1,1,0,0,0,0
"151",4.38452240150883,0.208783984441621,"AZ",2022-09-21,0,0,0,0,0,0
"152",1.65489922899933,0.108191762867426,"AZ",2022-09-22,1,0,0,0,0,0
"153",0.588440206554439,0.00247154512624701,"AZ",2022-09-23,1,1,1,0,0,1
"154",0.0721572490694622,0.0023776753998768,"AZ",2022-09-24,1,1,1,1,1,1
"155",1.30445271927796,0.0974818888118898,"AZ",2022-09-25,0,0,1,0,0,1
"156",2.60052809442772,0.0833267710823251,"AZ",2022-09-26,1,0,0,1,0,0
"157",3.32116684537891,0.10681766217136,"AZ",2022-09-27,1,0,0,1,0,0
"158",2.15093833744633,0.117625997143813,"AZ",2022-09-28,0,0,0,0,0,0
"159",2.6728721137295,0.158767796479758,"AZ",2022-09-29,1,0,0,0,0,0
"160",0.167815031076976,0.00188432897634229,"AZ",2022-09-30,1,1,1,0,0,1
"161",0.572105191158947,0.0671590850503202,"AZ",2022-10-01,1,1,1,1,1,1
"162",5.11654117809298,0.315559866392725,"AZ",2022-10-02,0,0,0,0,0,0
"163",9.4451180960472,0.186496957254195,"AZ",2022-10-03,0,0,0,0,0,0
"164",3.75475477156431,0.197334880653217,"AZ",2022-10-04,0,0,0,0,0,0
"165",1.38073775025174,0.0816573507767686,"AZ",2022-10-05,0,0,1,0,0,1
"166",1.65002212479497,0.116833890063803,"AZ",2022-10-06,0,0,1,0,0,1
"167",2.46540127331691,0.141958047676374,"AZ",2022-10-07,0,0,0,0,0,0
"168",4.28979607466411,0.379066223088423,"AZ",2022-10-08,0,0,0,0,0,0
"169",5.12261798064347,0.0689713252448795,"CA",2022-08-28,1,1,0,0,0,0
"170",8.15006116905326,0.0612818309920923,"CA",2022-08-29,1,1,0,0,0,0
"171",5.77309138329007,0.0783845715368833,"CA",2022-08-30,1,0,0,0,1,0
"172",7.67777264909832,0.0965192479495978,"CA",2022-08-31,1,0,0,0,0,0
"173",2.07961207705508,0.0619336260963911,"CA",2022-09-01,1,1,1,0,0,1
"174",4.89233063732883,0.0863136621313478,"CA",2022-09-02,1,0,0,0,0,0
"175",1.98176079793529,0.0658710319211594,"CA",2022-09-03,1,1,0,0,0,0
"176",9.63921806200297,0.0852898212502481,"CA",2022-09-04,0,0,0,0,0,0
"177",1.39940910899011,0.0756119147610994,"CA",2022-09-05,1,1,1,1,1,1
"178",7.7737178752042,0.0703767823899093,"CA",2022-09-06,1,0,0,0,0,0
"179",12.0480170499854,0.105501023150194,"CA",2022-09-07,0,0,0,0,0,0
"180",6.97046375864297,0.104029068575807,"CA",2022-09-08,0,0,1,0,0,1
"181",6.1864107118794,0.0841996393223915,"CA",2022-09-09,1,0,0,0,0,0
"182",6.26686832613666,0.0755646083810795,"CA",2022-09-10,1,0,0,0,1,0
"183",12.9983946176023,0.107391496119721,"CA",2022-09-11,0,0,0,0,0,0
"184",16.2243930520559,0.078284377330994,"CA",2022-09-12,1,0,0,0,0,0
"185",19.3731933820697,0.0931305049009209,"CA",2022-09-13,0,0,0,0,0,0
"186",6.14342766836566,0.0908258735873523,"CA",2022-09-14,1,0,0,0,0,0
"187",10.4360699265572,0.0947133761032775,"CA",2022-09-15,0,0,0,0,0,0
"188",8.58835277584445,0.0818757473963583,"CA",2022-09-16,1,0,0,0,0,0
"189",15.588836664335,0.110900498536565,"CA",2022-09-17,0,0,0,0,0,0
"190",15.8402064849475,0.0947507030921237,"CA",2022-09-18,1,0,0,0,0,0
"191",17.5199073376427,0.0882324901363893,"CA",2022-09-19,0,0,0,0,0,0
"192",4.09704291302096,0.0711041233175867,"CA",2022-09-20,0,0,0,0,0,0
"193",12.8084115165431,0.118864606577189,"CA",2022-09-21,0,0,0,0,0,0
"194",4.86933948153471,0.0783208168002803,"CA",2022-09-22,1,0,0,0,0,0
"195",7.93987740771098,0.0713617455292328,"CA",2022-09-23,0,0,0,1,0,0
"196",19.6709595368751,0.124144624177031,"CA",2022-09-24,0,0,0,0,0,0
"197",15.4584703232299,0.12145618122009,"CA",2022-09-25,0,0,0,0,0,0
