"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23F_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23F_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.12995566208473,0.0799156976239467,"AK",2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
"6",0.716516047724097,0.277078957448099,"AK",2024-01-05,1,1,1,1,1,0,1,1,1,0,1,0
"7",NA,NA,"AK",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.0958204923598692,0.0534146951512904,"AK",2024-01-08,1,1,1,1,1,1,1,1,1,1,1,1
"10",0.441885267516934,0.0480454379679097,"AK",2024-01-09,1,1,1,1,1,1,0,0,1,0,1,1
"11",0.241961447278371,0.0431321856046091,"AK",2024-01-10,1,1,1,1,1,1,1,1,0,0,1,0
"12",0.0719035954500679,0.0386493326430637,"AK",2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
"13",NA,NA,"AK",2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.986012209896859,0.727666485994291,"AK",2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
"17",0.0395558219734453,0.0217719026120413,"AK",2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
"18",0.209426360770354,0.0193238512020572,"AK",2024-01-17,1,1,1,1,1,1,1,1,1,1,1,1
"19",0.969981441073961,0.424810715460602,"AK",2024-01-18,1,1,1,1,1,0,1,0,1,1,1,0
