"","es_score","brier_score","location","target_date","X23F_50_CI","X24A_50_CI","recombinant_50_CI","other_50_CI","X23F_95_CI","X24A_95_CI","recombinant_95_CI","other_95_CI"
"1",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
"2",1.14975622014256,0.844157421160561,"AK",2024-01-15,0,0,1,1,0,0,1,1
"3",0.0175804423109027,0.00881430679059079,"AK",2024-01-16,1,1,1,1,1,0,1,0
"4",0.107363939963838,0.00811218547905008,"AK",2024-01-17,1,1,1,1,1,1,1,1
"5",1.02387453267232,0.431018881744554,"AK",2024-01-18,1,0,1,0,1,0,1,0
"6",NA,NA,"AK",2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,"AK",2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"AK",2024-01-22,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.0377021368242613,0.0049970184531609,"AK",2024-01-23,1,1,1,1,1,1,1,1
"11",NA,NA,"AK",2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
"12",1.23668765913926,0.888474647886444,"AK",2024-01-25,1,0,1,0,1,0,1,0
"13",0.0307840868426289,0.00395060758788857,"AK",2024-01-26,1,1,1,1,1,0,1,0
"14",0.00743546820513107,0.00365606815627926,"AK",2024-01-27,1,1,1,1,1,1,1,1
"15",0.00705167892963389,0.00338470436355757,"AK",2024-01-28,1,1,1,1,1,1,1,1
"16",0.00736939614763615,0.00313449319389866,"AK",2024-01-29,1,1,1,1,1,1,1,1
"17",0.00686722305517133,0.0029036117073585,"AK",2024-01-30,1,1,1,1,1,1,1,1
"18",NA,NA,"AK",2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.00669846495147698,0.00249342335706767,"AK",2024-02-01,1,1,1,1,0,0,1,1
"20",1.13363840725054,0.459586858227061,"AK",2024-02-02,1,0,1,0,1,0,1,0
"21",NA,NA,"AK",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"AK",2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,"AK",2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"AK",2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"AK",2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,"AK",2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,"AK",2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"AK",2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"AK",2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"AK",2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"AK",2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,"AK",2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,"AK",2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,"AK",2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
