"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23F_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23F_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.288396215836457,0.208878166605461,"AK",2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
"6",0.82463485373055,0.300972795707412,"AK",2024-01-05,1,1,1,1,1,1,1,1,1,0,0,1
"7",NA,NA,"AK",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.272612857090334,0.186668124238703,"AK",2024-01-08,1,1,1,1,1,1,1,1,1,1,1,1
"10",1.07530478570078,0.181392217709262,"AK",2024-01-09,1,1,1,0,1,1,1,1,1,0,1,0
"11",0.651154967696641,0.176231658421765,"AK",2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1
"12",0.245706991523001,0.17118873299461,"AK",2024-01-11,1,1,1,1,1,1,1,1,1,0,0,1
"13",NA,NA,"AK",2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.582559608890678,0.45480254250794,"AK",2024-01-15,1,1,1,1,1,1,1,1,0,0,1,1
"17",0.24443892279044,0.147804768529628,"AK",2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
"18",0.96008265215045,0.143502818686872,"AK",2024-01-17,1,1,1,0,1,1,1,1,1,1,1,1
"19",0.656875426384279,0.34532201521326,"AK",2024-01-18,1,1,1,1,1,0,1,1,1,0,1,0
