...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23F_50_CI,X24A_50_CI,X23I_50_CI,other_50_CI,X23A_95_CI,X23B_95_CI,X23F_95_CI,X24A_95_CI,X23I_95_CI,other_95_CI
1,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.137924684797273,0.081388383067483,AK,2024-01-04,1,1,1,1,1,1,1,1,0,0,1,1
6,0.725717467172827,0.277324767040031,AK,2024-01-05,1,1,1,1,1,0,1,1,1,0,1,0
7,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.092233353804598,0.0574900058185195,AK,2024-01-08,1,1,1,1,1,1,1,1,1,0,1,0
10,0.477024057332807,0.052506663855084,AK,2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1
11,0.245703767399808,0.04788630348977785,AK,2024-01-10,1,1,1,1,1,1,1,1,0,0,1,1
12,0.0788432262513061,0.0436111070634125,AK,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
13,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.956412493756315,0.70348004770971,AK,2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
17,0.0434584008645858,0.026781956123874,AK,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
18,0.24698352022845,0.02420194107047735,AK,2024-01-17,1,1,1,1,1,1,1,1,0,0,1,1
19,0.955519558028331,0.417749406410437,AK,2024-01-18,1,1,1,1,1,0,1,1,1,0,1,0
20,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
