...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.211405496135125,0.153169854243255,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
2,0.844993333468267,0.30703756528594,AK,2023-01-09,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1
3,1.36091242060522,0.2062736107741575,AK,2023-01-10,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
4,1.65187319817708,0.32716912970673,AK,2023-01-11,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1
5,1.64561206197483,0.1923950476415325,AK,2023-01-12,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
6,0.837620592623963,0.245526798434739,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
7,0.317519681424739,0.21841884034459,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
8,0.329780672595674,0.233046184345827,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
9,0.895925749718109,0.2539448248665255,AK,2023-01-16,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
10,3.10904217649007,0.292185609008968,AK,2023-01-17,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1
11,2.75209897359985,0.321028167158541,AK,2023-01-18,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1
12,0.384154363804138,0.2441319978029605,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,3.17506539537491,0.2938924906725515,AK,2023-01-20,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.277820634499832,0.264436611331442,AK,2023-01-22,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
16,1.24757833366855,0.3838854458805225,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
17,4.00203585614239,0.4100508208004975,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0
18,2.58631904358457,0.4263643130773245,AK,2023-01-25,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
19,5.88364652878045,0.413358904762782,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
20,1.01548822301075,0.328832347243456,AK,2023-01-27,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
21,0.726703326284587,0.496655274596579,AK,2023-01-28,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
22,1.13723673113804,0.3733331547074215,AK,2023-01-29,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
23,2.53635188884246,0.54210765195677,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,1.24793350869408,0.278602640220302,AK,2023-01-31,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
25,0.235480344624036,0.056881803643732,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
26,1.42367700513109,0.2362189528009275,AK,2023-02-02,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
27,1.12446610474884,0.378229710874989,AK,2023-02-03,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
28,2.89967901572056,0.3879624123678355,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
29,0.274728664341212,0.03422761674785245,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.00880451801281,0.0770362460990505,AK,2023-02-06,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
31,1.02436820246177,0.2728041868638705,AK,2023-02-07,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
32,1.59782046990813,0.3009678312156685,AK,2023-02-08,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
33,0.812520507777399,0.380963926762916,AK,2023-02-09,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.563232532638771,0.0173254570706634,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
35,0.4205809518591,0.1414867408687585,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
36,0.192228941466112,0.0130474549902655,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,3.88037541111851,0.348124028727465,AK,2023-02-13,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1
38,1.5812268660299,0.2783439003844415,AK,2023-02-14,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
39,1.79709009944322,0.336237171844309,AK,2023-02-15,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
40,0.290942489187177,0.0072926483205422,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
41,0.538043841534539,0.126917788863882,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.818464959065215,0.219328936196183,AK,2023-02-18,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
43,1.44806612323387,0.67391417862917,AL,2023-01-08,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1
44,0.912257843872222,0.2955079376936115,AL,2023-01-09,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
45,0.878817244566533,0.2364469162871685,AL,2023-01-10,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
46,0.427673363389447,0.306715120495827,AL,2023-01-11,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
47,0.938872187216869,0.4243618037137735,AL,2023-01-12,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
