...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
1,0.919096729433419,0.581709840970625,AK,2022-10-30,1,0,1,0,1,1,1,0,1,0,1,1
2,NA,NA,AK,2022-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.228879672597112,0.077797819539367,AK,2022-11-02,1,1,1,1,1,1,1,1,1,1,1,1
5,NA,NA,AK,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2022-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2022-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2022-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.537687362125659,0.279903583676206,AK,2022-11-14,1,1,1,1,1,1,1,0,1,0,1,1
17,NA,NA,AK,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2022-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.272262429148892,0.275064491711257,AK,2022-11-17,1,1,1,1,1,1,1,1,1,1,1,1
20,NA,NA,AK,2022-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1.37105234660413,0.4979717068994325,AK,2022-11-22,1,1,1,0,1,0,1,1,1,0,1,0
25,0.991996242400553,0.742113555123735,AK,2022-11-23,1,1,0,1,1,1,1,0,0,1,1,1
26,NA,NA,AK,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.25237664794412,0.280909932468798,AK,2022-11-26,1,1,1,1,1,1,1,1,1,1,1,1
29,0.975586270338452,0.4310111142595165,AK,2022-11-27,0,1,1,1,1,1,0,0,1,0,1,1
30,0.513212628661455,0.4975246202184775,AK,2022-11-28,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2022-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.193373990403235,0.071205368872008,AK,2022-11-30,1,1,1,1,1,1,1,1,1,1,1,1
33,NA,NA,AK,2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.0936189154124413,0.0263445426081542,AK,2022-12-09,1,1,1,1,1,1,1,0,1,0,1,1
42,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.682281184869133,0.355170937595729,AL,2022-10-30,0,1,1,1,1,1,1,1,1,1,1,1
44,0.52448738993075,0.1784345320494925,AL,2022-10-31,1,1,1,1,1,1,0,0,1,1,1,1
45,0.549215572875951,0.285470359322558,AL,2022-11-01,1,1,1,1,1,1,0,0,1,0,1,1
46,0.378693036443669,0.2355284657843085,AL,2022-11-02,1,1,1,1,1,1,1,0,1,0,1,1
47,1.70050852799529,0.4042800767674595,AL,2022-11-03,0,0,1,1,1,1,0,0,0,0,1,1
48,0.702715506534996,0.468852660992776,AL,2022-11-04,1,1,1,0,1,1,1,1,1,1,1,1
49,0.983580540336621,0.67742718428838,AL,2022-11-05,1,1,0,1,1,1,1,0,0,1,1,1
50,0.658409836110024,0.43258044926561,AL,2022-11-06,1,1,1,1,1,1,0,1,1,0,1,1
51,0.579887138790788,0.251635709842597,AL,2022-11-07,1,1,1,1,1,1,0,1,1,0,1,1
52,0.537028125256693,0.153654585013203,AL,2022-11-08,1,1,1,1,1,1,1,0,1,0,1,1
53,0.615079290453156,0.3294719205662085,AL,2022-11-09,1,1,1,1,1,1,0,0,1,0,1,1
54,0.751838998856848,0.2545851522249675,AL,2022-11-10,1,1,1,1,1,1,0,1,1,0,1,1
55,0.527047342525324,0.340245071810499,AL,2022-11-11,1,1,1,1,1,1,1,1,1,1,1,1
56,0.358564765334873,0.24221376631835,AL,2022-11-12,1,1,1,1,1,1,0,0,1,1,1,1
57,0.253639512309048,0.260148993591386,AL,2022-11-13,1,1,1,1,1,1,1,0,1,0,1,1
58,1.04028237634986,0.286325236829608,AL,2022-11-14,1,1,1,0,1,1,1,0,1,0,1,1
59,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.428144155732108,0.257200786421292,AL,2022-11-16,1,1,1,1,1,1,0,0,1,0,0,1
61,0.879061062533957,0.3520871443973765,AL,2022-11-17,1,1,0,1,1,1,1,0,0,1,1,1
62,1.38466866252837,0.2197383438993135,AL,2022-11-18,1,0,1,0,1,1,1,0,1,0,1,1
63,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.977853998811803,0.441789844722414,AL,2022-11-21,1,1,1,1,1,0,1,1,1,0,1,0
66,0.869968960950619,0.409277807172998,AL,2022-11-22,0,1,1,1,1,1,0,0,1,0,1,1
67,0.242270353594166,0.1493890888851795,AL,2022-11-23,1,1,1,1,1,1,1,0,1,0,1,1
68,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.872849397825123,0.415321625130956,AL,2022-11-25,1,1,0,1,1,1,1,0,0,0,1,1
70,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.579487664957117,0.174511280024215,AL,2022-11-28,1,1,1,1,1,1,0,0,1,1,1,1
73,0.967914471750726,0.367953942136028,AL,2022-11-29,1,0,1,1,1,1,1,0,1,0,1,1
74,0.827908515629706,0.2525807026194605,AL,2022-11-30,1,1,1,1,0,1,1,0,0,0,0,1
75,1.22138941553861,0.3095977301304005,AL,2022-12-01,1,0,1,1,1,1,0,0,1,0,1,1
76,0.851868352007911,0.3157356531871065,AL,2022-12-02,1,0,1,1,1,1,1,0,1,0,1,1
77,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1.22206532810617,0.289002479410695,AL,2022-12-04,1,0,1,1,1,1,0,0,1,0,1,1
79,1.54009352776209,0.334643010274633,AL,2022-12-05,1,0,1,0,1,1,1,0,1,0,1,1
80,1.58550694970731,0.376035176670909,AL,2022-12-06,1,1,0,0,0,1,1,0,1,0,1,1
81,0.411729821330608,0.2445218560992525,AL,2022-12-07,1,1,1,1,1,1,1,1,1,1,1,1
82,1.80662448030285,0.3535417125896355,AL,2022-12-08,1,0,1,0,1,1,0,0,0,1,1,1
83,0.920373863334617,0.2299092516590325,AL,2022-12-09,1,1,1,1,1,0,1,1,0,1,1,0
84,0.443995458779512,0.12474648287515,AL,2022-12-10,1,1,1,1,1,1,0,1,0,0,0,1
85,1.20494285758833,0.3846004542751555,AR,2022-10-30,1,1,1,1,1,0,1,0,1,1,1,0
86,1.41187092730228,0.267726479799177,AR,2022-10-31,0,1,1,1,1,1,0,0,1,1,1,1
87,1.37524281209812,0.350122299903094,AR,2022-11-01,1,0,1,0,1,1,0,0,1,0,1,1
88,2.69490220425859,0.1873952702845855,AR,2022-11-02,0,1,1,0,1,1,0,0,1,0,0,1
89,1.7027447756117,0.1522890501388195,AR,2022-11-03,0,0,1,1,1,1,0,0,0,0,1,1
90,1.2271402843275,0.334062342795414,AR,2022-11-04,1,1,1,0,1,1,0,0,1,0,0,1
91,1.20691500332931,0.296184356620642,AR,2022-11-05,0,1,1,1,1,1,0,0,1,1,1,1
92,1.33422687898351,0.597703511714265,AR,2022-11-06,0,0,1,1,1,1,0,0,1,0,1,1
93,0.543943208001309,0.083701055082463,AR,2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1
94,1.12228063405795,0.2831351669064105,AR,2022-11-08,1,1,0,1,1,1,0,0,1,0,1,1
95,0.543281777000507,0.1807678535937025,AR,2022-11-09,1,1,1,1,1,1,1,0,1,0,1,1
96,1.89967444991539,0.102411760812892,AR,2022-11-10,1,0,1,0,1,1,0,0,0,0,1,1
97,0.381452308784421,0.1096357498594275,AR,2022-11-11,1,1,1,1,1,1,1,0,1,0,1,1
98,0.144937501152701,0.1173903800471235,AR,2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1
99,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2.92207457234878,0.378053071811571,AR,2022-11-14,1,0,1,0,1,1,0,0,1,1,1,1
101,0.755403330782975,0.3866695871937725,AR,2022-11-15,1,1,1,1,1,1,0,1,1,0,1,1
102,0.186525449077416,0.1540679922381725,AR,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,1
103,1.37647364165987,0.248449900054331,AR,2022-11-17,1,1,1,1,1,1,1,0,1,0,1,1
104,1.01916384049836,0.280680807778478,AR,2022-11-18,1,1,1,1,1,1,0,0,1,0,1,1
105,0.928378993994701,0.43939884441035,AR,2022-11-19,1,1,1,1,1,0,0,0,1,0,1,0
106,0.734781374035637,0.2870555352908665,AR,2022-11-20,1,1,1,1,1,1,1,1,1,1,1,1
107,1.90425532983542,0.266268191896666,AR,2022-11-21,1,0,1,0,1,1,0,0,1,0,0,1
108,3.8884389962364,0.329772903199976,AR,2022-11-22,1,0,0,0,1,1,1,0,0,0,0,1
109,2.01397359388238,0.352210725468753,AR,2022-11-23,1,0,1,0,1,0,0,0,0,0,0,0
110,0.869212561477698,0.4019822753734385,AR,2022-11-24,1,1,1,1,1,0,1,1,1,0,1,0
111,2.76132720738108,0.2496612256063745,AR,2022-11-25,1,0,1,0,1,1,0,0,1,0,1,1
112,2.28831953755649,0.678306071139355,AR,2022-11-26,1,0,0,0,1,0,1,0,0,0,1,0
113,0.685003673475998,0.3777757004013565,AR,2022-11-27,0,1,1,1,1,1,0,0,1,1,1,1
114,4.20910152227372,0.2978392007328255,AR,2022-11-28,0,0,1,0,1,1,0,0,0,0,0,1
115,2.66995361624017,0.2882560056227355,AR,2022-11-29,1,0,1,1,1,1,0,0,1,0,0,1
116,1.36052169222861,0.3019407224314345,AR,2022-11-30,0,1,1,1,1,1,0,0,1,0,0,1
117,1.65119506083945,0.3278980959804595,AR,2022-12-01,1,1,1,1,1,1,1,0,1,0,0,1
118,2.23440194351583,0.2407784599167615,AR,2022-12-02,1,0,0,0,1,1,0,0,0,0,1,1
119,0.842096990042471,0.4110679987850135,AR,2022-12-03,1,1,0,1,1,1,1,0,0,1,1,1
120,0.303904841991069,0.2793564038948925,AR,2022-12-04,1,1,1,1,1,1,1,0,1,0,1,1
121,2.76978133978324,0.348116932832534,AR,2022-12-05,1,0,0,0,1,1,1,0,0,1,0,1
122,3.89256713080212,0.3624218377378395,AR,2022-12-06,0,0,0,1,0,0,0,0,0,0,0,0
123,2.0333636481247,0.284377018841399,AR,2022-12-07,1,0,1,1,1,1,1,0,0,0,0,1
124,3.834664203321,0.381719599154096,AR,2022-12-08,1,1,0,0,1,1,0,0,0,0,0,1
125,1.70884946974696,0.266457964375495,AR,2022-12-09,1,1,0,1,1,1,0,0,0,0,0,1
126,0.707068148064632,0.262827344196475,AR,2022-12-10,1,1,1,1,1,1,1,0,1,0,0,1
127,2.55550155544984,0.3308486763946025,AZ,2022-10-30,0,1,1,0,1,0,0,0,0,0,1,0
128,2.37468544750886,0.293431512562773,AZ,2022-10-31,1,1,1,1,1,1,0,0,0,0,1,1
129,1.7736929743545,0.2569601698332265,AZ,2022-11-01,1,1,1,1,1,1,0,1,0,0,1,1
130,3.0248659238526,0.2750167854298385,AZ,2022-11-02,1,1,0,0,1,1,1,0,0,0,0,1
131,6.65076671860914,0.371628733242487,AZ,2022-11-03,0,0,1,1,0,1,0,0,0,0,0,1
132,2.27065435004475,0.255330682014977,AZ,2022-11-04,1,1,0,1,1,1,0,1,1,1,0,1
133,4.54878398234092,0.3223244150029725,AZ,2022-11-05,1,1,0,0,0,1,1,0,0,0,0,1
134,5.7808546449141,0.276308825930402,AZ,2022-11-06,1,0,1,0,1,1,0,0,0,0,1,1
135,5.69609474215392,0.2798468270164835,AZ,2022-11-07,0,0,1,0,0,0,0,0,0,0,0,0
136,2.78981200117789,0.2978170148346485,AZ,2022-11-08,0,1,1,1,1,1,1,0,0,0,1,1
137,3.0222341420668,0.307625997630608,AZ,2022-11-09,1,1,1,1,1,0,1,0,0,0,0,0
138,2.33956107621697,0.3098420939924905,AZ,2022-11-10,1,1,0,1,1,1,0,0,0,0,1,1
139,13.8583273249625,0.3750947746400455,AZ,2022-11-11,0,0,0,0,0,1,0,0,0,0,0,1
140,8.32538526985722,0.29012336669475153,AZ,2022-11-12,1,0,1,0,1,1,0,0,0,0,1,1
141,1.64588049819114,0.307495455869657,AZ,2022-11-13,1,1,1,1,1,0,0,1,0,0,0,0
142,5.89772565973441,0.2834479661441165,AZ,2022-11-14,0,0,0,0,0,1,0,0,0,0,0,1
143,7.65990810121507,0.29221163569741,AZ,2022-11-15,1,0,1,0,1,1,0,0,1,0,0,1
144,6.24029264017757,0.3096153093452795,AZ,2022-11-16,0,0,1,0,1,1,0,0,0,0,0,1
145,15.482569653979,0.303940315028666,AZ,2022-11-17,1,0,0,0,1,1,1,0,0,0,0,1
146,9.26020389251693,0.3016454011657585,AZ,2022-11-18,1,0,0,0,1,1,1,0,1,0,0,1
147,1.65584697460894,0.2348012873975545,AZ,2022-11-19,1,1,1,1,1,1,1,1,0,0,1,1
148,9.52770657213626,0.3406656428541855,AZ,2022-11-20,1,0,1,0,1,1,1,0,0,0,0,1
149,14.3670998267293,0.286327905148412,AZ,2022-11-21,1,0,1,0,1,0,0,0,0,0,1,0
150,39.8817193379189,0.3796791940308645,AZ,2022-11-22,1,0,0,0,1,0,0,0,0,0,1,0
151,17.9626106356597,0.3289102494502265,AZ,2022-11-23,1,0,1,0,0,1,0,0,0,0,1,1
152,2.10704885736366,0.34086664071932,AZ,2022-11-24,1,1,1,0,1,0,1,0,0,0,1,0
153,13.8514048744599,0.2873637953114355,AZ,2022-11-25,1,0,1,0,1,1,1,0,0,0,0,1
154,15.6223793279344,0.3480086274599905,AZ,2022-11-26,0,0,1,0,1,0,0,0,0,0,0,0
155,15.659088877138,0.3024888264585435,AZ,2022-11-27,1,0,1,0,1,1,1,0,0,0,0,1
156,22.1845909305204,0.2829692888825165,AZ,2022-11-28,1,0,1,0,1,0,0,0,0,0,0,0
157,23.5186465527018,0.353430473907371,AZ,2022-11-29,1,0,1,0,1,0,0,0,0,0,0,0
158,15.6985603310973,0.335281781274916,AZ,2022-11-30,1,0,1,0,1,1,1,0,1,0,0,1
159,23.9719278200461,0.4072027598747955,AZ,2022-12-01,1,0,0,0,1,0,0,0,0,0,0,0
160,20.2365166750103,0.3826610314264635,AZ,2022-12-02,1,0,0,0,1,0,0,0,0,0,0,0
161,5.53657866330875,0.290565135101119,AZ,2022-12-03,1,0,0,0,1,0,1,0,0,0,1,0
162,13.1434875990302,0.3346730199482925,AZ,2022-12-04,1,0,0,0,1,1,1,0,0,0,0,1
163,37.071880219674,0.3637075322293595,AZ,2022-12-05,1,0,0,0,1,0,0,0,0,0,0,0
164,14.557428417317,0.315665794896057,AZ,2022-12-06,0,0,0,0,1,1,0,0,0,0,0,1
165,19.2407199352226,0.2918551320960845,AZ,2022-12-07,1,0,1,0,1,0,1,0,0,0,0,0
166,3.50267364684929,0.243784969440913,AZ,2022-12-08,1,1,0,0,1,0,0,0,0,0,0,0
167,10.8568535034818,0.303147134026995,AZ,2022-12-09,0,0,1,0,0,0,0,0,1,0,0,0
168,6.85344506544684,0.332229366238619,AZ,2022-12-10,1,0,0,0,0,1,1,0,0,0,0,1
169,10.0486419208662,0.291657723733773,CA,2022-10-30,0,0,1,0,1,0,0,0,0,0,0,0
170,9.24546474545986,0.29023955352086,CA,2022-10-31,1,0,1,1,1,0,0,0,0,0,1,0
171,8.04009200512104,0.296016127316789,CA,2022-11-01,0,0,1,1,1,0,0,0,0,0,0,0
172,3.38406762847394,0.29268851072715,CA,2022-11-02,1,1,1,1,1,0,0,0,0,0,1,0
173,8.62151892305966,0.302290174608105,CA,2022-11-03,1,0,1,1,1,0,0,0,1,0,0,0
174,6.95995385055598,0.278674317690185,CA,2022-11-04,1,0,0,0,1,0,0,0,0,0,0,0
175,5.94180974246376,0.306059369757105,CA,2022-11-05,1,1,0,0,0,0,0,0,0,0,0,0
176,5.70888505760339,0.311464266105497,CA,2022-11-06,0,0,1,1,1,0,0,0,0,0,1,0
177,8.84675487713973,0.3071160239108475,CA,2022-11-07,1,1,1,0,1,0,0,0,0,0,0,0
178,10.5455583937983,0.3105561362086,CA,2022-11-08,1,1,1,0,1,0,0,0,0,0,0,0
179,7.80824463079972,0.295116819436548,CA,2022-11-09,0,0,1,0,1,0,0,0,0,0,0,0
180,7.2027905343816,0.312757353060372,CA,2022-11-10,0,0,1,1,1,0,0,0,0,0,0,0
181,6.41018186989217,0.3154613567302895,CA,2022-11-11,0,1,1,1,0,0,0,0,0,0,0,0
182,9.26909830200901,0.3197021298534965,CA,2022-11-12,1,1,1,0,0,0,1,1,0,0,0,0
183,26.5543997616247,0.3169220736744195,CA,2022-11-13,0,0,0,0,0,0,0,0,0,0,0,0
184,17.6351104971608,0.3135468416688935,CA,2022-11-14,1,0,0,0,0,0,0,0,0,0,0,0
185,25.3370024758415,0.316711646760604,CA,2022-11-15,0,0,0,0,0,0,0,0,0,0,0,0
186,45.3836623003716,0.320922298509441,CA,2022-11-16,0,0,1,0,1,0,0,0,0,0,0,0
187,40.0141560982675,0.318716379399842,CA,2022-11-17,0,0,1,0,0,0,0,0,1,0,0,0
188,34.2262393290887,0.32385386330521,CA,2022-11-18,1,0,1,0,1,0,0,0,0,0,0,0
189,29.8014840377527,0.335321913377563,CA,2022-11-19,1,0,0,0,0,0,0,0,1,0,0,0
190,27.0907722863111,0.299452776924621,CA,2022-11-20,1,0,1,0,0,0,0,0,0,0,0,0
191,42.9134517137493,0.324141400231878,CA,2022-11-21,1,0,1,0,1,0,1,0,0,0,0,0
192,36.1293736519324,0.3020038890272465,CA,2022-11-22,1,0,1,0,1,0,1,0,0,0,0,0
193,33.3300803447595,0.308956658141255,CA,2022-11-23,1,0,1,0,1,0,0,0,0,0,0,0
194,1.86445501789704,0.2745431120812875,CA,2022-11-24,1,0,1,1,1,1,1,0,1,0,0,1
195,32.3620385345196,0.2783192407245645,CA,2022-11-25,1,0,1,0,1,0,0,0,0,0,0,0
196,54.3048476323292,0.280105177685765,CA,2022-11-26,0,0,1,0,0,0,0,0,0,0,0,0
197,80.4311563021332,0.320187145195047,CA,2022-11-27,0,0,0,0,1,0,0,0,0,0,0,0
