...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.30473825062074,0.04349020739335915,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
2,1.61018825692499,0.3435313747045765,AK,2022-12-26,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
3,6.66293958449277,0.664778033004395,AK,2022-12-27,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
4,1.55574391872903,0.398175339319162,AK,2022-12-28,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
5,0.773858047369101,0.28179121227131,AK,2022-12-29,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
6,2.88583571350724,0.61081305525405,AK,2022-12-30,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
7,1.01463459983308,0.387449975283691,AK,2022-12-31,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
8,0.801662204480109,0.3998826250948035,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
9,0.755661829138188,0.219694308466298,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1
10,1.56146180604182,0.257283429062869,AK,2023-01-03,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1
11,1.06043798499445,0.1957456410450825,AK,2023-01-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
12,0.517786756609232,0.0416370123789817,AK,2023-01-05,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
13,0.75187524316423,0.281923040498301,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
14,0.560088207346797,0.3507086398090615,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
15,0.112366946590814,0.04668180855474255,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.793524966662373,0.3074604728294635,AK,2023-01-09,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
17,0.746608812160883,0.146851614928895,AK,2023-01-10,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
18,1.10029524896047,0.282850364442096,AK,2023-01-11,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
19,0.942932005739253,0.0581398775587385,AK,2023-01-12,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
20,0.707304507583853,0.23562901478473,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
21,0.147627278776276,0.0662596210488135,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
