...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,2.01555553717126,0.01848005395079425,AK,2022-07-31,0,0,1,1,0,0,1,1
2,1.69230851102334,0.1028587990033535,AK,2022-08-01,0,1,0,1,0,0,0,1
3,0.46929145784312,0.0742118798047525,AK,2022-08-02,1,1,1,1,0,0,0,1
4,0.626618349807619,0.0161834948478806,AK,2022-08-03,1,1,1,1,1,1,1,1
5,0.759215981977705,0.15277283892597,AK,2022-08-04,1,1,1,1,0,1,0,1
6,1.32085741218671,0.1668141513539165,AK,2022-08-05,0,1,1,1,0,0,1,1
7,0.462699471841566,0.0142503420226789,AK,2022-08-06,1,1,1,1,1,0,0,1
8,0.448089790522321,0.01367368415791275,AK,2022-08-07,1,1,1,1,1,1,1,1
9,0.493475633885088,0.094535265487222,AK,2022-08-08,1,1,1,1,0,0,1,1
10,0.665257936870913,0.087867056627432,AK,2022-08-09,1,1,1,1,0,0,1,1
11,1.58039278320969,0.0121155997471869,AK,2022-08-10,0,0,1,1,1,1,1,1
12,0.459391435035195,0.1426361428824285,AK,2022-08-11,1,1,1,1,0,0,1,1
13,0.371164963842142,0.01120174632802805,AK,2022-08-12,1,1,1,1,1,1,1,1
14,0.976426180502196,0.155100346376163,AK,2022-08-13,0,1,1,1,0,0,1,1
15,0.579196756874152,0.1698832486269995,AK,2022-08-14,1,1,1,1,0,0,1,1
16,0.49184382487969,0.00998785227054905,AK,2022-08-15,1,1,1,1,1,1,1,1
17,0.337920666902059,0.099044622302039,AK,2022-08-16,1,1,1,1,1,1,1,1
18,0.96182942564185,0.0900225272583905,AK,2022-08-17,1,1,0,1,1,1,1,1
19,0.0746328516244252,0.0089331195827876,AK,2022-08-18,1,1,1,1,1,1,1,1
20,0.327580698383898,0.0901206563434815,AK,2022-08-19,1,1,1,1,0,0,1,1
21,1.02427136816029,0.4174779312719255,AK,2022-08-20,0,0,1,1,1,1,1,1
22,0.211068852320554,0.0080112069151537,AK,2022-08-21,1,1,1,1,1,1,1,1
23,1.76064976164522,0.282610708605314,AK,2022-08-22,0,0,1,1,0,0,1,1
24,0.00836932999273265,0.0074598629052106,AK,2022-08-23,1,1,1,1,1,1,1,1
25,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0250874055457403,0.0069530091282547,AK,2022-08-25,1,1,1,1,1,1,1,1
27,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
28,0.023123818378665,0.0064861745128514,AK,2022-08-27,1,1,1,1,1,1,1,1
