...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
1,0.651500826741048,0.0925399085172985,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
2,1.91732219338353,0.2816267994650715,AK,2023-02-13,1,0,1,0,1,0,1,0,1,0,1,0
3,0.764766535968646,0.2278096002837445,AK,2023-02-14,1,1,1,1,1,1,1,0,0,0,1,1
4,0.978727874726169,0.261016190962808,AK,2023-02-15,1,0,1,1,1,1,1,0,1,0,1,1
5,1.01237886043632,0.06451948072988,AK,2023-02-16,1,1,1,0,1,1,1,0,1,0,1,1
6,0.372308732153091,0.1334529321272215,AK,2023-02-17,1,1,1,1,1,1,1,0,1,0,1,1
7,0.397641808418797,0.189759897688856,AK,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
8,0.739970083516504,0.331937143062393,AK,2023-02-19,1,0,1,1,1,1,1,0,1,0,1,1
9,0.602581466376058,0.1225094295580085,AK,2023-02-20,1,1,1,1,1,1,1,0,1,0,1,1
10,0.362197186157459,0.116042917436168,AK,2023-02-21,1,1,1,1,1,1,1,0,1,0,1,1
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.254995403893312,0.0330807465471055,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
13,1.1065143341391,0.42780080816404,AK,2023-02-24,1,1,1,1,1,0,1,1,1,0,1,0
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0144391487277604,0.0224685107035257,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.00760002609602697,0.0128653222952334,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
