...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
1,0.814667305335903,0.1562235056832755,AK,2023-02-05,1,1,1,0,1,1,1,1,1,0,0,1,1,1
2,3.5787241017185,0.162528191622415,AK,2023-02-06,1,0,1,0,1,1,1,1,0,1,0,0,1,1
3,0.841824101619255,0.274735144625628,AK,2023-02-07,1,1,1,1,0,1,1,1,0,1,1,0,1,1
4,0.793309153096604,0.27212381144218,AK,2023-02-08,1,1,0,1,1,1,1,1,1,1,1,1,1,1
5,0.399103997761993,0.2809388207868795,AK,2023-02-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
6,1.74355842472133,0.1045640290287485,AK,2023-02-10,1,0,1,0,1,1,1,1,0,1,0,0,0,1
7,0.527926721795817,0.160749793938549,AK,2023-02-11,1,1,1,1,1,1,1,1,0,1,0,1,1,1
8,0.74524185007225,0.087906455574692,AK,2023-02-12,1,1,1,1,1,1,1,1,1,0,0,1,1,1
9,1.7377254827099,0.283659553303757,AK,2023-02-13,1,0,1,0,1,1,0,0,0,0,0,1,1,0
10,0.672233130718021,0.2286246003644215,AK,2023-02-14,1,1,1,1,1,1,1,1,0,1,0,1,1,1
11,0.880783263125665,0.262887973615982,AK,2023-02-15,1,0,1,1,1,1,1,1,0,1,0,1,1,1
12,1.14159637919594,0.0609307324208415,AK,2023-02-16,1,1,1,0,1,1,1,1,0,1,0,1,1,0
13,0.419580015879435,0.131993586063094,AK,2023-02-17,1,1,1,1,1,1,1,1,0,0,1,1,1,1
14,0.380371618469868,0.189849705508768,AK,2023-02-18,1,1,1,1,1,1,1,1,0,1,1,0,1,1
15,0.670921856564581,0.335350440552359,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.714216210827793,0.121300074863456,AK,2023-02-20,1,1,1,1,1,1,1,1,0,1,1,0,1,1
17,0.401579358371836,0.114829294222969,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1
18,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.298332892047727,0.0304932209978916,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.04796156205235,0.4263278415016625,AK,2023-02-24,1,1,1,1,0,1,1,1,1,1,0,0,1,1
21,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0196472588629785,0.0201117542240518,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.00948083113399646,0.0106204832317345,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.0250221818939519,0.00770748022773,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.00648470657243021,0.0069290919433786,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
