...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.86230766896809,0.1603585568751715,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
2,0.948190609959511,0.25562239113459,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
3,1.02972967465201,0.317774891887267,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
4,0.991640679523013,0.333228116658706,AK,2022-12-14,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
5,0.780712513806765,0.2981889677039855,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
6,3.25942291850678,0.400814543962739,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0
7,0.139406257348021,0.123953033856475,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
8,1.52403378462549,0.480817502087235,AK,2022-12-18,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
9,0.963876101979238,0.303738933722237,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
10,0.417960093487768,0.244506565316692,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1.00161664062695,0.313939389234844,AK,2022-12-21,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
12,0.739497547504107,0.30013773369473,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
13,0.114490755947057,0.1128262486738465,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
14,1.09102508202404,0.328830679273064,AK,2022-12-24,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
15,0.330726584122195,0.115773094292493,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
16,1.45680331540015,0.323359610958368,AK,2022-12-26,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
17,6.30673677512586,0.560341268654705,AK,2022-12-27,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
18,1.51801601524813,0.385258330385872,AK,2022-12-28,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
19,0.831512275667422,0.3138111040495015,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
20,2.65958335065112,0.507686007032445,AK,2022-12-30,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
21,0.838739889387739,0.3396129386081075,AK,2022-12-31,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
22,0.794861692587536,0.4026297586325735,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
23,0.904096086645897,0.288505322908283,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
