...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI
1,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.15007586228153,0.141118749646671,AK,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.13269326841463,0.1198656352356025,AK,2022-12-12,1,1,1,1,1,1,1,1,0,1,0,1,1,1
10,0.125440940851944,0.1140763635010635,AK,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.110711680329279,0.104500789322602,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1.3751741349802,0.602537981965245,AK,2022-12-16,0,1,1,0,1,1,1,0,1,1,0,1,1,1
14,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.845517488766822,0.54744082524022,AK,2022-12-19,1,0,1,1,1,1,1,1,0,1,0,1,1,1
17,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.850414344645246,0.567448682155975,AK,2022-12-21,1,0,1,1,1,1,1,1,0,1,0,1,1,1
19,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.126586524549029,0.117287379448543,AK,2022-12-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1
26,1.01914724775306,0.703146340498235,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,1,0,0
27,0.926716370635176,0.629450401244325,AK,2022-12-30,1,0,1,1,1,1,1,1,0,1,0,1,1,1
28,NA,NA,AK,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.327644130931493,0.2629682608643615,AK,2023-01-03,1,1,1,1,1,1,1,1,1,1,0,1,0,1
32,0.569610779352917,0.1938351825035475,AK,2023-01-04,1,1,1,1,1,1,1,1,1,1,0,1,0,1
33,0.246674398478353,0.209541994143867,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1
34,0.25926027692967,0.226440563039207,AK,2023-01-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,NA,NA,AK,2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.381238544279206,0.2230800879630935,AK,2023-01-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.501873060812857,0.2715827624267015,AK,2023-01-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1
39,0.393097771520699,0.327374265738504,AK,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1
40,0.407827456312159,0.350373652991401,AK,2023-01-12,1,1,1,1,1,1,1,1,1,1,0,1,0,1
41,NA,NA,AK,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.77864500564995,0.256602258667188,AL,2022-12-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1.02936099644832,0.2839028222385325,AL,2022-12-05,1,0,1,1,1,1,1,1,0,1,0,1,1,1
45,1.11149276513237,0.3488105208445715,AL,2022-12-06,1,1,1,1,0,1,1,1,0,0,0,0,1,1
46,0.300648649341224,0.226372288512631,AL,2022-12-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1
47,1.2040291993443,0.2970009542937015,AL,2022-12-08,1,0,1,1,1,1,1,0,0,1,0,1,1,1
48,0.960197293049754,0.2468194253555955,AL,2022-12-09,1,1,1,1,1,0,1,1,1,0,1,1,0,1
49,0.82194419319473,0.1414779991415775,AL,2022-12-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1
50,1.61612320777421,0.52520654968556,AL,2022-12-11,0,1,0,0,1,1,1,0,1,0,0,1,1,1
51,1.38277983166682,0.4379016588453395,AL,2022-12-12,1,1,0,0,0,1,1,1,1,0,0,0,1,1
52,0.0878191124467768,0.0607513920977185,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1.05023469653448,0.325444547608855,AL,2022-12-14,1,0,1,1,1,1,1,1,0,1,0,1,0,1
54,1.4443651223605,0.2905433170294315,AL,2022-12-15,1,0,1,1,1,1,1,1,0,1,0,1,1,1
55,0.8639081344832,0.2939102835289735,AL,2022-12-16,1,1,1,1,1,1,0,1,1,1,1,0,1,0
56,0.234550445254643,0.04635475798541975,AL,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0.21618204537497,0.04362248656590075,AL,2022-12-18,1,1,1,1,1,1,1,1,1,0,0,1,1,1
58,0.426045020541571,0.194640112523391,AL,2022-12-19,1,1,1,1,1,1,1,1,0,1,1,1,0,1
59,1.53432492048691,0.228611808656667,AL,2022-12-20,0,1,0,1,1,1,1,0,0,0,0,0,1,1
60,2.68363765786027,0.4603801706476305,AL,2022-12-21,1,1,1,0,1,0,0,1,0,1,0,1,0,0
61,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.0605345204932285,0.0339367137370546,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.34483172359944,0.2880106150173295,AL,2022-12-26,1,1,1,1,1,1,1,1,0,0,0,0,0,1
66,1.16211317545853,0.2162212495530815,AL,2022-12-27,1,1,1,1,1,1,1,0,0,0,0,0,1,1
67,2.32272622300467,0.3910001807282795,AL,2022-12-28,1,0,1,0,0,1,1,1,0,1,0,0,0,1
68,2.49412860000422,0.309363389252499,AL,2022-12-29,1,1,1,1,0,1,0,1,1,1,0,0,0,0
69,1.99443001906782,0.42191674388896,AL,2022-12-30,1,0,1,0,1,1,1,1,0,1,0,1,0,1
70,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.71113975814918,0.2281844354773,AL,2023-01-02,1,1,1,1,1,1,1,1,0,0,0,0,1,1
73,2.74018993174102,0.247437394349256,AL,2023-01-03,1,0,1,1,1,0,0,1,0,1,0,1,0,0
74,1.99673599698976,0.3692337284459925,AL,2023-01-04,1,1,1,0,0,1,1,1,0,1,0,0,0,1
75,0.826064602616056,0.2363480957727615,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1
76,1.76501354633122,0.4116388995214925,AL,2023-01-06,1,1,0,1,1,1,1,1,1,0,1,1,0,1
77,2.77388410889305,0.470610904360597,AL,2023-01-07,1,0,1,0,1,1,0,1,0,1,0,1,0,0
78,1.59100355792882,0.747568832206025,AL,2023-01-08,1,0,1,0,1,1,0,1,0,0,1,1,0,0
79,1.32442022538787,0.3015776072712085,AL,2023-01-09,1,1,1,1,1,1,0,1,0,1,0,1,0,0
80,1.25025349475929,0.235685976902842,AL,2023-01-10,1,0,1,1,1,1,1,1,0,1,0,1,0,1
81,0.268630000168202,0.283329849909259,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1
82,0.963395693664832,0.433692411661604,AL,2023-01-12,1,1,1,1,1,1,0,1,1,1,1,1,0,0
83,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.250796898708059,0.2613199001241635,AR,2022-12-04,1,1,1,1,1,1,1,0,0,1,0,1,1,1
86,1.84356658690117,0.3198408614231085,AR,2022-12-05,1,0,0,1,1,1,1,1,0,0,0,1,1,1
87,4.00356244983353,0.3655068459694665,AR,2022-12-06,0,0,0,1,1,1,1,0,0,0,1,1,0,1
88,1.22564333944153,0.2720068421819175,AR,2022-12-07,1,1,1,1,1,1,1,0,0,0,0,1,0,1
89,2.83886454725627,0.3544725327438665,AR,2022-12-08,1,1,0,0,1,1,1,0,0,0,0,1,0,1
90,1.7192886753498,0.272860865292877,AR,2022-12-09,1,1,0,1,1,1,1,1,0,0,0,1,1,1
91,0.550478387889018,0.2495575218936005,AR,2022-12-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,0.803393229747605,0.2680753192555555,AR,2022-12-11,1,1,1,1,1,1,1,1,0,0,1,1,1,1
93,4.42915227306859,0.3313717930089215,AR,2022-12-12,1,1,0,0,1,1,1,0,0,0,0,1,0,1
94,1.32244266747262,0.2855615806114055,AR,2022-12-13,1,1,0,1,1,1,1,1,0,0,0,1,0,1
95,2.65860838839922,0.294476612175047,AR,2022-12-14,1,1,0,1,1,1,1,1,0,0,0,1,0,1
96,1.81656079564437,0.19014692619305,AR,2022-12-15,1,1,1,0,1,1,1,1,0,0,0,1,0,1
97,3.04816701451809,0.4392484370142385,AR,2022-12-16,1,0,0,0,1,1,0,1,0,0,0,1,0,1
98,0.799537971656435,0.2669852943424175,AR,2022-12-17,1,1,1,1,0,1,1,1,0,1,1,0,0,1
99,0.730693298803349,0.263486749379133,AR,2022-12-18,1,1,0,1,1,1,1,1,0,1,0,1,0,1
100,1.74205834459457,0.2354022517261935,AR,2022-12-19,1,1,1,1,1,1,1,0,0,1,0,1,0,1
101,3.04376057090953,0.3257583947342785,AR,2022-12-20,1,0,0,1,1,0,0,1,0,0,0,1,0,1
102,1.93676734492072,0.244849287074445,AR,2022-12-21,1,1,1,1,1,1,0,0,0,0,0,1,0,0
103,1.49431686323367,0.297570867225797,AR,2022-12-22,1,0,1,1,1,1,1,1,0,1,1,1,0,1
104,1.95218014192735,0.387692240745681,AR,2022-12-23,1,0,1,0,1,1,1,1,0,1,0,1,0,1
105,1.84516657100008,0.090651314277505,AR,2022-12-24,1,1,1,0,1,1,1,1,0,1,0,1,0,1
106,0.855694335899497,0.2426147540533815,AR,2022-12-25,1,1,0,1,1,1,1,0,1,0,1,1,1,1
