...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
1,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
2,1.10309606798018,0.811747226299775,AK,2024-01-15,0,0,1,1,1,1,1,1
3,0.0200044043540168,0.01165402341201745,AK,2024-01-16,1,1,1,1,1,1,1,1
4,0.126346262721807,0.0102389035511758,AK,2024-01-17,1,1,1,1,1,1,1,1
5,1.02079453443443,0.428058826968933,AK,2024-01-18,1,0,1,0,0,0,1,0
6,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2024-01-22,NA,NA,NA,NA,NA,NA,NA,NA
10,0.0297130489389985,0.0046134449920572,AK,2024-01-23,1,1,1,1,1,1,1,1
11,NA,NA,AK,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
12,1.26720053297793,0.902789495876515,AK,2024-01-25,1,0,1,0,1,1,1,1
13,0.0222004773550474,0.003063890150148685,AK,2024-01-26,1,1,1,1,1,1,1,1
14,0.00462507231287214,0.00266978246427704,AK,2024-01-27,1,1,1,1,1,1,1,1
15,0.00460574001346699,0.002325068411529,AK,2024-01-28,1,1,1,1,1,1,1,1
16,0.00406866413054395,0.002023809437998565,AK,2024-01-29,1,1,1,1,1,1,1,1
17,0.00293695387455496,0.00176073279408976,AK,2024-01-30,1,1,1,1,0,0,1,1
18,NA,NA,AK,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
19,0.00267890232699217,0.001330976410232585,AK,2024-02-01,1,1,1,1,0,0,1,1
20,1.24651905141777,0.47243189382431,AK,2024-02-02,1,0,1,0,1,0,1,0
21,NA,NA,AK,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
36,3.0334880971933e-4,1.18138198231595e-4,AK,2024-02-18,1,1,1,1,1,1,1,1
37,NA,NA,AK,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA
38,1.7455637998582e-4,8.8610308829375e-5,AK,2024-02-20,1,1,1,1,1,1,1,1
39,NA,NA,AK,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA
40,5.524747175909e-4,6.644808187911e-5,AK,2024-02-22,1,1,1,1,1,1,1,1
41,NA,NA,AK,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
44,0.155387620145476,0.092263114412982,AL,2024-01-15,1,1,1,1,1,0,1,0
45,NA,NA,AL,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA
47,0.453531481484929,0.3139794592481445,AL,2024-01-18,1,1,1,1,1,1,1,1
48,NA,NA,AL,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
51,0.0793641518249574,0.0504798313380215,AL,2024-01-22,1,1,1,1,1,1,1,1
52,NA,NA,AL,2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA
55,0.936478602057235,0.675906019684935,AL,2024-01-26,0,0,1,1,0,0,1,1
56,NA,NA,AL,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
61,0.0265092493337375,0.0185041357898521,AL,2024-02-01,1,1,1,1,1,1,1,1
62,NA,NA,AL,2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
65,1.11165429449724,0.799815007067965,AL,2024-02-05,0,0,1,1,0,0,1,1
66,NA,NA,AL,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA
67,1.22762120669096,0.87556707563769,AL,2024-02-07,1,0,1,0,1,0,1,0
68,0.012974971003395,0.0084718295113174,AL,2024-02-08,1,1,1,1,1,1,1,1
69,NA,NA,AL,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
75,0.00484697656368961,0.0037052267697656,AL,2024-02-15,1,1,1,1,1,1,1,1
76,NA,NA,AL,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA
80,0.00339141140245068,0.002012230625232915,AL,2024-02-20,1,1,1,1,0,0,1,1
81,NA,NA,AL,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-01-18,NA,NA,NA,NA,NA,NA,NA,NA
90,0.0410163086055205,0.02019299051187235,AR,2024-01-19,1,1,1,1,1,1,1,1
91,NA,NA,AR,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
93,0.0289022542380043,0.0141936769713054,AR,2024-01-22,1,1,1,1,1,1,1,1
94,NA,NA,AR,2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA
95,0.0828078443011709,0.0111591533047324,AR,2024-01-24,1,1,1,1,0,0,1,1
96,NA,NA,AR,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-01-26,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
103,0.00908379067670033,0.004117708310819,AR,2024-02-01,1,1,1,1,1,1,1,1
104,NA,NA,AR,2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
107,0.00573278336579718,0.002462130695414435,AR,2024-02-05,1,1,1,1,1,1,1,1
108,0.00503358204073495,0.002162429838036235,AR,2024-02-06,1,1,1,1,1,1,1,1
109,0.00462620368328294,0.001898400332642355,AR,2024-02-07,1,1,1,1,1,1,1,1
110,0.0152949022685602,0.001665947055406895,AR,2024-02-08,1,1,1,1,1,1,1,1
111,0.0127133767961103,0.001461417467343935,AR,2024-02-09,1,1,1,1,1,1,1,1
112,NA,NA,AR,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
114,0.00243444137149434,9.84607308898655e-4,AR,2024-02-12,1,1,1,1,1,1,1,1
115,1.24997088573586,0.4766472896658185,AR,2024-02-13,1,0,1,0,1,0,1,0
116,0.00687568427735658,7.55638665952775e-4,AR,2024-02-14,1,1,1,1,1,1,1,1
117,NA,NA,AR,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
121,0.00402388820372226,3.88431786388515e-4,AR,2024-02-19,1,1,1,1,1,1,1,1
122,0.00364234038773674,3.3985532109165e-4,AR,2024-02-20,1,1,1,1,1,1,1,1
123,NA,NA,AR,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
127,1.61140340762814,0.241480088810957,AZ,2024-01-14,0,1,1,1,0,0,1,0
128,2.58706238500724,0.171474216527167,AZ,2024-01-15,0,1,0,0,0,0,0,1
129,0.133533062569402,0.0294878985172708,AZ,2024-01-16,1,1,1,1,0,0,1,1
130,1.10132916725257,0.1784204984623055,AZ,2024-01-17,1,1,0,1,0,0,0,1
131,0.675044715805841,0.2132833519361895,AZ,2024-01-18,1,1,1,0,1,0,1,0
132,0.301147065546652,0.02058848587859445,AZ,2024-01-19,1,1,1,1,1,0,1,0
133,0.553044647428197,0.2055152305558345,AZ,2024-01-20,1,1,1,1,1,1,1,1
134,3.37678189622358,0.199606057039029,AZ,2024-01-21,1,0,1,0,0,0,1,0
135,1.22699436742269,0.0594046676899885,AZ,2024-01-22,0,1,1,1,1,1,1,1
136,0.998590550420719,0.0758380743831595,AZ,2024-01-23,1,1,1,1,0,1,1,0
137,2.58715063891572,0.3431339644281775,AZ,2024-01-24,0,0,0,1,0,0,0,0
138,0.0992466736992424,0.009673074848757,AZ,2024-01-25,1,1,1,1,0,0,1,1
139,1.07500230866228,0.436969647352982,AZ,2024-01-26,1,0,1,0,1,0,1,0
140,1.10877007227644,0.131389277145407,AZ,2024-01-27,1,1,0,1,1,0,0,1
141,0.00920348971354494,0.00653312497897295,AZ,2024-01-28,1,1,1,1,1,1,1,1
142,1.44079216329088,0.1130238783221045,AZ,2024-01-29,0,1,1,1,0,0,1,1
143,0.900821779432605,0.096317999677144,AZ,2024-01-30,0,1,1,1,0,1,1,0
144,0.925818194459461,0.0702081555243535,AZ,2024-01-31,1,1,0,1,1,1,0,0
145,0.0390778884798392,0.003826188833319895,AZ,2024-02-01,1,1,1,1,1,1,1,1
146,0.0384338181847684,0.00334128702815187,AZ,2024-02-02,1,1,1,1,1,1,1,1
147,NA,NA,AZ,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
148,0.0474015258147958,0.002543471970397895,AZ,2024-02-04,1,1,1,1,1,1,1,1
149,2.5676390147753,0.16305458625335,AZ,2024-02-05,0,0,1,1,0,0,1,0
150,0.687830603796609,0.0408084635617207,AZ,2024-02-06,1,1,1,1,0,1,1,0
151,0.405960102300288,0.00168265676895068,AZ,2024-02-07,1,1,1,1,1,1,1,1
152,0.00224236288691619,0.001464847561588885,AZ,2024-02-08,1,1,1,1,1,1,1,1
153,1.2098983533021,0.3165679991036245,AZ,2024-02-09,1,0,1,0,1,0,1,0
154,0.00598064786276152,0.00110886472316964,AZ,2024-02-10,1,1,1,1,1,1,1,1
155,1.012932810012,0.120100203393421,AZ,2024-02-11,1,0,1,0,1,0,1,0
156,0.0738488990089509,8.3823875230274e-4,AZ,2024-02-12,1,1,1,1,1,1,1,1
157,1.01060502418533,0.06526083541815,AZ,2024-02-13,1,1,0,1,0,1,0,1
158,0.175716523953131,6.3291573391512e-4,AZ,2024-02-14,1,1,1,1,1,1,1,1
159,8.9908627449858e-4,5.49752668001145e-4,AZ,2024-02-15,1,1,1,1,1,1,1,1
160,0.00523874835198301,4.77406857676295e-4,AZ,2024-02-16,1,1,1,1,1,1,1,1
161,0.030865750718726898,4.1449359625938e-4,AZ,2024-02-17,1,1,1,1,1,1,1,1
162,0.904096176579942,0.0515007025078045,AZ,2024-02-18,1,1,1,0,1,0,1,0
163,0.0962724194231219,3.12269275560905e-4,AZ,2024-02-19,1,1,1,1,1,0,1,0
164,1.67647482987956,0.0677178673420085,AZ,2024-02-20,1,0,0,0,1,0,0,0
165,0.991952442877545,0.03529919016920675,AZ,2024-02-21,1,1,0,1,0,1,0,1
166,1.31759920279029,0.245964211668875,AZ,2024-02-22,1,0,0,1,1,0,0,1
167,0.00211671688438237,1.76907075001795e-4,AZ,2024-02-23,1,1,1,1,1,1,1,1
168,9.9325927102873e-4,1.5343129060205e-4,AZ,2024-02-24,1,1,1,1,1,1,1,1
169,1.86202974171401,0.191953687310901,CA,2024-01-14,1,1,1,0,1,0,1,0
170,2.62802276416365,0.2357852979623095,CA,2024-01-15,1,0,0,1,1,0,0,1
171,1.76693538202037,0.172409851932728,CA,2024-01-16,0,0,1,1,0,0,0,0
