"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23F_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23F_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.230654455920833,0.114461946284389,"AK",2024-01-04,1,1,1,1,1,1,1,1,0,0,1,1
"6",0.73275097535232,0.270420174156088,"AK",2024-01-05,1,1,1,1,1,1,1,1,0,0,1,0
"7",NA,NA,"AK",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.215508638793979,0.0936772624510198,"AK",2024-01-08,1,1,1,1,1,1,1,1,0,0,1,1
"10",0.857509409916574,0.0890790879447523,"AK",2024-01-09,1,1,1,0,1,1,1,1,1,0,1,0
"11",0.526591305811571,0.0847060642903508,"AK",2024-01-10,1,1,1,1,1,1,1,1,1,0,1,0
"12",0.202540597413038,0.0805496612346481,"AK",2024-01-11,1,1,1,1,1,1,1,1,1,0,1,0
"13",NA,NA,"AK",2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.655467168793864,0.593509932230496,"AK",2024-01-15,1,1,0,1,1,1,1,1,0,0,1,1
"17",0.19511823895566,0.0626936368143177,"AK",2024-01-16,1,1,1,1,1,1,1,1,0,0,1,1
"18",0.839865915844397,0.0596421996073043,"AK",2024-01-17,1,1,1,0,1,1,1,0,1,0,1,1
"19",0.665840603572563,0.37201395485108,"AK",2024-01-18,1,1,1,1,1,0,1,1,0,0,1,1
