"","es_score","brier_score","location","target_date","X22B_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","other_50_CI","X22B_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","other_95_CI"
"1",0.89903104123426,0.0984369070024461,"AK",2023-02-12,1,1,1,0,1,1,1,1,1,1,1,1
"2",1.29085966698089,0.279030200153111,"AK",2023-02-13,1,1,1,1,1,1,1,1,1,0,0,1
"3",0.591434158081876,0.228089894325105,"AK",2023-02-14,1,1,1,1,1,1,0,0,1,1,1,1
"4",0.725115595256724,0.257448827343986,"AK",2023-02-15,1,1,1,1,1,1,1,0,1,0,1,1
"5",1.48669284916097,0.0805130995397638,"AK",2023-02-16,1,1,1,0,1,1,1,0,1,0,1,1
"6",0.691647978753485,0.142405245121385,"AK",2023-02-17,1,1,1,1,1,1,1,0,1,0,1,1
"7",0.376630778291932,0.191364369669468,"AK",2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
"8",0.534491379714864,0.312462480350171,"AK",2023-02-19,1,1,1,1,1,1,1,0,1,1,1,0
"9",1.32842565153649,0.133050672414279,"AK",2023-02-20,1,1,1,1,1,1,0,0,1,0,1,1
"10",0.688419736503899,0.127443317943461,"AK",2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
"11",NA,NA,"AK",2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.552928128066579,0.0586209219944635,"AK",2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
"13",0.955943147486642,0.405468479367132,"AK",2023-02-24,1,1,1,1,1,0,1,1,1,0,1,0
"14",NA,NA,"AK",2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.0571502650265205,0.0500506291652838,"AK",2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
"17",NA,NA,"AK",2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,"AK",2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"AK",2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"AK",2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,"AK",2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.0447269221473002,0.0409887548828661,"AK",2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,NA,"AK",2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"AK",2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.12454539250819,0.0378250416073437,"AK",2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
"26",0.0403670431607612,0.036947177402528,"AK",2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
"27",NA,NA,"AK",2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
