...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23F_50_CI,X24A_50_CI,X23I_50_CI,other_50_CI,X23A_95_CI,X23B_95_CI,X23F_95_CI,X24A_95_CI,X23I_95_CI,other_95_CI
1,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.141943653463488,0.121152276470797,AK,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
6,0.711237558468509,0.2865015033242895,AK,2024-01-05,1,1,1,1,1,0,1,1,1,0,1,0
7,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0992932493247542,0.087075704732949,AK,2024-01-08,1,1,1,1,1,1,1,1,1,1,1,1
10,0.503062646988511,0.0797687029630025,AK,2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1
11,0.234438161455483,0.072930084979977,AK,2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0767160086360902,0.06654742407159,AK,2024-01-11,1,1,1,1,1,1,1,1,0,0,1,1
13,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.963559985669839,0.63966030294428,AK,2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
17,0.045740771845943,0.04092312263773835,AK,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
18,0.24454186003545,0.03693023202435755,AK,2024-01-17,1,1,1,1,1,1,1,1,1,1,1,1
19,0.967489035485019,0.406262864254405,AK,2024-01-18,1,1,1,1,1,0,1,1,1,0,1,0
20,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
