...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
1,0.866799719138675,0.14894339366662,AK,2023-02-05,1,1,1,0,1,1,1,1,0,1,0,1,1,1
2,3.61518044938219,0.157272797250359,AK,2023-02-06,1,0,1,0,1,1,1,1,0,1,0,1,1,1
3,0.857055176227157,0.2731036129997195,AK,2023-02-07,1,1,1,1,0,1,1,1,0,1,1,0,1,1
4,0.805481359205763,0.270447201243011,AK,2023-02-08,1,1,0,1,1,1,1,1,0,1,0,1,1,1
5,0.404773977350905,0.283644822930886,AK,2023-02-09,1,1,1,1,1,1,1,1,0,1,0,1,1,1
6,1.78799608402264,0.100654210559926,AK,2023-02-10,1,0,1,0,1,1,1,1,0,1,0,1,1,0
7,0.50588251531833,0.159406799981872,AK,2023-02-11,1,1,1,1,1,1,1,1,0,1,0,1,1,1
8,0.74354891806175,0.085031956313542,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.6555405815159,0.284822031961426,AK,2023-02-13,1,1,1,1,1,1,0,1,0,1,0,1,1,0
10,0.673334146933002,0.2295865628386695,AK,2023-02-14,1,1,1,1,1,1,1,1,0,1,0,1,1,1
11,0.886634933399925,0.2644106008034015,AK,2023-02-15,1,0,1,1,1,1,1,1,0,1,0,1,1,1
12,1.14053848954354,0.0595813347847775,AK,2023-02-16,1,1,1,0,1,1,1,1,0,1,0,1,1,1
13,0.43144021335321,0.1317989223137,AK,2023-02-17,1,1,1,1,1,1,1,1,0,1,0,0,1,1
14,0.386882716683945,0.1903444107407755,AK,2023-02-18,1,1,1,1,1,1,1,1,0,1,0,1,1,1
15,0.661056002841255,0.336986450105777,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.72482432104628,0.1213580000944465,AK,2023-02-20,1,1,1,1,1,1,1,1,0,1,0,0,1,0
17,0.386926452348058,0.1149197071089265,AK,2023-02-21,1,1,1,1,1,1,1,0,0,1,0,1,1,1
18,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.299893316872827,0.0304151603787678,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.0584984192023,0.4250242141016455,AK,2023-02-24,1,1,1,1,0,1,1,1,1,1,0,0,1,1
21,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0157397585117678,0.02025459695676585,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.00847082809442982,0.01077996903213405,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.0219982292346933,0.00781558464246145,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.00504468361764343,0.00701711242613485,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.00352115135229573,0.004552614509840875,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.00237446457451057,0.003665986186911265,AK,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.00229277959928099,0.00329000422637578,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.00164772850975583,0.00265087063815987,AK,2023-03-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0.67704772837809,0.52431810992618,AL,2023-02-05,1,1,1,1,1,1,1,1,0,1,0,1,1,1
44,0.412636813560216,0.3083540221918685,AL,2023-02-06,1,1,1,1,1,1,1,1,0,1,0,1,1,1
45,0.727677747713273,0.565584845284055,AL,2023-02-07,1,0,1,1,1,1,1,1,0,1,0,1,1,1
46,0.805079247773179,0.0576238105959685,AL,2023-02-08,1,1,1,1,1,1,1,1,1,0,0,1,1,1
47,1.06294053448799,0.76746993071258,AL,2023-02-09,1,1,1,1,0,1,1,1,1,1,0,0,1,1
48,0.0810105226832917,0.04599945367530355,AL,2023-02-10,1,1,1,1,1,1,1,1,0,1,0,1,1,1
49,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.0593680630185182,0.03238468998418365,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0.174360745486903,0.0287214903150652,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.283620199840908,0.0254379361438738,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0.0400133483521914,0.02250124869975295,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0282833095334612,0.0136275056158017,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.0216489650197061,0.0119947347745996,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1.12002929549862,0.810707529917935,AL,2023-02-22,1,0,1,0,1,1,1,1,0,1,0,1,1,1
61,0.015551342837681,0.0092730293751922,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1.12316057797767,0.4553526950863585,AL,2023-02-24,1,1,1,0,1,1,0,1,1,1,0,1,1,0
63,1.26660338128639,0.90507126825782,AL,2023-02-25,1,1,1,0,1,0,1,1,1,1,0,1,0,1
64,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.010927614031483,0.00550742527762895,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.0322874419773482,0.003713751528585885,AL,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,1.08222073519671,0.4484028404777605,AL,2023-03-03,1,0,1,0,1,1,1,1,0,1,0,1,1,1
70,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.0179041437825719,0.002501901376306405,AL,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,NA,NA,AL,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.00422718332754826,0.00192312649864907,AL,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.0135445504913444,0.001686451748928285,AL,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1.1927861725667,0.318010814922734,AL,2023-03-09,1,1,0,0,1,1,1,1,1,0,0,1,1,1
76,NA,NA,AL,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
