...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
1,NA,NA,AK,2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2022-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.507025331183177,0.328283793311532,AK,2022-11-14,1,1,1,1,1,1,1,1,1,0,1,0,1,1
10,NA,NA,AK,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2022-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.282564522399628,0.2266134286873495,AK,2022-11-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1
13,NA,NA,AK,2022-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2022-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1.36651872753736,0.4423676380228755,AK,2022-11-22,0,1,1,1,0,1,1,0,1,0,1,0,1,1
18,0.97256438236507,0.69725034681876,AK,2022-11-23,1,1,1,0,1,1,1,1,1,0,0,1,1,1
19,NA,NA,AK,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.240605271998969,0.2635539445764045,AK,2022-11-26,1,1,1,1,1,1,1,1,1,0,1,0,1,1
22,0.957667887478328,0.429899231360386,AK,2022-11-27,1,0,1,1,1,1,1,1,0,1,1,0,1,1
23,0.527187604238475,0.407145267027485,AK,2022-11-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1
24,NA,NA,AK,2022-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.186524968264094,0.1145754386203355,AK,2022-11-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,NA,NA,AK,2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.091390524961352,0.0537363061983145,AK,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.073051413612441,0.04119019413084155,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.0637787688432014,0.0376783487901596,AK,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0516472065061184,0.03153040228722615,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1.69860240609085,0.763841281180435,AK,2022-12-16,1,0,1,1,0,1,1,1,0,0,1,0,1,1
42,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.592397118869704,0.421106233580735,AL,2022-11-06,1,1,1,1,1,1,1,1,1,0,1,0,1,1
44,0.540421497399224,0.249909148400189,AL,2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.584886093807398,0.1578356294080075,AL,2022-11-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1
46,0.617402971246193,0.330151792456694,AL,2022-11-09,1,1,1,1,1,1,1,1,0,0,1,1,1,1
47,0.6949833520448,0.2531903110131505,AL,2022-11-10,1,1,1,1,1,1,1,1,1,0,0,1,1,1
48,0.477769466920915,0.3328131076231925,AL,2022-11-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1
49,0.384547599143853,0.2421283069624715,AL,2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.244782918612424,0.2586862921649235,AL,2022-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0.940705743770088,0.281582199750121,AL,2022-11-14,1,1,1,1,0,1,1,1,1,1,1,1,1,1
52,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.414295527294722,0.2562124354315615,AL,2022-11-16,1,1,1,1,1,1,1,1,0,1,0,0,1,1
54,0.853385508905944,0.355226886785042,AL,2022-11-17,1,1,1,0,1,1,1,1,1,0,0,1,1,1
55,1.30738948006317,0.2183715177219735,AL,2022-11-18,1,1,0,1,0,1,1,1,1,0,1,0,1,1
56,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.973564077650941,0.44388136356678,AL,2022-11-21,1,1,1,1,1,1,0,1,1,0,1,1,1,0
59,0.860678972815429,0.4111203180782695,AL,2022-11-22,1,0,1,1,1,1,1,1,0,1,1,0,1,1
60,0.208002530629024,0.1512248458415325,AL,2022-11-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1
61,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.91582367706828,0.418283338355711,AL,2022-11-25,1,1,1,0,1,1,1,1,1,0,0,0,1,1
63,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.538121877502322,0.175390567084145,AL,2022-11-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1
66,1.01421828675461,0.3621273242243945,AL,2022-11-29,1,1,0,1,1,1,1,1,1,0,1,0,1,1
67,0.853966869366617,0.252355040033428,AL,2022-11-30,1,1,1,1,1,0,1,1,1,0,1,1,0,1
68,1.32567120896086,0.3054091780474645,AL,2022-12-01,1,1,0,1,1,1,1,1,0,0,1,0,1,1
69,0.912685182165428,0.3111839648812505,AL,2022-12-02,1,1,0,1,1,1,1,1,1,0,0,0,1,1
