...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.854990832856397,0.113480362273411,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
2,0.933922501071276,0.2380906202948705,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1.07036894758698,0.3180228439749625,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
4,1.02974343358937,0.3660390426988775,AK,2022-12-14,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
5,0.781705307406159,0.2828113022720545,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
6,3.21827549168449,0.4416101814764615,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0
7,0.138754361464551,0.0803471610352465,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1.54265582047891,0.55220046135968,AK,2022-12-18,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
9,1.00655761190813,0.306819234857455,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
10,0.423211529327995,0.237579525393408,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
11,1.01205186616492,0.3260043745959745,AK,2022-12-21,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
12,0.788749656743009,0.2959131611812365,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
13,0.124612211699016,0.059780181870329,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1.105225701967,0.337397567045099,AK,2022-12-24,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
15,0.349617637351851,0.055524772037417,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.47045454570937,0.3336619743480165,AK,2022-12-26,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
17,6.32475840978534,0.629786732031965,AK,2022-12-27,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
18,1.57953806678642,0.381589540401893,AK,2022-12-28,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
19,0.844299034279099,0.285525872866142,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1
20,2.70492640416428,0.582362111636265,AK,2022-12-30,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
21,0.884432565909261,0.373428789660587,AK,2022-12-31,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
22,0.81349425215894,0.384176859109859,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
23,0.914257191619951,0.218118541731323,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
24,1.2035070375469,0.2515446804984535,AK,2023-01-03,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
25,1.65360848459393,0.1982566992086005,AK,2023-01-04,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
26,0.761024181276878,0.0552373460113975,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
27,0.905996074459085,0.2779378471347615,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
28,0.386480522768151,0.3331073665112815,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.199455094562047,0.062231726252845,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
30,0.920858590099889,0.299193476910247,AK,2023-01-09,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
31,1.18068947971814,0.1520955590375015,AK,2023-01-10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
32,1.66816236985003,0.2853077225886085,AK,2023-01-11,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
33,1.42509860098629,0.076390098552176,AK,2023-01-12,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
34,0.848184694467373,0.2304334376039135,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
35,0.312574006906828,0.085538709108007,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.308621987108758,0.0906343856598855,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
37,0.842346898027305,0.194174111844787,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
38,2.64697003468657,0.2357180347307215,AK,2023-01-17,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
39,2.4123635149985,0.227283478185431,AK,2023-01-18,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
40,0.476045355402275,0.3357652937332025,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
41,2.55984111027482,0.1905646595520475,AK,2023-01-20,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0
42,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.59848518774787,0.51123827616783,AL,2022-12-11,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0
44,1.34209408528716,0.428206223773873,AL,2022-12-12,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1
45,0.0927278477173608,0.0692678105482345,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1.02579627769989,0.320564509816209,AL,2022-12-14,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
47,1.42804448280801,0.28719459349568,AL,2022-12-15,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
48,0.828479211719568,0.287792660861985,AL,2022-12-16,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
49,0.248377513899566,0.0546363774294815,AL,2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
50,0.252131488019626,0.0517721240197105,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
51,0.428194202835651,0.195238838413521,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
52,1.4988180731263,0.227062292948993,AL,2022-12-20,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
53,2.62722378760116,0.448626210452797,AL,2022-12-21,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1
54,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0627816916982352,0.04064986833004295,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.28298260577528,0.284686038534737,AL,2022-12-26,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
59,1.07550400802975,0.214386744695038,AL,2022-12-27,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1
60,2.25803640762742,0.38536094953566,AL,2022-12-28,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1
61,2.44030266416956,0.306324158094074,AL,2022-12-29,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1
62,2.11636297913245,0.419417189033022,AL,2022-12-30,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1
63,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.41673633978147,0.226820805425994,AL,2023-01-02,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
66,2.32094973704533,0.241006675431088,AL,2023-01-03,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1
67,2.16941378986547,0.3707188025194065,AL,2023-01-04,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
68,1.04226788571152,0.2430136774214455,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
69,1.70744043865434,0.399834667264158,AL,2023-01-06,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
70,2.40509133231456,0.464125073468974,AL,2023-01-07,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
71,1.5747649477486,0.72569754343008,AL,2023-01-08,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
72,1.10552739092894,0.298438713655036,AL,2023-01-09,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
73,0.976876737223857,0.233322622826566,AL,2023-01-10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
74,0.343526389724991,0.299683486040999,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
75,0.948746192636711,0.433807929283608,AL,2023-01-12,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
76,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1.92758391470282,0.275347502007274,AL,2023-01-18,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
82,0.331260618825609,0.1834414036981705,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0.351564101102142,0.2006480718692995,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
84,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.830231013248635,0.3056403951969245,AR,2022-12-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
86,3.81850443904076,0.328768580035752,AR,2022-12-12,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
87,1.36690103278255,0.3037968693741735,AR,2022-12-13,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
88,2.25107190955954,0.291378637695515,AR,2022-12-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
89,1.81948371237117,0.1897958233237255,AR,2022-12-15,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1
90,2.81931011506381,0.430092748064329,AR,2022-12-16,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
91,0.843268993025135,0.2676384705003635,AR,2022-12-17,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
92,0.649418079679475,0.256779063941508,AR,2022-12-18,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
93,1.93610484914642,0.23588949167265,AR,2022-12-19,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
94,2.50152431438644,0.3176426898450195,AR,2022-12-20,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1
95,1.55543168956582,0.239302526489217,AR,2022-12-21,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
96,1.36973247016053,0.2882301530586015,AR,2022-12-22,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
97,1.82215371941678,0.379096699542476,AR,2022-12-23,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
98,1.70616061779585,0.069711353468798,AR,2022-12-24,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
99,0.759132531204865,0.220612560551362,AR,2022-12-25,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
100,3.54329169936255,0.1212425508013635,AR,2022-12-26,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
101,0.962042563808884,0.307860687457542,AR,2022-12-27,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
102,1.11619826584031,0.283792312306918,AR,2022-12-28,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
103,6.10008893882576,0.4112971497701715,AR,2022-12-29,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
104,1.475929595337,0.2063980853868285,AR,2022-12-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
