...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
64,0.222159992482072,0.0326279486802535,AL,2022-10-09,1,1,1,1,1,1,1,1,1,1
65,0.123440079400669,0.03468717250024775,AL,2022-10-10,1,1,1,1,1,1,1,1,1,1
66,0.238453679627538,0.03706820730963355,AL,2022-10-11,1,1,1,1,1,1,0,0,1,1
67,1.99373659796688,0.3663528316481375,AL,2022-10-12,1,0,1,0,1,0,0,1,0,1
68,0.440126343540637,0.173869295869232,AL,2022-10-13,1,1,1,1,1,0,0,1,1,1
69,0.357951804037585,0.0465941223464766,AL,2022-10-14,1,1,1,1,1,0,0,1,1,1
70,0.0389566196904621,0.0507365574998085,AL,2022-10-15,1,1,1,1,1,1,1,1,1,1
71,0.870720319149316,0.197703413616887,AL,2022-10-16,1,1,0,1,1,0,1,0,1,1
72,0.987453987243659,0.410476312502161,AL,2022-10-17,1,1,0,1,1,1,0,0,1,1
73,0.0492386876703322,0.066908204980189,AL,2022-10-18,1,1,1,1,1,1,1,1,1,1
74,0.157488163584777,0.0737702113052065,AL,2022-10-19,1,1,1,1,1,1,0,1,0,1
75,0.053423119323519,0.081484588868634,AL,2022-10-20,1,1,1,1,1,1,0,1,0,1
76,0.0596194677588177,0.090121844771242,AL,2022-10-21,1,1,1,1,1,0,0,1,1,1
77,0.0576257236221984,0.0997507487536845,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1
78,0.220962525548988,0.11043655315633,AL,2022-10-23,1,1,1,1,1,1,1,1,1,1
79,0.0739391720286596,0.122239037961926,AL,2022-10-24,1,1,1,1,1,1,1,1,1,1
80,0.244326386546154,0.1352104334831255,AL,2022-10-25,1,1,1,1,1,1,0,1,0,1
81,0.796264084376294,0.3355586504513735,AL,2022-10-26,1,1,1,1,1,1,1,1,1,1
82,2.06929536420023,0.705203320688655,AL,2022-10-27,1,0,0,1,1,1,0,0,0,1
83,NA,NA,AL,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.487893755438186,0.256842310506877,AL,2022-10-29,1,1,1,1,1,1,0,1,0,1
85,0.931314193613412,0.1864103208570625,AR,2022-09-18,1,1,1,1,1,0,0,1,1,1
86,1.4326589720439,0.117712195022777,AR,2022-09-19,1,1,0,1,0,0,0,0,1,0
87,0.608855472763312,0.079921015921515,AR,2022-09-20,1,1,1,1,1,1,0,1,0,1
88,1.8007975433825,0.119313373724604,AR,2022-09-21,1,1,1,1,0,0,0,1,1,0
89,0.526471541777795,0.0640775507667695,AR,2022-09-22,1,1,1,1,1,0,0,1,0,1
90,0.601696866417313,0.2078318836926055,AR,2022-09-23,1,1,1,1,1,0,0,1,1,1
91,0.016718479150783,0.0120499564969849,AR,2022-09-24,1,1,1,1,1,1,1,1,1,1
92,0.0597904986218121,0.0122229000921668,AR,2022-09-25,1,1,1,1,1,0,0,1,1,1
93,1.40109696023505,0.063993391667987,AR,2022-09-26,0,1,1,1,0,0,0,1,1,0
94,0.47490565134284,0.068255987448651,AR,2022-09-27,1,1,1,1,1,0,0,1,1,1
95,0.586908798639395,0.0946787952129335,AR,2022-09-28,1,1,1,1,1,1,1,1,1,1
96,1.26891975624693,0.0131825848415724,AR,2022-09-29,1,0,1,1,1,0,0,1,1,1
97,1.21662576610749,0.2343981836499575,AR,2022-09-30,0,0,1,1,1,0,0,1,1,1
98,0.0652141009158214,0.01388308217677555,AR,2022-10-01,1,1,1,1,1,1,0,0,1,1
99,0.286489300978096,0.0143087309643989,AR,2022-10-02,1,1,1,1,1,1,0,0,1,1
100,1.34313550491658,0.178884138661969,AR,2022-10-03,0,1,1,1,1,1,0,1,0,1
101,0.798329115792455,0.191531962116912,AR,2022-10-04,1,1,1,0,1,1,0,1,0,1
102,2.50284704382135,0.0159883654947616,AR,2022-10-05,0,0,1,1,1,0,0,1,1,1
103,0.37626245257146,0.01671906725949245,AR,2022-10-06,1,1,1,1,1,0,0,1,1,1
104,1.78029540629501,0.1919107815360515,AR,2022-10-07,1,1,1,1,0,0,0,0,1,0
