...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.212315726408155,0.09870099849663,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.823744886132682,0.2973434662688365,AK,2023-01-09,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
3,1.21849352127018,0.1715711431099825,AK,2023-01-10,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
4,1.53480942259125,0.299988195055977,AK,2023-01-11,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1
5,1.55465608245561,0.1266757308293735,AK,2023-01-12,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
6,0.830111962909181,0.230045186332535,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.278359796756039,0.1458459354730365,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.304022427187076,0.1568088471951765,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.786903271759996,0.2165660966065105,AK,2023-01-16,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
10,2.75737478336045,0.2573298553500745,AK,2023-01-17,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1
11,2.48661969442853,0.269841611515796,AK,2023-01-18,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
12,0.44416484258057,0.2712146387999465,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,2.91881161367407,0.2383139769906785,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.257850176754287,0.252754716167891,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
16,1.13760746853612,0.277396169108962,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
17,3.58614344351526,0.3359344556222775,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
18,2.46695925814291,0.3856142156404965,AK,2023-01-25,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
19,5.27346702480292,0.3183883511830005,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
20,0.931029105468534,0.319762562165237,AK,2023-01-27,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
21,0.657334284280916,0.3773088299637315,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
22,1.04856544356388,0.3116996988287365,AK,2023-01-29,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
