...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.264009488132171,0.265793408802155,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1
2,0.744502249884957,0.2054472508090575,AK,2023-01-23,1,0,1,1,1,1,1,0,1,0,1,1
3,2.34864349595953,0.2843537199793415,AK,2023-01-24,1,0,1,0,1,0,1,0,0,0,0,0
4,1.79540001236831,0.352826241220112,AK,2023-01-25,1,1,1,1,1,0,1,0,1,0,1,0
5,3.59982545968813,0.2517090059800555,AK,2023-01-26,1,0,1,0,1,1,1,0,1,0,1,0
6,0.854302619323202,0.320997356315029,AK,2023-01-27,0,1,1,1,1,1,1,0,1,0,1,1
7,0.408606178858335,0.2840135379947805,AK,2023-01-28,1,1,1,1,1,1,1,0,1,0,1,1
8,0.570686127138542,0.2726510832018405,AK,2023-01-29,1,1,1,1,1,1,1,0,1,0,1,1
9,1.69623709923875,0.321041189287538,AK,2023-01-30,1,0,1,0,1,1,1,0,1,0,0,1
10,0.62682732956614,0.2499496002868415,AK,2023-01-31,1,1,1,1,1,1,1,0,1,0,1,1
11,0.562311695722536,0.167246494043784,AK,2023-02-01,1,1,1,1,1,1,1,0,1,0,1,1
12,0.924322561545974,0.2291832383897265,AK,2023-02-02,1,1,1,1,1,1,0,0,0,0,0,1
13,0.833147907780869,0.343910896232097,AK,2023-02-03,1,1,0,1,1,1,1,1,0,1,1,0
14,1.50654014653329,0.296486278733343,AK,2023-02-04,1,0,1,1,1,1,1,0,1,0,1,1
15,0.754353092449449,0.115764247066246,AK,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
16,3.04978878221609,0.130659758695129,AK,2023-02-06,1,0,1,0,1,1,1,0,1,0,0,1
17,0.842318681655,0.2641426380957485,AK,2023-02-07,1,1,1,1,0,1,1,0,1,1,0,1
18,0.867248797774817,0.2726471613858415,AK,2023-02-08,1,1,0,1,1,1,1,0,0,1,1,1
19,0.451927327279004,0.3037244331789335,AK,2023-02-09,1,1,1,1,1,1,1,0,1,0,1,1
20,1.53836846037615,0.068720437343467,AK,2023-02-10,1,0,1,0,1,1,1,1,1,1,1,1
21,0.431513851127217,0.146692208082659,AK,2023-02-11,1,1,1,1,1,1,1,0,1,1,1,0
