...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,1.85660098650882,0.0137795570912595,AK,2022-07-31,0,0,1,1,0,0,0,1
2,1.55096976683822,0.1016072662027855,AK,2022-08-01,1,1,0,1,0,1,0,1
3,0.460106573766895,0.072430732803825,AK,2022-08-02,1,1,1,1,1,1,1,1
4,0.546481126266571,0.01171587695775065,AK,2022-08-03,1,1,1,1,1,1,1,1
5,0.844935041805902,0.155064548954378,AK,2022-08-04,1,1,1,1,0,0,1,1
6,1.41068156645276,0.169927144213819,AK,2022-08-05,0,0,1,1,1,0,0,1
7,0.409213203575526,0.01000147492768295,AK,2022-08-06,1,1,1,1,1,1,1,1
8,0.409031371927166,0.009495092078323,AK,2022-08-07,1,1,1,1,1,1,1,1
9,0.57521119992802106,0.094452834096616,AK,2022-08-08,1,1,1,1,0,0,1,1
10,0.734915073060354,0.0875597087398495,AK,2022-08-09,1,1,1,1,0,0,1,1
11,1.40262461882963,0.00814114151334615,AK,2022-08-10,0,0,1,1,0,0,1,1
12,0.518905049014354,0.1452601706466245,AK,2022-08-11,1,1,1,1,1,1,1,1
13,0.351241940661344,0.00735850856804505,AK,2022-08-12,1,1,1,1,1,1,1,1
14,1.00565844505062,0.158547003830567,AK,2022-08-13,0,1,1,1,0,0,1,1
15,0.582136001532197,0.174166086333092,AK,2022-08-14,1,1,1,1,0,0,1,1
16,0.418215315187829,0.0063352324774956,AK,2022-08-15,1,1,1,1,1,1,1,1
17,0.40191739578547,0.0999483481017835,AK,2022-08-16,1,1,1,1,0,0,1,1
18,0.95451001970568,0.088814669781662,AK,2022-08-17,1,1,0,1,1,0,0,1
19,0.0691249548615744,0.00546456018356305,AK,2022-08-18,1,1,1,1,1,1,1,1
20,0.396225089633219,0.090815259755221,AK,2022-08-19,1,1,1,1,1,1,1,1
21,1.03499805440836,0.4347283926280205,AK,2022-08-20,0,0,1,1,0,0,1,1
22,0.174241250117244,0.004720793644227785,AK,2022-08-21,1,1,1,1,1,1,1,1
23,1.79416469595564,0.293210706952019,AK,2022-08-22,0,0,1,1,0,0,1,1
24,0.00599202285813716,0.00428510700341918,AK,2022-08-23,1,1,1,1,1,1,1,1
25,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0235564827540222,0.003891486192156865,AK,2022-08-25,1,1,1,1,1,1,1,1
27,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0178232363676248,0.003535477129829985,AK,2022-08-27,1,1,1,1,1,1,1,1
29,0.0196618385603824,0.003370337303540785,AK,2022-08-28,1,1,1,1,0,0,1,1
30,0.0478163524943868,0.003213173881729455,AK,2022-08-29,1,1,1,1,1,1,1,1
31,0.0222977472896025,0.00306357100355475,AK,2022-08-30,1,1,1,1,1,1,1,1
32,0.792355483845712,0.181318813018263,AK,2022-08-31,0,1,1,1,0,0,1,1
33,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
34,0.00388723467744648,0.00265633030452606,AK,2022-09-02,1,1,1,1,1,1,1,1
