...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
1,0.661665066309243,0.06854163246167,AK,2023-02-12,1,1,1,1,1,1,1,0,1,0,1,1
2,1.9350359418799,0.2911445028569135,AK,2023-02-13,1,0,1,0,1,0,1,1,1,0,1,0
3,0.688041471614512,0.234366609423886,AK,2023-02-14,1,1,1,1,1,1,1,0,1,0,0,1
4,0.968221652128319,0.274062870430241,AK,2023-02-15,1,0,1,1,1,1,0,1,1,0,1,1
5,1.06581790857348,0.04519491967296175,AK,2023-02-16,1,1,1,0,1,1,1,0,1,0,1,1
6,0.38095444905258,0.1269336482688365,AK,2023-02-17,1,1,1,1,1,1,1,0,0,0,1,1
7,0.415576854004355,0.1928150281281115,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
8,0.696785307873173,0.3556492459967295,AK,2023-02-19,1,1,1,1,1,1,0,0,1,1,1,1
9,0.632236576037059,0.1178315278544975,AK,2023-02-20,1,1,1,1,1,1,1,0,0,0,1,1
10,0.364140657231763,0.111489838049297,AK,2023-02-21,1,1,1,1,1,1,1,1,0,0,1,1
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.245078070986096,0.02060661325228985,AK,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
13,1.11144311094877,0.438645934980934,AK,2023-02-24,1,1,1,0,1,0,1,0,1,1,1,0
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0149192742308895,0.01286386855482945,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.00743932900986105,0.00624801357607935,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0197449914753534,0.004346593158525475,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
26,0.00453272416776272,0.003852623928026095,AK,2023-03-09,1,1,1,1,1,1,1,0,1,0,1,1
27,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.00283483351334116,0.00238735856277208,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.0026603195605556,0.001886237868710085,AK,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
33,0.00203312999024,0.001678723619342455,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
34,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.00215770806304005,0.00133365408311584,AK,2023-03-18,1,1,1,1,1,1,1,0,1,0,1,1
36,NA,NA,AK,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
