...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
126,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.24946578438104,0.176616774279331,AZ,2023-03-19,0,1,0,0,1,1,1,0,0,0,0,0,1,1
128,2.25120000190722,0.0918965130421775,AZ,2023-03-20,0,1,1,1,1,1,1,0,0,0,1,0,0,1
129,1.66540591778203,0.174230940043549,AZ,2023-03-21,1,0,0,1,1,1,1,1,0,1,1,1,0,1
130,0.938450181332184,0.099129831598311,AZ,2023-03-22,1,0,1,1,1,1,1,0,0,0,1,0,1,1
131,0.750819215277529,0.1169738905719445,AZ,2023-03-23,0,1,1,1,1,1,1,0,1,1,1,0,1,1
132,0.100225134001877,0.00233417888662007,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,0.00300229053814016,0.0022211558363955,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,1.10420701611009,0.1051473382005,AZ,2023-03-26,0,0,1,1,1,1,1,0,0,0,1,1,1,1
135,2.43226690352367,0.115223234223984,AZ,2023-03-27,0,1,0,1,0,1,0,0,0,0,1,0,1,0
136,1.13201471414261,0.0456222018034652,AZ,2023-03-28,1,1,1,1,1,1,0,1,0,1,1,1,0,0
137,0.287614420562108,0.001907792988892455,AZ,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,2.29005751686753,0.2352637062459985,AZ,2023-03-30,0,1,0,0,0,1,1,0,1,0,0,0,1,1
139,0.0132141774982831,0.001819609752832895,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,0,0,1,1,1
140,1.17548907125011,0.3137571503569755,AZ,2023-04-01,0,1,0,1,1,1,1,0,1,0,1,1,1,1
141,0.884889080598984,0.1555980599277305,AZ,2023-04-02,1,1,1,1,0,1,1,1,1,1,1,1,1,1
142,0.735741619596596,0.051481584467408,AZ,2023-04-03,1,1,1,1,1,0,1,1,1,0,1,0,0,1
143,2.75628492118859,0.1794744795423635,AZ,2023-04-04,0,1,0,1,0,1,0,0,0,0,1,0,1,0
144,1.08174049349323,0.0836895333133775,AZ,2023-04-05,0,1,1,1,1,0,1,0,1,0,1,1,0,1
145,0.0451567886694362,0.00176615163685291,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,0.108407103912279,0.001784466760232575,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,0.70999001913521,0.093751287804485,AZ,2023-04-08,1,1,1,1,0,1,1,1,1,0,1,0,1,1
148,2.33346698141673,0.1449836906069115,AZ,2023-04-09,1,1,0,1,0,0,1,1,1,0,1,0,0,1
149,2.60062923068841,0.143935741753544,AZ,2023-04-10,1,1,0,1,0,1,1,1,1,0,1,0,1,1
150,3.52291118562319,0.2242076104914165,AZ,2023-04-11,1,0,0,0,0,1,0,1,0,0,0,0,1,0
151,0.0129387613125088,0.001988881392016425,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,0.107425890188272,0.002053540527995475,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1.16077623932687,0.315702537232029,AZ,2023-04-14,0,1,0,1,1,1,1,0,1,0,1,1,1,1
154,0.148568340153956,0.002209371948146015,AZ,2023-04-15,1,1,1,1,1,1,1,1,1,0,1,1,0,1
155,1.69308786420291,0.270421892976161,AZ,2023-04-16,1,1,0,1,1,0,0,1,1,0,1,1,0,0
156,1.50630817799911,0.1081629310569965,AZ,2023-04-17,1,0,1,1,0,1,1,1,0,0,1,0,0,1
157,1.86061603038771,0.184963868457068,AZ,2023-04-18,1,1,0,1,0,1,1,1,1,0,1,0,0,1
158,1.13269039314697,0.04023746011127755,AZ,2023-04-19,1,1,1,1,1,1,0,0,1,0,1,1,0,0
159,4.93149471133962,0.2586493735456865,AZ,2023-04-20,1,1,0,0,0,1,0,0,1,0,0,0,1,0
160,1.24784706280084,0.924698323151975,AZ,2023-04-21,1,1,0,1,1,0,1,1,1,0,1,1,0,1
161,0.0469505327884577,0.003104688144917345,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,0.963038435399884,0.0737291404072015,AZ,2023-04-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1
163,0.908808195466331,0.04209475488343215,AZ,2023-04-24,1,1,1,1,1,1,1,1,1,0,1,1,0,1
164,2.14903689963437,0.1364159039837275,AZ,2023-04-25,1,1,1,1,0,1,0,1,1,0,1,0,0,0
165,1.47556077229776,0.097346978842692,AZ,2023-04-26,1,1,1,1,0,1,1,1,1,0,1,0,0,1
166,0.676905730283511,0.0717516886723815,AZ,2023-04-27,1,1,1,1,1,1,1,0,1,0,1,1,0,1
167,0.422779336227261,0.00454028055523244,AZ,2023-04-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,0.226919848974554,0.004871318767962315,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,0,1,0,0,1
