...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22B_50_CI,X22C_50_CI,X22D_50_CI,X22E_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X21K_95_CI,X21L_95_CI,X22B_95_CI,X22C_95_CI,X22D_95_CI,X22E_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,3.819024914387,0.700394955789815,AK,2023-03-26,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
2,1.08607200183243,0.234437681406475,AK,2023-03-27,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
3,0.00805993221024272,0.00142784178623527,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.014856511233616,0.00141966359012774,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.0281784264514463,0.00141955681882163,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.0189468783611424,0.00142725575556019,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.0295515505560161,0.00144259890154283,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.0435952102216091,0.001465523796144665,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.04403177730861,0.233735691522321,AK,2023-04-03,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
10,0.0270439320604113,0.00153434322823275,AK,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
11,0.0808107530045004,0.001580581266143195,AK,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
12,0.00853645626987576,0.001635087045349105,AK,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.98880054991417,0.1866227269164265,AK,2023-04-07,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
14,0.00751459879460349,0.00177060834552133,AK,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.00250963510559103,0.001852718822107615,AK,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.31168078807876,0.92207851757191,AK,2023-04-10,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
17,0.033780502618898,0.00204914207413167,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.00211323104626637,0.002165182893013285,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0377640973071225,0.002294457523731885,AK,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.00330204724532181,0.00243813380092596,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.0030182428690529,0.00259751424775977,AK,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.00373598453315585,0.002774044091832675,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.24923311321605,0.4701656385337635,AK,2023-04-17,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
24,0.015876389661835,0.003185096260929765,AK,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,NA,NA,AK,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.00511098194853922,0.00368602294866744,AK,2023-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,NA,NA,AK,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
