...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.207572920811227,0.132156559707617,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.837470795762471,0.3024061126558475,AK,2023-01-09,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
3,1.25417339435686,0.1920505928028165,AK,2023-01-10,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
4,1.54278121155618,0.317243599175669,AK,2023-01-11,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1
5,1.54341185649535,0.1671920740077205,AK,2023-01-12,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1
6,0.806603914840526,0.2379912580648855,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
7,0.289529750445747,0.190324390448523,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.309407893853843,0.2033268492913565,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
9,0.8226333216624,0.2382276859402985,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
10,2.83372442839081,0.2770246831888985,AK,2023-01-17,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1
11,2.53692614153607,0.2998754666563275,AK,2023-01-18,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
12,0.454747156396685,0.252632478234455,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,2.87491308772703,0.2703796029964095,AK,2023-01-20,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.261134665769596,0.257884538154601,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.1745791907339,0.3389465330066145,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
17,3.69460242342771,0.3777702007786995,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1
18,2.406878550987,0.4074835550717005,AK,2023-01-25,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
19,5.44233167419573,0.371717127713455,AK,2023-01-26,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
20,0.944189421232628,0.32280732750808,AK,2023-01-27,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
21,0.671172632689534,0.4437348546240135,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1.029999281357,0.344907785168461,AK,2023-01-29,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
23,2.35140338030438,0.487143767914382,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,1.07851012316901,0.266300165300641,AK,2023-01-31,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
25,0.285363370157802,0.075806060494971,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1.26043558430975,0.2291514328032265,AK,2023-02-02,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
27,1.04444101980491,0.367529106279401,AK,2023-02-03,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
28,2.6997312166502,0.362223797567349,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
29,0.332878206127171,0.04812590476269995,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.25909449085746,0.0849047692438315,AK,2023-02-06,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
31,0.962091275053883,0.2681676695277575,AK,2023-02-07,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
32,1.41803690561599,0.2914609340320505,AK,2023-02-08,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
33,0.745254528183579,0.3593843575432525,AK,2023-02-09,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.682974156529149,0.0260120411873425,AK,2023-02-10,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
35,0.397967039436261,0.1396366706784445,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.239573166849263,0.02008577251355755,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,3.61431098240934,0.3342941178706915,AK,2023-02-13,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
38,1.4275862300735,0.2668545474798745,AK,2023-02-14,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
39,1.65623113855699,0.3216083548563365,AK,2023-02-15,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
40,0.378285588822727,0.01176753500829285,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.476662156928534,0.1245014078293765,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
42,0.717927404854084,0.212208192813517,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
43,1.48036969285452,0.68786440596701,AL,2023-01-08,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1
44,0.913875466851097,0.296636650367563,AL,2023-01-09,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
45,0.851622541884402,0.234842453412925,AL,2023-01-10,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
46,0.443116773433704,0.311197323793766,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.951250686056913,0.4326988540477955,AL,2023-01-12,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
48,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1.46453831522276,0.243228091960293,AL,2023-01-18,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1
54,0.246048085709553,0.1488558231148215,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
55,0.261703627834739,0.160173772447864,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.306005536447265,0.19921245327572,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.34271587594895,0.2139224784445305,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.35425280391588,0.2816873900650475,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0.978484470929792,0.4737483267335715,AL,2023-01-26,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
62,0.490208754779272,0.2526851284629485,AL,2023-01-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
63,1.00092578481517,0.70277286480568,AL,2023-01-28,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
64,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.07026073317859,0.196087973785926,AL,2023-01-30,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
66,0.227208724602361,0.1807857771629575,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
67,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.875357555417576,0.34972915894596,AL,2023-02-02,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
69,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.144187642708916,0.126951572965206,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
71,0.6746389125619,0.442697407094084,AL,2023-02-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
72,0.414331377932857,0.284421469534352,AL,2023-02-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
73,0.723210105651417,0.4856936742115875,AL,2023-02-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.786716913809585,0.0853830827806625,AL,2023-02-08,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
75,1.07473511802791,0.74303930260159,AL,2023-02-09,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
76,0.0816855692469636,0.0689915175881495,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0595381504865886,0.04927964851254175,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.149690496092365,0.04387045379624205,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
81,0.279953801119595,0.03898054547352655,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
82,0.0379976697648599,0.03457273448787905,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2.07271029842549,0.3234877680130175,AR,2023-01-08,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1
