...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.245444244798225,0.1556991839543655,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.674482888414618,0.218296841881762,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
3,2.16201413513226,0.2560260264840515,AK,2023-01-17,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
4,2.15431791338533,0.2645232015564235,AK,2023-01-18,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
5,0.534401869261251,0.279280372680558,AK,2023-01-19,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
6,2.32159452300816,0.236225718506114,AK,2023-01-20,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.23685871470456701,0.2556057603902615,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
9,1.01825549699666,0.2677059571217465,AK,2023-01-23,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
10,3.05137000479355,0.3273035623272445,AK,2023-01-24,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
11,2.41318307625341,0.3795329594832555,AK,2023-01-25,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0
12,4.79298720002427,0.3096912334334665,AK,2023-01-26,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
13,0.8410132564108,0.3173593204235755,AK,2023-01-27,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
14,0.561244794240665,0.3656102603769335,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
15,0.862401317991658,0.3071160227201265,AK,2023-01-29,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
16,2.15431203511374,0.408779266543849,AK,2023-01-30,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
17,0.881621771501927,0.254113728094932,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
18,0.378581516635505,0.109878000621979,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
19,0.920913042970393,0.224535118558751,AK,2023-02-02,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
20,0.956147602139954,0.354809258750285,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
21,2.18612501796513,0.331464441005978,AK,2023-02-04,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
22,0.449546615060334,0.071246532729273,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
23,1.83399194799647,0.099261733917169,AK,2023-02-06,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
24,0.855084499648237,0.264527121831114,AK,2023-02-07,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
25,1.1309785635311,0.2818126323817655,AK,2023-02-08,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
26,0.644675079148612,0.3358618053277575,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.889452164699698,0.03907497876787165,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
28,0.350450290421919,0.1398404624487455,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
29,0.341128045101732,0.03025002486409335,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3.00279993461821,0.3202549272115115,AK,2023-02-13,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
31,1.22409927732847,0.2559563126340045,AK,2023-02-14,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
32,1.45961556904691,0.307441410176378,AK,2023-02-15,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
33,0.553778261012008,0.0177306827591112,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
34,0.401243242094084,0.123162352520041,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.60941340527746,0.206079364611704,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
36,0.920157093502173,0.40474506665254,AK,2023-02-19,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
37,0.762583387031482,0.116913194769983,AK,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.457209029003162,0.1106109296094235,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.10333793093694,0.0065905057399977,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1.20322359595345,0.459465214086654,AK,2023-02-24,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
42,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.43264555701601,0.259975906936964,AL,2023-01-18,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
47,0.241193090550239,0.1732615028007725,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
48,0.272091860834527,0.1855633363835885,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.33035935465052,0.2275632682451225,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
52,0.346859479258773,0.243224939726325,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
53,0.350163647826745,0.2517939492943745,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0.970952422540061,0.454583236637303,AL,2023-01-26,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
55,0.482595061561266,0.2487940639762035,AL,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
56,0.999540407067072,0.701555682858265,AL,2023-01-28,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
57,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.0671630798348,0.1720192294808385,AL,2023-01-30,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
59,0.223949994718418,0.1580116618793015,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.875619317126855,0.348653759378205,AL,2023-02-02,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
62,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.141963353476335,0.109402506130682,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0.70817837312652,0.4774949866034965,AL,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
65,0.397366469393403,0.2941742504340695,AL,2023-02-06,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
66,0.724173878052742,0.519905329013435,AL,2023-02-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
67,0.797272236768479,0.0726555390392095,AL,2023-02-08,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
68,1.08163324166597,0.748820812517435,AL,2023-02-09,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
69,0.0791127329407637,0.0583794975146665,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.0582179255587615,0.04139368785482825,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.171474429705842,0.0367705142391237,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
74,0.266147287817427,0.032606347456376,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.0406941931893829,0.028865631051777,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0197741562469683,0.01746768568662635,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.0213657970421218,0.01535574120553855,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1.11221401194359,0.785793463435525,AL,2023-02-22,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
82,0.0164913564520833,0.0118270636757806,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,1.17146431467381,0.4529631458618775,AL,2023-02-24,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
84,1.28248328839768,0.90166242872483,AL,2023-02-25,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
85,4.22032778091385,0.4988026260954315,AR,2023-01-15,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
86,6.92850543157643,0.617544624832135,AR,2023-01-16,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
87,3.44602468981732,0.2446866785351485,AR,2023-01-17,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
88,4.12473232043996,0.346247599696431,AR,2023-01-18,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
89,2.37615389648555,0.276922816166432,AR,2023-01-19,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1
90,3.30257909001079,0.4355271729539965,AR,2023-01-20,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
91,1.37436933867877,0.504486209548005,AR,2023-01-21,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1
92,0.779912986016956,0.196460907889887,AR,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
93,2.45490136044509,0.244398954168322,AR,2023-01-23,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1
94,3.88540162457481,0.323867706750983,AR,2023-01-24,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
