"","es_score","brier_score","location","target_date","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23B_50_CI","other_50_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23B_95_CI","other_95_CI"
"56",NA,NA,"AL",2023-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1.19197458215477,0.929785850204039,"AL",2023-03-20,1,1,0,1,1,0,1,1,0,1,1,0
"59",NA,NA,"AL",2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0.00838396709503321,0.00825732800173043,"AL",2023-03-22,1,1,1,1,1,1,1,1,1,1,1,1
"61",NA,NA,"AL",2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0.00863235956445593,0.00850046642261263,"AL",2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
"63",1.19907342972733,0.929774451154937,"AL",2023-03-25,1,1,0,1,1,0,1,1,0,1,1,0
"64",NA,NA,"AL",2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0.0335139330175468,0.00919716977824162,"AL",2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
"66",NA,NA,"AL",2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"AL",2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"AL",2023-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.0136160622903011,0.0128157032712553,"AL",2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1
"73",NA,NA,"AL",2023-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",0.0138620788814874,0.0146055079249198,"AL",2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1
"75",2.42807176365371,1.80814945684088,"AL",2023-04-06,1,1,0,1,1,0,1,1,0,1,1,0
"76",NA,NA,"AL",2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",0.0853314197787951,0.0183076680894611,"AL",2023-04-08,1,1,1,1,1,1,1,0,0,1,1,1
"78",NA,NA,"AL",2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1.07111215264223,0.89859719721257,"AL",2023-04-10,1,0,1,1,1,1,1,0,0,1,1,1
"80",1.18246722023499,1.7594756689893,"AL",2023-04-11,0,1,0,1,1,1,0,1,0,1,1,1
"81",0.0367232936375554,0.0261680235238196,"AL",2023-04-12,1,1,1,1,1,1,1,1,0,1,0,1
"82",NA,NA,"AL",2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",0.0503714868807652,0.0320262311336731,"AL",2023-04-14,1,1,1,1,1,1,1,1,0,1,0,1
"84",0.0583748042672632,0.0356256752270219,"AL",2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1
"85",0.127950357436894,0.051645361457981,"AR",2023-03-05,1,1,1,1,1,1,0,1,0,1,1,1
"86",1.07216086202159,0.0465587288644469,"AR",2023-03-06,1,1,0,1,1,1,0,1,0,1,1,1
"87",0.700350853489307,0.0419494662587041,"AR",2023-03-07,1,1,1,1,1,1,1,1,0,0,1,1
