...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.00411712922885082,0.00319230536921153,AK,2023-03-19,1,1,1,1,1,1,1,0,1,0,1,1,1,1
2,0.17804505283806,0.00294194552405666,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.750359283753478,0.115232973703094,AK,2023-03-21,0,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.14539516544783,0.236784943741166,AK,2023-03-22,1,1,0,0,1,1,1,0,1,1,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.936413683757228,0.184527189418783,AK,2023-03-24,0,1,0,1,1,1,1,1,1,1,1,1,1,1
7,0.002325971190449,0.00208510282794296,AK,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.82102387185173,0.70214732537341,AK,2023-03-26,1,1,0,1,0,1,1,0,1,0,1,0,1,1
9,1.06426565837296,0.2354735193548455,AK,2023-03-27,1,1,0,1,0,1,1,1,1,0,1,0,1,1
10,0.00988024065649259,0.001814481862617915,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0214338690014136,0.00175674960282987,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0318340202270183,0.00171397831154163,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0215930810195798,0.001685725033381975,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0378223668049391,0.001671757615692975,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0587313906732786,0.00167205505220665,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.06161475963003,0.2354371712649315,AK,2023-04-03,1,1,0,1,0,1,1,1,1,0,1,0,1,1
17,0.0361190458420538,0.001716436538326275,AK,2023-04-04,1,1,1,1,1,1,1,1,1,0,0,1,1,1
18,0.108926463659187,0.001761573845625945,AK,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.00929915924470842,0.00182310121618151,AK,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.00174103315541,0.1882074383467875,AK,2023-04-07,1,1,0,1,0,1,1,0,1,1,1,0,1,1
21,0.0147844361201239,0.00200011364713119,AK,2023-04-08,1,1,1,1,1,1,1,1,1,0,1,1,0,1
22,0.00460142666133088,0.00211867656848857,AK,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.29905160640046,0.929209801626035,AK,2023-04-10,1,1,0,1,0,1,1,1,1,0,1,0,1,1
24,0.0650606453943705,0.00242585919647484,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.00496370574875578,0.002619443651917025,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.0725550893457841,0.00284360120084335,AK,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.0058965210116728,0.00310175103339476,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.00703220520975152,0.00339772899308252,AK,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.00789851000940867,0.0037358097997691,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
