...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.545894731298494,0.274073066669751,AK,2023-01-29,1,1,1,1,1,1,1,1,1,0,1,0
2,1.67377490652697,0.324692231736759,AK,2023-01-30,1,0,1,0,1,1,1,0,1,0,1,1
3,0.632926714157153,0.249620618788022,AK,2023-01-31,1,1,1,1,1,1,1,0,1,0,1,1
4,0.6265837123457,0.165077730313607,AK,2023-02-01,1,1,1,1,1,1,1,0,1,0,1,1
5,1.01503020641236,0.228661178188432,AK,2023-02-02,1,1,1,1,1,1,1,0,0,1,1,1
6,0.79837679705593,0.3441747116121195,AK,2023-02-03,1,1,0,1,1,1,1,1,0,0,1,1
7,1.41188129210366,0.2963002401001095,AK,2023-02-04,1,0,1,1,1,1,1,0,0,0,1,1
8,0.81504901627668,0.1156331328276605,AK,2023-02-05,1,1,1,0,1,1,1,0,1,0,1,1
9,3.22932588173288,0.1307768476207815,AK,2023-02-06,1,0,1,0,1,1,1,0,1,0,0,1
10,0.849327201743827,0.2653917961666695,AK,2023-02-07,1,1,1,1,0,1,1,1,1,1,0,0
11,0.822789937135405,0.272547374461394,AK,2023-02-08,1,1,0,1,1,1,1,1,0,0,1,0
12,0.419088184005934,0.302452161402055,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
13,1.62321140513772,0.0699050764700145,AK,2023-02-10,1,0,1,0,1,1,1,0,1,0,1,1
14,0.487974209297469,0.1469773554938025,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,1
15,0.714421479447623,0.0562358574278735,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
16,1.75954545786134,0.2979887624056345,AK,2023-02-13,1,1,1,0,1,0,0,0,1,0,1,0
17,0.70358339026745,0.2388213832510485,AK,2023-02-14,1,1,1,1,1,1,1,0,1,0,1,1
18,0.902071740847739,0.282141853677205,AK,2023-02-15,1,0,1,1,1,1,1,0,1,0,1,1
19,1.04216341180399,0.03552237482804775,AK,2023-02-16,1,1,1,0,1,1,1,1,1,1,1,1
20,0.392826166462458,0.12433727108621,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1
21,0.40808547859958,0.1955133967292205,AK,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
22,0.705444295147313,0.3697097729407275,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
23,0.63738004027997,0.116321906618393,AK,2023-02-20,1,1,1,1,1,1,1,0,1,0,1,1
24,0.386094436905981,0.1100656729813905,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
25,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.251412764622925,0.01492214745922375,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
27,1.07653237844509,0.44180584945239,AK,2023-02-24,1,1,1,1,0,1,1,1,1,0,0,1
28,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0134819099959518,0.00884605399218775,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.00744207258499725,0.00393720679932529,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.0185378261258197,0.00260592373915633,AK,2023-03-08,1,1,1,1,1,1,1,0,1,0,1,1
40,0.0034477253851527,0.00226909255975291,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.08084697499868,0.1560006594125735,AL,2023-01-30,1,1,1,0,1,1,1,0,1,0,1,1
45,0.229894259589368,0.142421608295177,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1
46,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
