...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
25,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0257540397298373,0.004202220100449805,AK,2022-08-25,1,1,1,1,0,0,1,1
27,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0175134732958396,0.003820426749447485,AK,2022-08-27,1,1,1,1,1,1,1,1
29,0.0162289296255344,0.0036431524196021,AK,2022-08-28,1,1,1,1,1,1,1,1
30,0.044756007271736,0.00347433755192877,AK,2022-08-29,1,1,1,1,1,1,1,1
31,0.0184119810615839,0.00331355000424904,AK,2022-08-30,1,1,1,1,1,1,1,1
32,0.821038747424221,0.180689365899506,AK,2022-08-31,0,0,1,1,0,0,1,1
33,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
34,0.00335117702850851,0.002875397080492535,AK,2022-09-02,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA
36,0.00401247743057889,0.00261656454692393,AK,2022-09-04,1,1,1,1,1,1,1,1
37,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
38,0.030205769203739002,0.002381373297794655,AK,2022-09-06,1,1,1,1,0,0,1,1
39,0.00362513847914867,0.00227193165280826,AK,2022-09-07,1,1,1,1,1,1,1,1
40,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA
43,0.942909007439331,0.2090549669593495,AL,2022-07-31,1,1,1,1,0,0,1,1
44,1.22024448939093,0.1261848098507325,AL,2022-08-01,1,1,1,1,0,0,0,1
45,1.05094833655478,0.1870274358810465,AL,2022-08-02,1,1,1,1,1,0,0,1
46,0.801525688657643,0.111353898449027,AL,2022-08-03,1,1,1,1,0,0,1,1
47,2.05968990863588,0.237314157650397,AL,2022-08-04,0,0,1,1,0,0,0,1
48,2.46222357581837,0.2237568368573735,AL,2022-08-05,0,0,1,1,0,0,1,1
49,1.82155432455294,0.2056897627760575,AL,2022-08-06,1,1,1,1,0,0,0,1
50,0.611045105863116,0.145856986796576,AL,2022-08-07,1,1,1,1,0,0,1,1
51,1.02276171631641,0.1620880057380695,AL,2022-08-08,1,1,1,1,0,0,1,1
52,1.53069152071539,0.0239340114790121,AL,2022-08-09,0,0,1,1,0,0,1,1
53,1.12321844650529,0.174454194969974,AL,2022-08-10,1,1,1,1,0,0,1,1
54,0.32323800867738,0.1625167960238685,AL,2022-08-11,1,1,1,1,0,0,1,1
55,4.80948268790355,0.3112631310046725,AL,2022-08-12,0,0,1,1,0,0,1,1
56,0.507702637583012,0.0923304025370725,AL,2022-08-13,1,1,1,1,0,0,1,1
57,0.833288027509057,0.0758268837731785,AL,2022-08-14,1,1,1,1,0,0,1,1
58,3.26773889887522,0.2373809563861635,AL,2022-08-15,0,0,1,1,0,0,1,1
59,0.643212644665501,0.146510149758446,AL,2022-08-16,1,1,1,1,0,1,0,1
60,1.04871841426401,0.1726585467318535,AL,2022-08-17,1,1,1,0,0,0,1,0
61,4.77996696266686,0.2701739572273555,AL,2022-08-18,0,0,1,1,0,0,0,1
62,2.73213466084045,0.2603005757522185,AL,2022-08-19,0,0,1,1,0,0,1,1
63,1.3659930428306,0.01874410084004365,AL,2022-08-20,0,0,1,1,0,0,1,1
64,1.19689702863243,0.0183514244248905,AL,2022-08-21,0,0,1,1,1,1,1,1
65,0.730821793606709,0.122545988291611,AL,2022-08-22,1,1,1,1,0,0,1,1
66,4.22556502407878,0.262533965541194,AL,2022-08-23,0,0,1,1,0,0,1,1
67,0.869609689302813,0.066403762152617,AL,2022-08-24,1,1,1,1,0,0,1,1
68,0.769507659837748,0.069754679466836,AL,2022-08-25,1,1,1,1,0,0,1,1
69,1.08317450876482,0.1637473089069415,AL,2022-08-26,1,1,1,0,0,0,1,0
70,0.605419775263636,0.117860215025223,AL,2022-08-27,1,1,1,1,0,0,1,1
71,0.45403040403636,0.1227420359585235,AL,2022-08-28,1,1,1,1,0,0,1,1
72,2.88215019883437,0.054044990631522,AL,2022-08-29,0,0,1,1,0,0,1,1
73,1.33401505805253,0.1719734294385795,AL,2022-08-30,1,1,1,0,0,0,1,0
74,2.00727085568011,0.216438091439007,AL,2022-08-31,0,0,1,1,0,0,1,1
75,0.520389438819976,0.072947979513674,AL,2022-09-01,1,1,1,1,1,1,1,1
76,0.408255235943401,0.0834789619982495,AL,2022-09-02,1,1,1,1,0,0,1,1
77,1.37539158606368,0.204784786307076,AL,2022-09-03,0,0,1,1,0,0,1,1
78,0.938739397337594,0.0137750848044628,AL,2022-09-04,1,1,1,1,0,0,1,1
79,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
80,0.704809026563782,0.1672210441064015,AL,2022-09-06,1,1,1,1,0,0,1,1
81,0.332870236115195,0.0901945462386045,AL,2022-09-07,1,1,1,1,0,0,1,1
82,1.89330817795524,0.194945647877511,AL,2022-09-08,0,0,1,1,0,0,1,1
83,0.356836214930676,0.141916965089681,AL,2022-09-09,1,1,1,1,0,0,1,1
84,0.842529057768269,0.4016753143447985,AL,2022-09-10,0,0,1,1,1,1,1,1
85,0.576548785857208,0.086465481678309,AR,2022-07-31,1,1,1,1,1,1,1,1
86,1.30152306277751,0.0756747077536895,AR,2022-08-01,1,1,1,1,0,0,0,1
87,1.66853705274248,0.0555273436489495,AR,2022-08-02,1,1,1,1,0,0,1,1
88,2.04032289762959,0.0549742158691435,AR,2022-08-03,1,0,1,1,0,0,1,1
89,4.0444159277594,0.168492012370122,AR,2022-08-04,0,0,1,1,0,0,0,1
90,0.973939897847415,0.1082318155522545,AR,2022-08-05,1,1,1,0,1,0,1,0
