...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
56,0.608153825345622,0.230550077962685,AL,2022-07-16,1,1,1,1,1,1,0,0,1,1
57,0.825313973538577,0.233028821321331,AL,2022-07-17,1,1,1,1,1,1,0,0,0,1
58,0.607220797452728,0.1885053807682345,AL,2022-07-18,1,1,1,1,1,1,0,0,0,1
59,3.58434395085944,0.149422810032803,AL,2022-07-19,1,0,0,1,0,1,0,0,0,0
60,1.27076576459315,0.225547239948056,AL,2022-07-20,1,1,1,1,1,1,0,0,0,1
61,2.51269461117038,0.123643593207982,AL,2022-07-21,1,0,0,1,0,1,0,0,0,0
62,1.81223032172232,0.215566000211359,AL,2022-07-22,0,1,1,1,1,0,0,1,0,1
63,1.58712154881372,0.1600555558155495,AL,2022-07-23,1,1,1,0,0,1,0,0,0,0
64,0.841823633867387,0.1516158200215295,AL,2022-07-24,1,1,1,1,1,1,1,0,0,1
65,0.568644246749769,0.150886584772671,AL,2022-07-25,1,1,1,1,1,1,0,0,0,1
66,0.767463224401304,0.161334694267341,AL,2022-07-26,1,1,1,1,1,1,0,0,0,1
67,0.439847578550736,0.245052812809569,AL,2022-07-27,1,1,1,1,1,1,0,0,1,1
68,2.09878457857143,0.098387728725735,AL,2022-07-28,1,1,0,1,1,1,0,0,0,1
69,0.652412624185874,0.12504519894329,AL,2022-07-29,1,1,1,1,1,1,0,0,1,1
70,1.12417330362336,0.225797462766501,AL,2022-07-30,1,0,1,1,1,1,0,0,1,1
71,1.0532683772896,0.2086657148493495,AL,2022-07-31,1,1,1,1,1,1,1,1,1,1
72,1.05360082615255,0.12621322202385,AL,2022-08-01,1,1,1,1,1,1,0,0,1,1
73,1.23776945538319,0.1867117359927485,AL,2022-08-02,1,1,1,1,1,1,0,0,1,1
74,0.679883639532416,0.1117083620767015,AL,2022-08-03,1,1,1,1,1,1,0,1,0,1
75,2.25272535444119,0.2371828755718245,AL,2022-08-04,1,0,0,1,1,1,0,0,1,1
76,2.20219477183199,0.364588501914645,AL,2022-08-05,1,0,0,1,1,1,0,0,1,1
77,0.839853418606674,0.153436141062788,AL,2022-08-06,1,1,1,1,1,1,0,0,0,1
78,0.311408614271022,0.139286350031256,AL,2022-08-07,1,1,1,1,1,1,0,0,1,1
79,1.36619374272342,0.168060442379992,AL,2022-08-08,1,1,1,1,1,1,1,1,1,1
80,1.32700530966104,0.0234843849093447,AL,2022-08-09,1,0,0,1,1,1,0,0,1,1
81,1.39361403155638,0.174842919850722,AL,2022-08-10,1,1,1,1,1,1,0,0,1,1
82,0.348034971631588,0.1628763603998405,AL,2022-08-11,1,1,1,1,1,1,1,1,1,1
83,4.91111874767283,0.3130947457276165,AL,2022-08-12,1,0,0,1,1,1,0,0,0,1
84,0.426958684256412,0.092035078782395,AL,2022-08-13,1,1,1,1,1,1,0,0,1,1
85,1.13701903488057,0.175743268630137,AR,2022-07-03,1,1,1,1,1,0,1,0,0,1
86,1.27750492262457,0.2236761805132585,AR,2022-07-04,0,1,1,1,1,0,1,1,0,1
87,3.91671347815614,0.1958730875059815,AR,2022-07-05,0,0,1,0,0,1,0,0,0,0
88,1.25957216609696,0.11693340385844,AR,2022-07-06,1,1,1,1,1,1,0,1,0,1
89,1.47351516682497,0.1549108232849705,AR,2022-07-07,0,1,1,1,1,0,0,0,1,1
90,1.87538872428956,0.084526566062452,AR,2022-07-08,1,1,0,0,1,1,1,0,0,1
91,1.13618877919713,0.1827454828662175,AR,2022-07-09,0,1,1,1,1,0,0,0,0,1
