...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23F_50_CI,X24A_50_CI,X23I_50_CI,other_50_CI,X23A_95_CI,X23B_95_CI,X23F_95_CI,X24A_95_CI,X23I_95_CI,other_95_CI
1,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.127752062797179,0.090758155084621,AK,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
6,0.749326070250994,0.2801857753520175,AK,2024-01-05,1,1,1,1,1,0,1,1,0,1,1,0
7,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0915027427931165,0.062614931311645,AK,2024-01-08,1,1,1,1,1,1,1,1,1,1,1,1
10,0.418945535977588,0.056780845862106,AK,2024-01-09,1,1,1,1,1,1,1,1,1,0,1,0
11,0.220155561995585,0.051393623045006,AK,2024-01-10,1,1,1,1,1,1,1,1,1,0,1,0
12,0.0667307275110179,0.04643315751294295,AK,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
13,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.981970868367131,0.69797892445001,AK,2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
17,0.0380510704609173,0.0272659743456285,AK,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
18,0.220344519413349,0.0244021199193328,AK,2024-01-17,1,1,1,1,1,1,0,0,1,0,1,1
19,0.958021345259227,0.4194877508701195,AK,2024-01-18,1,1,1,1,1,0,1,1,1,1,1,1
20,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
