...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
1,0.624804853485433,0.04535946922104905,AK,2023-02-12,1,1,1,1,1,1,1,0,1,0,1,1
2,1.93323627559183,0.304494298051959,AK,2023-02-13,1,0,1,0,1,0,1,1,0,1,1,0
3,0.796276006504679,0.24369585813787,AK,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
4,1.00951892308414,0.2894387536529715,AK,2023-02-15,1,0,1,1,1,1,1,0,0,0,1,1
5,0.983043452912038,0.02924983087446265,AK,2023-02-16,1,1,1,0,1,1,1,0,1,0,1,1
6,0.379802063507083,0.123252440373281,AK,2023-02-17,1,1,1,1,1,1,1,0,0,0,1,0
7,0.421103794066355,0.1977265731290075,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
8,0.724710569496149,0.3780992151639855,AK,2023-02-19,1,1,1,1,1,1,1,0,0,1,1,1
9,0.635938925334162,0.1159201146056385,AK,2023-02-20,1,1,1,1,1,1,1,0,1,0,1,1
10,0.369079017537787,0.1097035392772535,AK,2023-02-21,1,1,1,1,1,1,1,0,1,1,1,0
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.235108510735687,0.01294841157266625,AK,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
13,1.11277563862431,0.4492713582817685,AK,2023-02-24,1,1,1,0,1,0,1,1,1,0,1,0
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0134186663661869,0.0079776858484238,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.00812383665726818,0.003804986321195155,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0157089202672353,0.00262104352240202,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
26,0.00366794672029191,0.00231485205600831,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
27,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.00288906860397371,0.001410759694313335,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.0023477076551666,0.001103384431788975,AK,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
33,0.00187451179666704,9.76473551841345e-4,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
34,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.00159405910472253,7.66057721865695e-4,AK,2023-03-18,1,1,1,1,1,1,1,1,1,1,1,1
36,NA,NA,AK,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,9.5728116293101e-4,6.0260793254379e-4,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
38,NA,NA,AK,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1.34749007554821,0.962916655985785,AK,2023-03-24,1,0,1,0,1,1,1,0,1,0,1,1
42,NA,NA,AK,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.0804358852885776,0.051473750168131,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1
45,0.228120569680195,0.0464196982379184,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
46,0.381379394845345,0.041807415974886,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1
47,0.0545524678524738,0.03760818800379495,AL,2023-02-16,1,1,1,1,1,1,1,0,1,0,1,1
48,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.0372183532379416,0.0243819512114479,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1
52,0.0354209019442406,0.02183525201992105,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
53,1.04267083781514,0.74557530225299,AL,2023-02-22,1,0,1,0,1,1,1,0,1,0,1,1
54,0.026631239394302,0.0174835843775879,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
55,1.08210225886264,0.441227286815246,AL,2023-02-24,1,1,1,1,1,0,1,1,1,0,1,0
56,1.20612904961668,0.862301986311925,AL,2023-02-25,1,1,1,0,0,1,1,1,1,0,0,1
57,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0168487989268712,0.01117001718281425,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.0475465267598408,0.00798526206442255,AL,2023-03-02,1,1,1,1,1,1,1,1,1,0,1,0
62,1.02429413334666,0.425423486191634,AL,2023-03-03,1,0,1,0,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.0348671704255019,0.0057297019657123,AL,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
