...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
1,0.677782919969683,0.1791709390768355,AK,2022-08-14,1,1,1,1,1,1
2,0.367587092411616,0.00362228882445002,AK,2022-08-15,1,1,1,0,0,1
3,0.446697918001746,0.101526593108165,AK,2022-08-16,1,1,1,0,0,1
4,0.98870445389914,0.0885621934273965,AK,2022-08-17,1,1,0,1,0,0
5,0.0493573569949833,0.003128197705769885,AK,2022-08-18,1,1,1,1,1,1
6,0.43624305896352,0.092071019960217,AK,2022-08-19,1,1,1,0,0,1
7,1.08699825964484,0.449584978725413,AK,2022-08-20,0,0,1,0,0,1
8,0.161003007007723,0.002707361704272125,AK,2022-08-21,1,1,1,0,0,1
9,1.93169832848666,0.3020635245070865,AK,2022-08-22,0,0,1,1,1,1
10,0.00574051911953552,0.00246123967987271,AK,2022-08-23,1,1,1,1,1,1
11,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA
12,0.0187839936609727,0.00223905790059864,AK,2022-08-25,1,1,1,1,1,1
13,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA
14,0.017113089369046,0.002038196824677015,AK,2022-08-27,1,1,1,0,0,1
15,0.0179513149583906,0.00194503828905166,AK,2022-08-28,1,1,1,1,1,1
16,0.0369515135873292,0.00185637977839975,AK,2022-08-29,1,1,1,1,1,1
17,0.0128811622498455,0.00177198121208313,AK,2022-08-30,1,1,1,1,1,1
18,0.854669831741844,0.185242499911775,AK,2022-08-31,0,0,1,1,1,1
19,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA
20,0.0040106106688956,0.001542164131007525,AK,2022-09-02,1,1,1,1,1,1
21,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA
22,0.00326523527138856,0.001406479671303375,AK,2022-09-04,1,1,1,1,1,1
23,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA
