...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
58,1.07409194390928,0.3056637552471125,AL,2022-11-14,1,0,1,0,1,1,1,0,1,0,1,1
59,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.419528084333477,0.255116176183939,AL,2022-11-16,1,1,1,1,1,1,0,0,1,1,1,1
61,0.942204580601239,0.3600308132587645,AL,2022-11-17,1,1,0,1,1,1,1,0,1,0,1,1
62,1.43955606669356,0.2381815994417,AL,2022-11-18,1,0,1,0,1,1,1,0,1,0,1,1
63,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.00846034181603,0.4523889494478715,AL,2022-11-21,1,1,1,1,1,0,1,0,1,1,1,0
66,0.899464254931388,0.42354082063748,AL,2022-11-22,0,1,1,1,1,1,0,1,1,1,0,1
67,0.273189375419477,0.1657219520236015,AL,2022-11-23,1,1,1,1,1,1,1,0,1,0,1,1
68,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.869973806657371,0.4133377351844465,AL,2022-11-25,1,1,0,1,1,1,1,0,0,0,1,1
70,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.669075538381551,0.1787450334040745,AL,2022-11-28,1,1,1,1,1,1,1,0,1,0,1,1
73,0.909612569053367,0.3502841592199235,AL,2022-11-29,1,0,1,1,1,1,1,0,1,0,1,1
74,0.877216339713529,0.2526007815564425,AL,2022-11-30,1,1,1,1,0,1,1,0,1,0,0,1
75,1.07341059125688,0.2985982335038715,AL,2022-12-01,1,0,1,1,1,1,1,0,1,0,1,1
76,0.76008453178159,0.3043315164526715,AL,2022-12-02,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1.06299958060557,0.280027991658366,AL,2022-12-04,1,0,1,1,1,1,1,0,0,0,0,1
79,1.3752663913537,0.3223139411039765,AL,2022-12-05,1,0,1,1,1,1,0,0,1,0,1,1
80,1.54897718886298,0.3703816507267775,AL,2022-12-06,1,1,0,0,0,1,1,0,0,0,0,1
81,0.362151841301927,0.238671159208491,AL,2022-12-07,1,1,1,1,1,1,1,1,0,0,1,1
82,1.65711347319964,0.3407346479217625,AL,2022-12-08,1,0,1,0,1,1,1,0,1,0,1,1
