"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23F_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23F_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.131738942960179,0.0966166222531387,"AK",2024-01-04,1,1,1,1,1,1,1,1,0,0,1,1
"6",0.720348152323785,0.27845615861162,"AK",2024-01-05,1,1,1,1,1,0,0,1,1,0,1,1
"7",NA,NA,"AK",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.090800203922013,0.0662273050517505,"AK",2024-01-08,1,1,1,1,1,1,1,1,1,0,1,0
"10",0.477808193538376,0.0599455131404873,"AK",2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1
"11",0.236906131601334,0.0541535869163264,"AK",2024-01-10,1,1,1,1,1,1,1,0,1,0,1,1
"12",0.0714444003069563,0.0488294138941767,"AK",2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
"13",NA,NA,"AK",2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.978538586190628,0.694722181827985,"AK",2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
"17",0.0424693423258541,0.0283726820874971,"AK",2024-01-16,1,1,1,1,1,1,0,1,1,0,1,1
"18",0.237698041106349,0.0253382063794758,"AK",2024-01-17,1,1,1,1,1,1,1,1,0,0,1,1
"19",0.955464709458373,0.41587086882465,"AK",2024-01-18,1,1,1,1,1,0,1,1,1,0,1,0
