"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23G_95_CI","other_95_CI"
"77",NA,NA,"AL",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.269106625686348,0.214250070500756,"AL",2023-11-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"80",NA,NA,"AL",2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2023-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.25567900732293,0.208230305637417,"AL",2023-11-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"83",NA,NA,"AL",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2.52370730995189,0.254670354331453,"AR",2023-10-02,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
"87",1.41301666546679,0.256402230417475,"AR",2023-10-03,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"88",1.57010884982293,0.407326145486888,"AR",2023-10-04,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
"89",2.44695548527378,0.307956637225628,"AR",2023-10-05,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
"90",0.363533495560936,0.261835393876575,"AR",2023-10-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"91",0.361126588926599,0.263723803177555,"AR",2023-10-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"92",0.356636545709251,0.265649948793479,"AR",2023-10-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93",1.43487884016151,0.267613247777675,"AR",2023-10-09,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"94",1.44100823296644,0.269613104556683,"AR",2023-10-10,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"95",1.51117112257247,0.271961680858021,"AR",2023-10-11,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
"96",1.07104216376581,0.330245006696335,"AR",2023-10-12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1
"97",2.00223142875448,0.334158314754721,"AR",2023-10-13,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
"98",NA,NA,"AR",2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",3.17729676344239,0.323610362519975,"AR",2023-10-16,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1
"101",0.83775593113355,0.591392285681389,"AR",2023-10-17,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"102",NA,NA,"AR",2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
