"","es_score","brier_score","location","target_date","X22B_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","X23D_50_CI","other_50_CI","X22B_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","X23D_95_CI","other_95_CI"
"1",0.765244528452295,0.12995127367488,"AK",2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",3.28441964501143,0.141544849708464,"AK",2023-02-06,1,0,1,0,1,1,1,0,0,1,0,1,1,0
"3",0.829376962467193,0.26951221555503,"AK",2023-02-07,1,1,1,1,0,1,1,1,0,1,1,0,1,1
"4",0.834197030779362,0.271283870830452,"AK",2023-02-08,1,1,0,1,1,1,1,1,1,0,0,1,1,1
"5",0.438163121788433,0.293673358365466,"AK",2023-02-09,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"6",1.5722604055615,0.080997533689894,"AK",2023-02-10,1,0,1,0,1,1,1,1,0,1,0,1,1,1
"7",0.463786880772505,0.150668034711706,"AK",2023-02-11,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"8",0.657375214590929,0.0659669432660446,"AK",2023-02-12,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"9",1.92053832346142,0.292241108671916,"AK",2023-02-13,1,0,1,0,1,1,0,1,0,1,0,1,1,0
"10",0.761180593706518,0.234445864436982,"AK",2023-02-14,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"11",0.989303929428249,0.274906404956418,"AK",2023-02-15,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"12",0.992260164755507,0.0426902061258176,"AK",2023-02-16,1,1,1,0,1,1,1,1,0,1,0,1,1,1
"13",0.380135900862651,0.125825798279662,"AK",2023-02-17,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"14",0.412878253962791,0.192877520255915,"AK",2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",0.728398648412903,0.358406293931796,"AK",2023-02-19,1,0,1,1,1,1,1,1,0,1,0,1,1,1
"16",0.62967508732856,0.117002208141452,"AK",2023-02-20,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"17",0.368637887441855,0.110696656295483,"AK",2023-02-21,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"18",NA,NA,"AK",2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.230591958162009,0.0186639328911484,"AK",2023-02-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"20",1.09817152304504,0.440154379174127,"AK",2023-02-24,1,1,1,0,0,1,1,1,0,1,1,0,1,1
"21",NA,NA,"AK",2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"AK",2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.0146541374726621,0.0113060976920709,"AK",2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",NA,NA,"AK",2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"AK",2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
