"","es_score","brier_score","location","target_date","X22B_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","recombinant_50_CI","other_50_CI","X22B_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","recombinant_95_CI","other_95_CI"
"43",1.35702594120834,1.27810370950635,"AL",2023-01-08,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
"44",0.934953278708809,0.590130999110937,"AL",2023-01-09,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
"45",0.935939519241399,0.47319322136995,"AL",2023-01-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"46",0.532269082563008,0.643867742596176,"AL",2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"47",0.994266463270741,0.874548965458065,"AL",2023-01-12,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
"48",NA,NA,"AL",2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"AL",2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,"AL",2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1.04561060399,0.431866950170822,"AL",2023-01-18,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
"54",0.150702019467274,0.212201534601097,"AL",2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"55",0.167115891183015,0.215719148864813,"AL",2023-01-20,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"56",NA,NA,"AL",2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0.171324986723706,0.226954875507492,"AL",2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",0.180719338716403,0.230940812154646,"AL",2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",0.667798799929586,0.946549854958768,"AL",2023-01-25,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"61",1.12203351521044,1.0953540293734,"AL",2023-01-26,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
"62",1.4634007554918,0.65245258517122,"AL",2023-01-27,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
"63",0.947039312468524,1.37145394573508,"AL",2023-01-28,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"64",NA,NA,"AL",2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2.16344684749393,0.892253954479033,"AL",2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
"66",0.652245321595359,0.881223436278893,"AL",2023-01-31,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"67",NA,NA,"AL",2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1.21635577322095,0.81439769876072,"AL",2023-02-02,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"69",NA,NA,"AL",2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0.614969551221382,0.836110205397239,"AL",2023-02-04,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
"71",0.205832391607608,0.291462679382815,"AL",2023-02-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"72",0.420927047704349,0.555358517492653,"AL",2023-02-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"73",0.207478748325126,0.304679908706869,"AL",2023-02-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74",2.7269922646344,0.788849647105281,"AL",2023-02-08,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
"75",0.867819283053882,1.27785076792126,"AL",2023-02-09,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
"76",0.581739591293747,0.764223164453457,"AL",2023-02-10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"77",NA,NA,"AL",2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.582078224730511,0.725925436175096,"AL",2023-02-13,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
"80",1.23902901488512,0.712799327174693,"AL",2023-02-14,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
"81",1.92811624002784,0.699502649494479,"AL",2023-02-15,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
"82",0.569013875401754,0.686046565181943,"AL",2023-02-16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"83",NA,NA,"AL",2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1.91533385746065,0.650892762653439,"AR",2023-01-08,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"86",3.7281415725748,0.583594610959901,"AR",2023-01-09,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
"87",2.10143383782739,0.470490003927767,"AR",2023-01-10,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0
"88",2.03603800291366,0.482551821034055,"AR",2023-01-11,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0
"89",2.36380257942494,0.59778320675413,"AR",2023-01-12,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
"90",1.69630357781524,0.562397892835536,"AR",2023-01-13,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0
"91",1.38507354185538,1.01424268416219,"AR",2023-01-14,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
"92",1.69109976129854,1.5186511143585,"AR",2023-01-15,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
"93",3.54157148302212,1.05673494476963,"AR",2023-01-16,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
"94",2.36176139381764,0.506757699417969,"AR",2023-01-17,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0
"95",1.60275975496909,0.570019506397615,"AR",2023-01-18,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
"96",1.37827289054547,0.587414332959221,"AR",2023-01-19,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
