...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.250742440335363,0.1948201485797435,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
2,0.727104474211744,0.2401900630414,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
3,2.17935433004058,0.2685059741247535,AK,2023-01-17,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
4,1.70899309582187,0.268296287073742,AK,2023-01-18,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
5,0.723231682481786,0.2985952377364825,AK,2023-01-19,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
6,1.98902191468272,0.2433069544754395,AK,2023-01-20,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.320761349895193,0.2740315822424665,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.720463990034206,0.2309871284080405,AK,2023-01-23,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
10,2.00459176570536,0.2954258189921565,AK,2023-01-24,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1
11,1.61097773400293,0.3554733170934815,AK,2023-01-25,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
12,3.12385343714146,0.250722916208549,AK,2023-01-26,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
13,0.92118724593023,0.323791989621197,AK,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
14,0.299508257491095,0.25398138022914,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.474366403723936,0.2663621288350095,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
16,1.25125660114449,0.2630265494431195,AK,2023-01-30,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
17,1.09898580983931,0.270300398221445,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.985578317147809,0.267851275448162,AK,2023-02-01,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
19,2.59136742969285,0.2677521569998815,AK,2023-02-02,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1
20,0.934066213498124,0.3443868187119285,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
21,0.918109500220639,0.272201239542753,AK,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
22,1.51616235894624,0.251367904020337,AK,2023-02-05,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
23,6.92160496919668,0.25092553092274,AK,2023-02-06,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
24,1.64966823513634,0.315778554876617,AK,2023-02-07,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
25,1.64873724405392,0.297681570293599,AK,2023-02-08,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
26,0.302283809172519,0.271486510618534,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,3.75953233323557,0.234425943380418,AK,2023-02-10,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
28,2.02338458197778,0.24511822214723,AK,2023-02-11,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
29,2.01321897023293,0.2287059400422585,AK,2023-02-12,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
30,1.94180412404823,0.29263538829318,AK,2023-02-13,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
31,1.18258621102863,0.257158439518983,AK,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.836102092735452,0.2638831715918315,AK,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
33,3.63976666379811,0.218898164434634,AK,2023-02-16,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
34,2.4357100165161,0.233637321480526,AK,2023-02-17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
35,0.949340302597014,0.2456203501698985,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.339355948668333,0.277213632232891,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
37,5.39330560753489,0.228815494718821,AK,2023-02-20,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
38,2.8074345763963,0.226568935073019,AK,2023-02-21,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1.90502919745604,0.205933183290255,AK,2023-02-23,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
41,0.951089771242716,0.3872750013917765,AK,2023-02-24,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
42,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.28073575981518,0.2477729832736415,AL,2023-01-18,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1
47,0.198396965816525,0.1596671529152205,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
48,0.209507154838975,0.1638968470576255,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
49,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.227192248986984,0.1767516523365105,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0.2231594210245,0.1810588756083185,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.555435629159033,0.3728189423201705,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
54,0.974549506887021,0.46957312368704,AL,2023-01-26,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1
55,1.10970409203909,0.293254596386251,AL,2023-01-27,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
56,0.913049255171904,0.645852450627115,AL,2023-01-28,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
57,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.80732649680684,0.341014763590459,AL,2023-01-30,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
59,0.516446638053519,0.335270494861179,AL,2023-01-31,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
60,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.897152227709202,0.361481140260353,AL,2023-02-02,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
62,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.439404921791323,0.314307792159691,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
64,0.327892372206479,0.2300301758739455,AL,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0.326223437165509,0.2693372426494795,AL,2023-02-06,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
66,0.322338868682297,0.237236053419876,AL,2023-02-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
67,2.1734477963109,0.29642724859965,AL,2023-02-08,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1
68,0.843174928804885,0.618911903851275,AL,2023-02-09,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
69,0.435628575600226,0.288567778230504,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.425071259222734,0.2780345877910045,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.917392313566672,0.274841446249695,AL,2023-02-14,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
74,1.45088340348925,0.271800383939085,AL,2023-02-15,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
75,0.40300125450701,0.268907450729545,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.377376751271944,0.2587436490987285,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.370908902118843,0.25653792919714,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.41821089510739,0.2784047148547145,AL,2023-02-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,0.364085873249814,0.252507989238557,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
