"","es_score","brier_score","location","target_date","X21L_50_CI","X22A_50_CI","X22B_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","other_50_CI","X21L_95_CI","X22A_95_CI","X22B_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","other_95_CI"
"59",0.729952032523889,0.594319569276025,"AL",2022-11-01,1,1,1,1,1,1,1,1,0,0,1,0,1,1
"60",0.555125405670825,0.518446344568148,"AL",2022-11-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"61",2.27598808606092,0.913691723267835,"AL",2022-11-03,1,0,0,1,0,1,1,1,0,0,1,0,1,1
"62",0.935920567506326,1.3222318693974,"AL",2022-11-04,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"63",1.04122553979664,1.46623073149433,"AL",2022-11-05,1,1,1,0,1,1,1,1,0,1,0,1,1,1
"64",0.92495051289731,1.29040759987829,"AL",2022-11-06,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"65",1.08597193508494,0.583249690961665,"AL",2022-11-07,1,1,1,1,0,1,1,1,1,0,0,0,1,1
"66",0.249019142727485,0.12816531591281,"AL",2022-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",0.840558074435513,0.690271068708706,"AL",2022-11-09,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"68",1.623393249595,0.602709508088041,"AL",2022-11-10,1,1,1,1,0,1,1,1,1,1,0,0,1,1
"69",0.883806161327059,1.20078893144065,"AL",2022-11-11,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"70",0.486412406537046,0.495743827057058,"AL",2022-11-12,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"71",0.581434215780057,0.660481206564987,"AL",2022-11-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"72",1.69912117491328,1.13899846380193,"AL",2022-11-14,1,1,0,1,0,1,1,1,0,0,1,0,1,1
"73",NA,NA,"AL",2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1.08433365968603,0.640412324878907,"AL",2022-11-16,1,1,1,1,0,1,1,1,0,0,1,0,1,1
"75",1.64098922675855,0.917207493454617,"AL",2022-11-17,1,1,0,0,0,1,1,1,1,0,0,0,1,1
"76",2.4815336995596,1.04600685128173,"AL",2022-11-18,1,1,0,1,0,1,1,1,1,0,1,0,1,1
"77",NA,NA,"AL",2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1.3591805846354,1.17982749820988,"AL",2022-11-21,1,1,0,1,1,1,0,1,1,0,0,0,1,0
"80",1.22315787723115,1.03680045755956,"AL",2022-11-22,1,0,0,1,1,1,1,1,0,0,1,1,1,1
"81",0.759002365970246,0.912653706885196,"AL",2022-11-23,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"82",NA,NA,"AL",2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
