...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
58,0.714174142788017,0.2600041446755625,AL,2022-11-07,1,1,1,1,1,1,1,1,0,1,1,0,1,1
59,0.476859828833755,0.1494634571125825,AL,2022-11-08,1,1,1,1,1,1,1,1,0,0,1,1,1,1
60,0.587901562987494,0.324299901632507,AL,2022-11-09,1,1,1,1,1,1,1,1,0,1,1,0,1,1
61,0.973226003406517,0.264541823064575,AL,2022-11-10,1,1,1,1,1,1,1,1,0,1,1,0,1,1
62,0.614576343301378,0.3817882747722865,AL,2022-11-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,0.388294428686192,0.245565036629462,AL,2022-11-12,1,1,1,1,1,1,1,1,0,0,0,0,1,1
64,0.344894410678042,0.2741285128201015,AL,2022-11-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1
65,1.23257457604768,0.3407298489417155,AL,2022-11-14,1,1,0,1,0,1,1,1,0,0,1,0,1,1
66,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.607420336270382,0.269476041095763,AL,2022-11-16,1,1,1,1,1,1,1,1,0,1,1,0,1,1
68,1.0607393147064,0.360966524743452,AL,2022-11-17,1,1,1,0,1,1,1,1,1,0,0,1,1,1
69,1.76440214426926,0.288294330261,AL,2022-11-18,1,1,0,1,0,1,1,1,1,0,1,0,1,1
70,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.06914184145543,0.4611220803544555,AL,2022-11-21,1,1,1,1,1,1,0,1,0,0,1,0,1,0
73,0.881690723612351,0.4044908014199405,AL,2022-11-22,1,0,1,1,1,1,1,1,0,1,1,0,1,1
74,0.438272603432131,0.2285158083509155,AL,2022-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.717410843468242,0.383534027350137,AL,2022-11-25,1,1,1,0,1,1,1,1,0,1,0,1,1,1
77,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1.30805229987335,0.216139965600882,AL,2022-11-28,1,1,1,1,0,1,1,1,1,0,1,0,1,1
80,0.612553932142062,0.3127369958070115,AL,2022-11-29,1,1,1,1,1,1,1,1,0,0,1,1,1,1
