...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.402233946792558,0.232671893532822,AK,2023-01-29,1,1,1,1,1,1,1,0,0,0,1,1
2,1.11756149480455,0.1533886398728465,AK,2023-01-30,1,0,1,1,1,1,1,0,1,0,1,1
3,1.18698057792048,0.2884038649677525,AK,2023-01-31,1,1,1,0,1,1,1,0,1,0,1,0
4,1.06506677094473,0.3883770414877735,AK,2023-02-01,1,1,1,0,1,1,1,0,1,0,1,1
5,2.69633126857216,0.3097376380096275,AK,2023-02-02,1,1,1,0,1,1,1,0,1,0,1,1
6,1.00949348062309,0.3972841728457645,AK,2023-02-03,1,1,0,1,1,1,1,0,0,1,1,1
7,0.781077487349957,0.2536839750813915,AK,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
8,1.63836434034478,0.386281366542218,AK,2023-02-05,1,0,1,0,1,1,1,0,1,0,1,1
9,7.64124966064938,0.3696040803292725,AK,2023-02-06,1,0,1,0,1,1,1,0,1,0,1,0
10,1.84104830953857,0.397616389178435,AK,2023-02-07,1,0,1,0,0,1,1,0,1,1,0,1
11,1.82801770919677,0.362915798916424,AK,2023-02-08,1,0,1,0,1,1,1,0,1,0,1,1
12,0.277373821498788,0.269685245186942,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
13,4.09068049590277,0.3874651481813875,AK,2023-02-10,1,0,1,0,1,1,1,0,1,0,1,0
14,2.21174683116392,0.3486246534060545,AK,2023-02-11,1,0,1,0,1,1,1,0,1,0,1,1
15,2.14906311192757,0.388823540094674,AK,2023-02-12,1,0,1,0,1,1,1,0,1,0,1,1
16,2.0048676745936,0.3347004215031365,AK,2023-02-13,1,1,1,0,1,1,1,1,0,1,1,0
17,1.17207446686296,0.310096105911274,AK,2023-02-14,1,1,1,0,1,1,1,0,1,0,1,1
18,0.80501325753109,0.2942823013729315,AK,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1
19,3.83361057820955,0.3924707613880255,AK,2023-02-16,1,0,1,0,1,1,1,0,1,0,1,1
20,2.67428684323036,0.358275315033579,AK,2023-02-17,1,0,1,0,1,1,1,0,0,0,1,1
21,1.02326059524204,0.332450122206656,AK,2023-02-18,1,1,1,0,1,1,1,1,1,1,1,1
22,0.290875607110332,0.270517538179029,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
23,5.98626971561411,0.363002653372992,AK,2023-02-20,1,0,1,0,1,1,0,0,1,0,1,1
24,3.11472220115129,0.365877972378107,AK,2023-02-21,1,0,1,0,1,1,1,0,1,0,1,1
25,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2.03183189478416,0.399388620316158,AK,2023-02-23,1,0,1,0,1,1,1,0,1,0,1,1
27,1.00163685511937,0.548131702678725,AK,2023-02-24,1,1,1,1,0,1,1,0,1,0,0,1
28,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.399645368162738,0.4020339430027195,AK,2023-02-27,1,1,1,1,1,1,1,0,1,0,1,1
31,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
