...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.00719184163585514,0.004301454400009775,AK,2023-03-19,1,1,1,1,1,1,1,0,1,0,1,1,1,1
2,0.295010450308233,0.004053628654504235,AK,2023-03-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3,0.582573846920976,0.1140523999590875,AK,2023-03-21,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.08963044172531,0.2335201922040395,AK,2023-03-22,1,1,1,0,1,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.800698700571657,0.1816149883149175,AK,2023-03-24,0,1,1,1,1,1,1,0,1,0,1,1,1,1
7,0.00533250436032115,0.003224986602763085,AK,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.74420789813313,0.698647736006365,AK,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
9,1.08200018886934,0.2350296579786545,AK,2023-03-27,1,1,0,1,0,1,1,0,1,1,1,0,1,1
10,0.0179370657347243,0.003008961806550985,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0373281941394795,0.00298028834058953,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0576670993796053,0.002973529446237275,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0389095134607215,0.00298930998467775,AK,2023-03-31,1,1,1,1,1,1,1,1,1,0,1,1,1,0
14,0.0588211550179781,0.003028600453133125,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0842053954786073,0.00309274359792725,AK,2023-04-02,1,1,1,1,1,1,1,1,1,0,0,1,1,1
16,1.07786398045057,0.2346112224709445,AK,2023-04-03,1,1,1,1,0,1,1,1,1,0,1,0,1,1
