"","es_score","brier_score","location","target_date","X22A_50_CI","X22B_50_CI","X22C_50_CI","other_50_CI","X22A_95_CI","X22B_95_CI","X22C_95_CI","other_95_CI"
"59",1.35820441571914,0.0408534410244987,"AL",2022-08-09,0,0,1,1,0,0,1,0
"60",1.46527548331534,0.352478433696207,"AL",2022-08-10,1,1,1,1,0,0,1,1
"61",0.340711217682885,0.328121592487203,"AL",2022-08-11,1,1,1,1,0,0,1,1
"62",5.00643623133042,0.639130303999858,"AL",2022-08-12,0,0,1,1,0,0,0,1
"63",0.384151675536399,0.181958908680629,"AL",2022-08-13,1,1,1,1,1,1,1,1
"64",0.54506470640699,0.147260362337406,"AL",2022-08-14,1,1,1,1,0,0,1,1
"65",4.14739051450492,0.487766978227256,"AL",2022-08-15,0,0,1,1,0,0,1,1
"66",0.882185278952148,0.296568503435494,"AL",2022-08-16,1,1,1,1,0,0,1,1
"67",1.18082959960453,0.348439960957639,"AL",2022-08-17,1,1,1,0,0,0,1,0
"68",5.4919823233673,0.560518575762208,"AL",2022-08-18,0,0,1,1,0,0,1,1
"69",3.26870248870395,0.540648668003876,"AL",2022-08-19,0,0,1,1,0,0,1,1
"70",0.933106866219143,0.0248180214282165,"AL",2022-08-20,1,1,1,1,0,0,1,1
"71",0.806555766250985,0.0236650253972684,"AL",2022-08-21,1,1,1,1,0,0,1,1
"72",1.17574070590004,0.247593641497306,"AL",2022-08-22,1,1,1,1,0,1,1,0
"73",5.05209243702372,0.54994298757094,"AL",2022-08-23,0,0,1,1,0,0,1,1
"74",0.547642485985399,0.126832263948555,"AL",2022-08-24,1,1,1,1,0,0,1,1
"75",0.494563330882249,0.134150474897731,"AL",2022-08-25,1,1,1,1,0,0,1,1
"76",1.41956115348761,0.333175775164888,"AL",2022-08-26,1,1,1,0,0,0,1,0
"77",1.09680603957334,0.239119223407933,"AL",2022-08-27,1,1,1,1,0,0,1,1
"78",0.790704855047992,0.250118645048815,"AL",2022-08-28,1,1,1,1,1,1,1,1
"79",1.3559322764079,0.10023277443433,"AL",2022-08-29,1,1,1,1,0,0,1,1
"80",1.96142124211287,0.354029439792264,"AL",2022-08-30,1,0,1,0,0,0,1,0
"81",2.72118606357261,0.456956178657594,"AL",2022-08-31,0,0,1,1,1,1,1,1
"82",0.486301738692614,0.142089478044284,"AL",2022-09-01,1,1,1,1,0,0,1,1
"83",0.445331640165674,0.165482208376739,"AL",2022-09-02,1,1,1,1,0,0,1,1
"84",2.12966520416557,0.433411707928969,"AL",2022-09-03,0,0,1,1,0,0,1,1
"85",1.12494338823447,0.393937414270054,"AR",2022-07-24,1,1,1,0,0,0,1,0
"86",1.26407078181155,0.259902263510285,"AR",2022-07-25,1,1,1,1,0,0,0,1
"87",1.59602029443968,0.274622638469556,"AR",2022-07-26,1,1,1,0,0,0,0,0
"88",1.40243381090026,0.203390484629008,"AR",2022-07-27,1,1,1,1,0,0,1,0
"89",1.03682393637934,0.182591512923187,"AR",2022-07-28,1,1,1,1,0,1,0,1
"90",1.60695971530974,0.309626311114711,"AR",2022-07-29,1,1,1,0,0,1,1,0
"91",2.00402661666138,0.47032636439285,"AR",2022-07-30,1,0,1,0,0,0,1,0
"92",0.752042505432793,0.174998053976126,"AR",2022-07-31,1,1,1,1,0,0,1,1
