...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,1.23551000477399,0.265431522931053,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
2,1.60477613355266,0.319122829093626,AK,2022-12-12,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1.3786516888371,0.3506157994949865,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
4,0.627004302235096,0.257428430815125,AK,2022-12-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
5,1.05046985328962,0.39320018016037,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
6,1.97186859060702,0.3071011567572705,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
7,0.281660274224249,0.2596466979142805,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1.06334655831869,0.262210329570771,AK,2022-12-18,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
9,0.988458406360274,0.313979331922268,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
10,0.42711040345744,0.2616214715177605,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
11,0.592567482987916,0.263304759151225,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
12,0.895795314986519,0.339196696234386,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
13,0.26534983808229,0.2625164970606345,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
14,0.595324990244239,0.2663406429479175,AK,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
15,0.688130962791778,0.2653939652119995,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,2.04560791098626,0.4151380997649705,AK,2022-12-26,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,5.37607534406084,0.516943847277795,AK,2022-12-27,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1
18,1.66939383959999,0.451192060867313,AK,2022-12-28,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
19,1.0185057885246,0.396291369759358,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
20,1.9214727729151,0.4351510875995105,AK,2022-12-30,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
21,1.21348211538372,0.4283553700551485,AK,2022-12-31,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
22,0.845922410534281,0.452125020148094,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
23,1.22455751447,0.369671749799628,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
24,2.74782498630861,0.3629063522352275,AK,2023-01-03,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
25,2.04535836955781,0.327652738828725,AK,2023-01-04,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
26,1.01777294828389,0.2987451230371335,AK,2023-01-05,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
27,0.988941576467605,0.4051132978168615,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
28,0.769554087020419,0.392899276612985,AK,2023-01-07,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
29,0.268518482558593,0.3129554813330575,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.3297422172553,0.403848497887961,AK,2023-01-09,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
31,1.7371382973479,0.3455679935161695,AK,2023-01-10,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
32,1.13623679268316,0.36494249882297,AK,2023-01-11,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
33,1.42688186413435,0.334957589016558,AK,2023-01-12,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
34,1.76113871584442,0.372036856440505,AK,2023-01-13,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
35,0.277050503688722,0.347070992830508,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
36,0.261333485701549,0.353353588897904,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1.11696946207519,0.3733173640636975,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
38,3.32626982854457,0.3873910308851305,AK,2023-01-17,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1
39,1.62875600454377,0.364681092138223,AK,2023-01-18,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
40,1.47473185561567,0.3899441057044055,AK,2023-01-19,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
41,2.49186995104162,0.3869343999324375,AK,2023-01-20,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
42,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.43631032017369,0.4901492648433855,AL,2022-12-11,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0
44,1.24427686266871,0.4156936069612065,AL,2022-12-12,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
45,0.127803016911247,0.089680589802757,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
46,0.883438786178016,0.3093032292290385,AL,2022-12-14,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
47,1.1837237226575,0.2792152769902245,AL,2022-12-15,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
48,0.842978709907905,0.292068571976696,AL,2022-12-16,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
49,0.326498792812126,0.081495553175937,AL,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.347564705137875,0.0798671620386475,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
51,0.417047204960972,0.199230221373672,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
52,1.70065912829541,0.2314203471854505,AL,2022-12-20,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
53,2.478108685273,0.42820969464291597,AL,2022-12-21,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1
54,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0978455613224558,0.073172573756005,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.1002157662763,0.2779823826851085,AL,2022-12-26,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
59,1.18447443864625,0.220059223439289,AL,2022-12-27,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
60,1.90710994960463,0.364829882082943,AL,2022-12-28,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
61,2.46882518167159,0.3032851477494145,AL,2022-12-29,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
62,1.78928955905228,0.387679594998159,AL,2022-12-30,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
63,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.58651443622313,0.228889606624438,AL,2023-01-02,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
66,1.38402358468265,0.2348060952752875,AL,2023-01-03,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
67,2.61356377012211,0.36246067135692,AL,2023-01-04,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
68,1.9364969706225,0.2543400036054785,AL,2023-01-05,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
69,1.49191637528801,0.373816368044203,AL,2023-01-06,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
70,2.03122143095073,0.438574258642587,AL,2023-01-07,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
71,1.37340569048384,0.664491384771755,AL,2023-01-08,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1
72,1.32050218019293,0.2983997511450665,AL,2023-01-09,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1
73,1.19414794712252,0.2357858828481395,AL,2023-01-10,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1
74,0.693561285909777,0.330537671158885,AL,2023-01-11,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
75,1.15556611054544,0.4512889432095725,AL,2023-01-12,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1
76,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.978730332115104,0.2156428607306635,AL,2023-01-18,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
82,0.128491908608388,0.100012947350063,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0.140090807408975,0.102809329016429,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
