...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,2.79278448916653,0.0258500765396444,AK,2022-07-31,0,0,1,1,0,0,1,1
2,2.64787588469339,0.107369783350807,AK,2022-08-01,0,1,0,1,0,0,0,1
3,0.962162776996562,0.078355800767305,AK,2022-08-02,1,1,1,1,1,1,1,1
4,1.11246735752348,0.0260940891386157,AK,2022-08-03,1,0,1,1,1,1,1,1
5,0.51884911316801,0.1496321013448225,AK,2022-08-04,1,1,1,1,1,1,1,1
6,0.696566775076249,0.1618575046636345,AK,2022-08-05,1,1,1,1,1,0,0,1
7,0.975429340560228,0.0267663363763773,AK,2022-08-06,1,0,1,1,0,0,1,1
8,1.03074006016131,0.02708442228254535,AK,2022-08-07,1,0,1,1,1,1,1,1
9,1.31452027048468,0.098007943970125,AK,2022-08-08,1,1,1,1,0,0,1,1
10,2.36423449391602,0.0924732195338495,AK,2022-08-09,1,0,1,1,1,1,1,1
11,3.77395374062559,0.0283268820337527,AK,2022-08-10,0,0,1,1,0,0,1,0
12,0.350964568000849,0.1390948386765325,AK,2022-08-11,1,1,1,1,0,0,1,1
13,1.29581682350292,0.029405721574054,AK,2022-08-12,0,0,1,1,0,0,1,1
14,0.619921183778569,0.149003757187171,AK,2022-08-13,1,1,1,1,1,1,1,1
15,0.334721028289974,0.160782075349715,AK,2022-08-14,1,1,1,1,1,1,1,1
16,1.88679341815709,0.0314324475934997,AK,2022-08-15,0,0,1,1,0,0,0,1
17,0.917841363802321,0.1035193830407445,AK,2022-08-16,1,1,1,1,0,0,1,1
18,2.30679145020228,0.1059255336241185,AK,2022-08-17,0,0,0,1,0,0,0,0
19,0.532395648834163,0.03400692733718955,AK,2022-08-18,1,1,1,1,0,0,1,1
20,1.36046987026536,0.0976327767405385,AK,2022-08-19,1,1,1,1,1,1,1,1
21,0.376231474535656,0.3463693271579825,AK,2022-08-20,1,1,1,1,1,1,1,1
22,1.50717272228783,0.0372168056739662,AK,2022-08-21,0,0,1,1,0,0,1,1
23,0.503052168803873,0.2411805216227805,AK,2022-08-22,1,1,1,1,0,0,1,1
24,0.154784528791846,0.0397657516793234,AK,2022-08-23,1,1,1,1,1,1,1,1
25,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
26,0.478434240298254,0.04269044696479585,AK,2022-08-25,1,1,1,1,0,0,1,1
27,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
28,0.556381376999871,0.04604068674264815,AK,2022-08-27,1,1,1,1,1,1,1,1
29,0.605937402509195,0.04789316791784825,AK,2022-08-28,1,1,1,1,1,1,1,1
30,0.987133079181896,0.0498744750730557,AK,2022-08-29,1,1,1,1,1,1,1,1
31,0.66587730493373,0.051993280971866,AK,2022-08-30,1,1,1,1,0,0,1,1
32,1.0313696768878,0.161116587385531,AK,2022-08-31,1,1,1,1,1,1,1,1
33,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
34,0.342467865341425,0.0592707658025765,AK,2022-09-02,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA
36,0.390619051139531,0.0649973773122185,AK,2022-09-04,1,1,1,1,1,1,1,1
37,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
38,1.49678241635174,0.071536329520225,AK,2022-09-06,0,0,1,1,1,1,1,1
39,0.454531307682076,0.0751436180403755,AK,2022-09-07,1,1,1,1,1,1,1,1
40,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA
43,0.785827842161319,0.206924454754256,AL,2022-07-31,1,1,1,1,0,0,0,0
44,1.37474643575342,0.127858090158094,AL,2022-08-01,0,1,1,1,0,0,0,1
45,0.971260408490891,0.1860360758684115,AL,2022-08-02,1,1,1,1,0,1,0,0
46,0.891681333582305,0.112714836515475,AL,2022-08-03,1,1,1,1,1,1,1,1
47,1.88555007184294,0.2340930042769245,AL,2022-08-04,0,0,1,1,0,0,0,1
48,2.3560393462796,0.221037353282668,AL,2022-08-05,0,0,1,1,0,0,1,1
49,1.73495302863851,0.2039112590150275,AL,2022-08-06,1,1,1,1,0,0,0,1
50,0.605225204420979,0.1457033507514135,AL,2022-08-07,1,1,1,1,0,0,1,1
51,0.899284997702365,0.1613882405921005,AL,2022-08-08,1,1,1,1,0,0,1,1
52,1.67476634912435,0.0272858605632325,AL,2022-08-09,0,0,1,1,0,0,1,1
53,0.989688710533403,0.1733743359050245,AL,2022-08-10,1,1,1,1,0,0,1,1
54,0.286173249586079,0.161767245855792,AL,2022-08-11,1,1,1,1,1,1,1,1
55,4.6070059832395,0.3067464621255525,AL,2022-08-12,0,0,1,1,0,0,1,1
56,0.550246941669085,0.0932652422602755,AL,2022-08-13,1,1,1,1,0,0,1,1
57,0.844100095421448,0.077040314019846,AL,2022-08-14,1,1,1,1,1,1,1,1
58,3.05760324274841,0.235111778385966,AL,2022-08-15,0,0,1,1,0,0,1,1
59,0.634691268947592,0.146137892877043,AL,2022-08-16,1,1,1,1,0,0,1,1
60,1.02288146598267,0.171952311904622,AL,2022-08-17,1,1,1,0,0,1,1,0
61,4.55219322853318,0.2678283722370425,AL,2022-08-18,0,0,1,1,0,0,1,1
62,2.57492735852606,0.25831778311899,AL,2022-08-19,0,0,1,1,0,0,1,1
63,1.30497117077894,0.02006771531701535,AL,2022-08-20,0,0,1,1,0,0,1,1
64,1.13206978942539,0.0194928542776616,AL,2022-08-21,1,0,1,1,0,0,1,1
65,0.849471454416312,0.122519808002044,AL,2022-08-22,1,1,1,1,0,0,1,1
66,4.09892669629974,0.2614229986745155,AL,2022-08-23,0,0,1,1,0,0,1,1
67,0.797092298210394,0.0667137143415785,AL,2022-08-24,1,1,1,1,0,0,1,1
68,0.686890514057607,0.069959581194119,AL,2022-08-25,1,1,1,1,1,1,1,1
69,1.12664930777964,0.1634000606785825,AL,2022-08-26,1,1,1,0,1,0,1,0
70,0.764961732190154,0.11786903092016,AL,2022-08-27,1,1,1,1,0,0,1,1
71,0.581359832237976,0.122766800759645,AL,2022-08-28,1,1,1,1,0,0,1,1
72,2.38060557531059,0.053912227714469,AL,2022-08-29,1,1,1,1,0,0,1,1
73,1.49813186996401,0.171936538662024,AL,2022-08-30,1,1,1,0,0,1,1,0
74,1.94460059404325,0.217116016424821,AL,2022-08-31,0,0,1,1,0,0,1,1
75,0.589598744054659,0.07270705358268,AL,2022-09-01,1,1,1,1,1,1,1,1
76,0.468299882541883,0.083293764568615,AL,2022-09-02,1,1,1,1,0,0,1,1
77,1.45250495349686,0.205921707447166,AL,2022-09-03,0,0,1,1,1,1,1,1
78,0.773548628273773,0.01266557833127365,AL,2022-09-04,1,1,1,1,0,0,1,1
79,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
80,0.821061958230809,0.1683019921658845,AL,2022-09-06,1,1,1,1,0,0,1,1
81,0.447874000854666,0.0900592733279435,AL,2022-09-07,1,1,1,1,1,1,1,1
82,1.96216897797374,0.196794976826948,AL,2022-09-08,0,0,1,1,0,0,1,1
83,0.44716262645707,0.142852439065465,AL,2022-09-09,1,1,1,1,0,0,1,1
84,0.858362437659827,0.408336724595087,AL,2022-09-10,0,0,1,1,0,0,1,1
85,0.623387292500107,0.0868234268584425,AR,2022-07-31,1,1,1,1,0,0,1,1
86,2.15546003771337,0.07715762824851,AR,2022-08-01,1,1,1,1,1,0,0,1
87,2.3933597055822,0.0578934311110745,AR,2022-08-02,1,0,1,1,0,0,0,0
88,3.23357995975354,0.0574782752354605,AR,2022-08-03,0,0,1,1,0,0,1,1
89,2.96231967966533,0.1629411843914285,AR,2022-08-04,0,0,1,1,0,0,1,0
90,0.926937338391947,0.109996603043394,AR,2022-08-05,1,1,1,0,0,1,1,0
91,2.4835332732634,0.3420497641877975,AR,2022-08-06,0,0,1,1,0,1,1,0
92,0.824618338767543,0.0706056277963035,AR,2022-08-07,1,1,1,1,0,0,1,1
93,2.64775651476925,0.1855167475508805,AR,2022-08-08,1,0,0,0,0,0,0,0
94,0.902886575295724,0.103897147077128,AR,2022-08-09,1,1,1,1,0,0,1,1
95,2.2750778595832,0.1507121235484005,AR,2022-08-10,1,0,0,1,1,0,0,1
96,1.73016815924462,0.1392353831592185,AR,2022-08-11,1,1,1,0,0,0,1,0
97,0.547228741583353,0.090602432889648,AR,2022-08-12,1,1,1,1,0,0,1,1
98,2.19591593580222,0.203249243196333,AR,2022-08-13,0,0,1,1,0,0,1,1
99,0.213007919001186,0.0160417706541656,AR,2022-08-14,1,1,1,1,0,0,1,1
100,2.02540947848107,0.135483042208737,AR,2022-08-15,1,1,0,1,0,0,0,1
101,2.62657739708816,0.01705537850297325,AR,2022-08-16,0,0,1,1,0,0,1,1
102,1.1423307126757,0.04959277330926,AR,2022-08-17,1,1,1,1,0,0,1,1
103,1.01004715199176,0.070435040428077,AR,2022-08-18,1,1,1,1,0,0,1,1
104,1.76111867956318,0.249092353096305,AR,2022-08-19,1,0,1,0,1,0,1,0
105,1.24614978111348,0.019899939660389752,AR,2022-08-20,0,0,1,1,0,0,1,1
106,1.30721955971747,0.1829408878392735,AR,2022-08-21,1,0,1,0,0,1,1,0
107,2.71630900587043,0.180306733262444,AR,2022-08-22,0,0,1,0,1,0,1,0
108,2.79487382812003,0.051424101623235,AR,2022-08-23,0,0,1,1,0,0,0,1
109,1.80716227825261,0.117679256032152,AR,2022-08-24,1,1,1,0,0,0,1,0
110,1.41220436290506,0.136608049946906,AR,2022-08-25,1,1,1,0,0,0,1,0
111,0.833091062935875,0.0787251686294915,AR,2022-08-26,1,1,1,1,1,1,1,1
112,1.22469603675301,0.057537982728934,AR,2022-08-27,1,1,1,1,0,0,1,1
113,2.23071904961188,0.2163471681043785,AR,2022-08-28,0,0,1,1,0,0,1,1
114,1.75131046654085,0.1186678419268355,AR,2022-08-29,1,1,1,1,0,0,1,0
115,2.03462522555382,0.0974052188644035,AR,2022-08-30,1,1,1,1,0,0,1,0
116,2.12438186009577,0.144023565716929,AR,2022-08-31,1,1,1,0,0,1,1,0
117,2.75499411568412,0.144374718315901,AR,2022-09-01,1,1,1,1,0,0,1,1
118,1.3925387589444,0.2060202857865065,AR,2022-09-02,1,1,1,0,0,0,1,0
119,0.615733814205853,0.0462433257437541,AR,2022-09-03,1,1,1,1,0,0,1,1
120,0.769679806783277,0.1420786439051445,AR,2022-09-04,1,1,1,1,0,0,1,1
121,1.0201778462835,0.153487499974499,AR,2022-09-05,1,1,1,0,0,1,1,0
122,3.67808672489527,0.1302564566337315,AR,2022-09-06,1,1,1,1,0,0,1,0
123,3.90756931935859,0.176446631093602,AR,2022-09-07,0,0,1,0,0,0,1,0
124,3.17125690524461,0.1928341159720525,AR,2022-09-08,0,0,1,1,0,0,1,1
125,1.78288729537778,0.169613967701123,AR,2022-09-09,1,1,1,1,0,0,1,1
126,0.847552466746724,0.1410154837003305,AR,2022-09-10,1,1,1,1,1,1,1,1
127,1.76286727888186,0.058083357489951,AZ,2022-07-31,1,0,1,1,0,0,1,0
128,5.78092501924692,0.247402278221215,AZ,2022-08-01,0,0,0,1,0,0,0,0
129,2.04493261693238,0.1182917762889425,AZ,2022-08-02,1,1,1,1,0,0,0,0
130,5.8379939852543,0.2379388702139495,AZ,2022-08-03,0,0,1,0,0,0,0,0
131,0.859983342746903,0.104070385332417,AZ,2022-08-04,1,1,1,1,0,0,1,0
132,1.13088281087939,0.093601781934772,AZ,2022-08-05,1,1,1,1,0,0,1,1
133,1.08303662219347,0.1051503320812915,AZ,2022-08-06,1,1,1,0,1,1,0,0
134,1.84563410054389,0.1387655653295,AZ,2022-08-07,1,1,0,0,0,0,0,1
135,2.22767658761263,0.05650757994352,AZ,2022-08-08,1,0,1,1,1,1,1,1
136,5.04248196744523,0.075534871961422,AZ,2022-08-09,0,0,1,0,0,0,0,0
137,2.57019394890502,0.1252053499994245,AZ,2022-08-10,0,1,1,1,0,0,1,0
138,1.25494441603098,0.1079719961787235,AZ,2022-08-11,1,1,1,1,0,0,1,1
139,1.56755603660709,0.0837526098417025,AZ,2022-08-12,1,1,1,1,0,0,0,1
140,1.69021289555665,0.056352973902113,AZ,2022-08-13,0,1,0,1,0,0,0,1
141,0.773508362145523,0.0877406156780075,AZ,2022-08-14,1,1,1,1,0,0,1,1
142,3.37338176610095,0.122879906809389,AZ,2022-08-15,1,1,1,0,0,0,1,0
143,3.81864392548709,0.0505000354405355,AZ,2022-08-16,0,0,1,1,0,0,1,1
144,1.75564663637378,0.0879338279716305,AZ,2022-08-17,1,1,1,0,0,0,1,0
145,1.77784003352839,0.1529692288308195,AZ,2022-08-18,0,1,1,1,0,0,1,1
146,0.707550338091498,0.102139401267029,AZ,2022-08-19,1,1,1,1,1,1,1,1
147,0.678254358942161,0.0652271478392845,AZ,2022-08-20,1,1,1,1,0,0,1,1
148,2.75094464543781,0.1907010522434465,AZ,2022-08-21,0,0,1,0,0,0,1,0
149,1.54743751504953,0.1164074709204935,AZ,2022-08-22,1,1,1,1,0,0,1,1
150,2.68275992792153,0.05561378630855,AZ,2022-08-23,0,0,1,1,0,0,1,0
