...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
1,0.00779565426071338,0.00732615038569435,AK,2022-09-04,1,1,1,1,1,1,1,1,1,1
2,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.0576021734137385,0.0077924393989751,AK,2022-09-06,1,1,1,1,1,1,1,1,1,1
4,0.00727653888850108,0.00806292175147485,AK,2022-09-07,1,1,1,1,1,1,1,1,1,1
5,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.00949290852057023,0.01085499881385505,AK,2022-09-14,1,1,1,1,1,1,1,1,1,1
12,NA,NA,AK,2022-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.032536761957595,0.01202847814000655,AK,2022-09-16,1,1,1,1,1,1,1,1,1,1
14,0.00969351471309758,0.01269636650058745,AK,2022-09-17,1,1,1,1,1,1,1,1,1,1
15,0.0388339345351836,0.01342454153675555,AK,2022-09-18,1,1,1,1,1,1,1,1,1,1
16,0.119458362267621,0.01421812102619145,AK,2022-09-19,1,1,1,1,1,1,0,1,0,1
17,NA,NA,AK,2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.0115909509038309,0.01602395564341675,AK,2022-09-21,1,1,1,1,1,1,1,1,1,1
19,NA,NA,AK,2022-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.0124219993599144,0.0181628471041655,AK,2022-09-23,1,1,1,1,1,0,0,1,1,1
21,NA,NA,AK,2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.198989371898937,0.0221183614393099,AK,2022-09-26,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0185525727149345,0.02534440109553875,AK,2022-09-28,1,1,1,1,1,1,1,1,1,1
26,NA,NA,AK,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.0202559929483437,0.033511611287648,AK,2022-10-02,1,1,1,1,1,1,1,1,1,1
30,0.869349504793421,0.3473003776812395,AK,2022-10-03,0,1,1,1,1,0,0,1,1,1
31,1.17685064279934,0.81735326549002,AK,2022-10-04,1,0,1,0,1,1,0,1,0,1
32,1.06141210908374,0.636506409910945,AK,2022-10-05,0,0,1,1,1,0,0,1,1,1
33,NA,NA,AK,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.0271442877893407,0.0475994034161536,AK,2022-10-07,1,1,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1.16697978601652,0.26616071748347653,AK,2022-10-10,1,1,0,1,1,0,0,0,1,1
38,0.0362584133565254,0.0624272688641915,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.28713406746327,0.0238512675568564,AL,2022-09-04,0,0,1,1,1,0,0,1,1,1
44,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.477262775160047,0.162196109541031,AL,2022-09-06,1,1,1,1,1,0,0,1,1,1
46,0.488455592806413,0.092866020589916,AL,2022-09-07,1,1,1,1,1,0,0,1,1,1
47,1.12362504925664,0.1867583563140985,AL,2022-09-08,1,1,1,1,1,0,0,1,1,1
48,0.286255882500412,0.139120694362389,AL,2022-09-09,1,1,1,1,1,0,1,0,1,1
49,0.693376522347676,0.370924494734201,AL,2022-09-10,1,1,1,1,1,1,1,1,1,1
50,0.31320003815785,0.1623296333852235,AL,2022-09-11,1,1,1,1,1,1,1,1,1,1
51,0.536047288556851,0.177824440661222,AL,2022-09-12,1,1,1,1,1,0,0,1,1,1
52,0.596583676262556,0.0863603176112375,AL,2022-09-13,1,1,1,1,1,0,0,1,1,1
53,0.632608949462202,0.1972394217919185,AL,2022-09-14,1,1,1,1,1,0,0,1,1,1
