...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,1.16179727243738,0.309164714798215,AK,2022-12-18,0,1,0,1,1,1,1,0,1,0,1,1,1,1
2,0.886899684651228,0.303452970033261,AK,2022-12-19,1,1,1,0,1,1,1,1,1,0,0,0,1,0
3,0.381090544284592,0.2382694425207,AK,2022-12-20,1,1,1,1,1,1,1,1,1,0,1,1,0,1
4,0.600301447834097,0.259104737089326,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.817174577393468,0.317226631561923,AK,2022-12-22,1,0,1,1,1,1,1,0,0,0,1,1,1,0
6,0.215874015018229,0.1877209052555485,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.637148728446617,0.2610825698744065,AK,2022-12-24,1,1,1,1,1,1,1,0,1,0,1,1,1,1
8,0.55897708662524,0.181575037178876,AK,2022-12-25,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,1.92451198416934,0.3906831077542005,AK,2022-12-26,0,0,1,1,1,1,1,0,0,1,1,0,1,1
10,5.72279608393648,0.564777642178945,AK,2022-12-27,1,0,0,1,1,1,1,0,0,0,1,1,1,1
11,1.62567007902105,0.4307846726292815,AK,2022-12-28,1,0,1,1,1,1,1,0,0,1,1,1,1,1
12,0.957331651726503,0.3480316265026525,AK,2022-12-29,1,1,1,1,1,0,1,1,1,0,1,1,0,1
13,2.15422095160268,0.485956982535705,AK,2022-12-30,1,0,0,1,1,1,1,0,0,0,1,0,1,1
14,1.14893003767256,0.416616735565075,AK,2022-12-31,1,0,1,1,0,1,1,0,0,1,1,0,1,0
15,0.819667105230513,0.4274448249869105,AK,2023-01-01,1,0,1,1,1,1,1,1,0,0,1,1,0,1
16,1.06555783561087,0.294105901093893,AK,2023-01-02,1,0,1,1,1,1,1,0,0,0,0,1,1,1
17,2.46822714638345,0.3211270071176895,AK,2023-01-03,0,1,1,1,0,1,1,0,1,0,1,0,0,0
18,1.65451365391402,0.2415751017210695,AK,2023-01-04,1,1,0,1,1,1,1,1,0,0,0,0,0,0
19,0.883481416549305,0.15560132545602,AK,2023-01-05,1,1,0,1,1,1,1,0,1,0,0,1,1,1
20,0.898873167070058,0.3342355077852625,AK,2023-01-06,1,0,1,1,1,1,1,1,0,0,1,0,0,1
21,0.730666881455021,0.3992424996979135,AK,2023-01-07,1,1,1,1,0,1,1,1,1,0,1,0,1,1
22,0.194329362349783,0.1505765898400075,AK,2023-01-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1
23,1.17630053928441,0.358406561325148,AK,2023-01-09,1,0,1,1,1,1,1,0,0,0,1,1,1,1
24,1.43014932896687,0.231120470323049,AK,2023-01-10,1,1,1,1,1,1,1,0,1,0,1,0,0,0
25,0.952123333746579,0.2799485166260165,AK,2023-01-11,1,0,1,1,1,1,1,0,1,0,0,0,0,1
26,1.24999361048175,0.1450897113465005,AK,2023-01-12,1,1,0,1,1,1,1,0,1,0,0,1,0,1
27,1.59590921141864,0.312911415383999,AK,2023-01-13,1,1,1,1,0,1,1,0,1,0,1,1,0,1
28,0.223361695996615,0.142830561451225,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.204288070404591,0.141815071765074,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.987291116786857,0.2690698131768385,AK,2023-01-16,1,1,1,1,1,1,1,0,1,1,1,0,1,1
31,2.87726496916795,0.302750168286459,AK,2023-01-17,0,1,1,0,0,1,1,0,1,0,1,0,0,0
32,1.29059764123036,0.237218714978057,AK,2023-01-18,1,1,1,1,1,1,1,0,1,0,1,1,0,1
33,1.47435718509124,0.483853986597382,AK,2023-01-19,1,1,1,1,0,1,1,1,1,1,1,1,1,1
34,2.08143237457431,0.253291953827974,AK,2023-01-20,0,1,1,1,0,1,1,0,1,0,1,1,0,1
35,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.724959491038059,0.398033220408891,AK,2023-01-22,1,1,1,1,0,1,1,1,1,0,1,1,0,1
37,0.533608913648967,0.1361771407391675,AK,2023-01-23,1,1,1,1,1,1,1,1,1,0,1,1,1,0
38,1.72346770506152,0.272431466296655,AK,2023-01-24,1,0,1,1,1,1,1,0,0,0,1,1,0,1
39,2.28967572033957,0.4109629137618665,AK,2023-01-25,1,1,1,1,0,1,0,0,0,0,1,0,0,0
40,2.26653957861995,0.1937365991421035,AK,2023-01-26,0,1,0,1,1,1,1,0,1,0,1,0,0,0
41,2.03361933637448,0.4456864364910455,AK,2023-01-27,1,1,1,1,0,1,1,0,1,0,1,0,0,1
42,0.223240342329077,0.134630075935682,AK,2023-01-28,1,1,1,1,1,1,1,1,1,0,1,1,0,1
43,0.365280957507944,0.090144973265782,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.451134372066523,0.2024100646825035,AL,2022-12-19,1,1,1,1,1,1,1,0,0,1,1,1,1,1
45,1.9029175222099,0.2380192331189295,AL,2022-12-20,0,0,1,1,1,1,1,1,0,1,1,1,0,0
46,2.38940146557936,0.4249981589445755,AL,2022-12-21,1,1,0,1,0,0,1,1,0,0,0,0,0,1
47,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.114400288704887,0.086068559395777,AL,2022-12-24,1,1,1,1,1,1,1,1,1,0,1,0,1,1
50,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.940963787498438,0.2772424538929365,AL,2022-12-26,1,1,1,1,1,1,1,0,0,1,1,0,1,0
52,1.24264109610548,0.222371440987984,AL,2022-12-27,1,1,1,1,1,1,1,0,0,0,1,0,1,1
53,1.5335936131161,0.349236307863083,AL,2022-12-28,1,1,1,0,1,1,1,0,1,0,1,0,1,1
54,1.92458409645431,0.2913048365162595,AL,2022-12-29,1,1,1,0,1,1,1,1,0,0,0,1,1,0
55,1.62036241965239,0.38304422201199,AL,2022-12-30,1,1,0,1,0,1,1,1,0,0,1,0,1,1
56,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.52721010548048,0.233262799429129,AL,2023-01-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1
59,1.65967158826403,0.238171642307545,AL,2023-01-03,1,1,1,1,1,0,1,0,0,0,0,1,0,0
60,1.98703541779055,0.350239860196448,AL,2023-01-04,1,1,1,0,0,1,1,0,0,0,0,0,1,1
61,1.73944254591235,0.2635500614478065,AL,2023-01-05,1,1,1,1,0,1,1,0,0,0,0,0,1,1
62,1.51917837410915,0.3836180263931575,AL,2023-01-06,1,0,1,1,1,1,1,0,0,1,0,1,1,1
63,1.83918903836671,0.425905857793677,AL,2023-01-07,1,1,0,1,1,0,0,0,1,0,0,0,0,0
64,1.38537687556766,0.628963250140475,AL,2023-01-08,0,1,0,1,1,0,1,0,1,0,1,1,0,1
65,1.18602273055261,0.30196010298233,AL,2023-01-09,1,1,1,1,1,0,1,0,1,0,0,1,0,0
66,1.09384976940426,0.245963958282514,AL,2023-01-10,1,1,1,1,1,1,1,0,1,0,1,1,1,0
67,0.617241508717261,0.3424908733505425,AL,2023-01-11,1,1,1,1,0,1,1,1,1,0,1,0,1,1
68,1.08027899499903,0.444386419529326,AL,2023-01-12,1,1,1,1,1,0,1,0,1,0,1,0,0,1
69,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.899660922123332,0.2027317581339005,AL,2023-01-18,1,1,1,1,1,1,1,1,1,0,0,0,1,1
75,0.14889728496625,0.1144751354460425,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0.147002691342142,0.1167170124925725,AL,2023-01-20,1,1,1,1,1,1,1,1,1,0,0,1,1,1
77,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.170299908159427,0.123831409882195,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.173445302968657,0.1263270507148235,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.757356603191598,0.53533919005616,AL,2023-01-25,1,1,1,1,0,1,1,1,1,1,1,1,1,1
82,1.14355345908054,0.568192642795725,AL,2023-01-26,0,1,0,1,1,1,1,0,1,0,1,1,1,1
83,1.76101564220416,0.3707111936350515,AL,2023-01-27,1,1,1,1,0,1,1,1,1,0,1,1,0,1
84,0.911581697477502,0.63693557529078,AL,2023-01-28,1,1,1,1,1,1,0,1,1,0,1,1,1,0
85,0.608798495275696,0.2564224659874275,AR,2022-12-18,1,1,1,1,1,1,1,0,0,0,1,1,1,1
86,2.17663166969066,0.2388315934722695,AR,2022-12-19,1,0,1,1,0,1,1,0,0,0,1,0,1,1
87,2.0759273081449,0.3131252511691005,AR,2022-12-20,1,1,1,1,1,0,1,0,0,0,1,0,0,0
88,1.55367239674885,0.2405043241517205,AR,2022-12-21,1,1,1,1,1,1,1,0,0,0,0,0,1,0
89,1.23163708997067,0.2821791984722505,AR,2022-12-22,0,1,1,1,1,1,1,1,0,0,1,1,1,1
90,1.74213878875793,0.365976775352859,AR,2022-12-23,0,1,0,1,1,1,1,0,1,0,1,1,1,1
91,1.79904137786585,0.076672954799371,AR,2022-12-24,1,1,0,1,1,1,1,0,1,0,0,1,1,1
92,0.698168734800968,0.2185935668860445,AR,2022-12-25,1,1,1,1,1,1,1,1,0,0,1,1,1,1
93,3.19919763983725,0.1214500687893495,AR,2022-12-26,1,0,0,1,1,1,1,0,0,0,1,0,1,1
94,1.08893298698589,0.3103796463651345,AR,2022-12-27,1,1,1,1,0,1,1,0,1,0,1,1,1,1
95,0.834501574959674,0.2743368938443185,AR,2022-12-28,1,1,1,1,1,1,1,0,0,1,1,0,1,1
96,5.54515900137451,0.3962302823352335,AR,2022-12-29,0,1,0,1,1,1,1,0,0,0,1,1,1,1
97,2.30535305859362,0.2187658750729605,AR,2022-12-30,1,1,1,1,0,1,1,0,0,0,1,0,1,0
98,0.658421795298616,0.295567000438962,AR,2022-12-31,1,1,1,1,1,1,1,0,0,1,1,1,1,1
99,0.0842249311026315,0.052932704804535,AR,2023-01-01,1,1,1,1,1,1,1,0,1,0,1,1,1,1
100,0.866379789964401,0.125120435020585,AR,2023-01-02,1,1,1,1,1,1,1,0,0,0,1,1,1,1
101,1.7794809128617,0.23852303676929,AR,2023-01-03,0,1,1,1,1,1,1,0,0,0,1,0,1,0
102,2.74594592444404,0.214274289326006,AR,2023-01-04,1,0,1,1,1,0,1,0,0,1,1,0,1,1
103,3.63862062531164,0.34095150357973,AR,2023-01-05,1,1,0,1,1,0,0,1,1,0,1,0,0,0
104,1.16164923364803,0.288164993804636,AR,2023-01-06,1,0,1,1,1,1,1,0,1,0,1,1,1,1
105,0.509458494957786,0.1691279999504335,AR,2023-01-07,1,1,1,1,1,1,1,0,0,1,1,1,1,1
106,0.76572461929783,0.03841190772508695,AR,2023-01-08,1,1,1,1,1,1,1,1,1,0,1,1,1,0
107,4.83776337039559,0.357543893540459,AR,2023-01-09,1,0,0,1,0,1,0,0,0,0,1,0,1,1
108,2.59316392720907,0.2276662272779215,AR,2023-01-10,1,1,1,0,0,1,1,0,0,0,0,0,1,0
109,2.74900126235705,0.2464711205660265,AR,2023-01-11,1,0,1,1,0,1,0,0,0,0,1,0,1,0
110,2.42492683699105,0.301937844596465,AR,2023-01-12,1,1,1,1,0,1,0,0,0,0,1,0,1,0
111,1.92944726106902,0.288515880973159,AR,2023-01-13,1,1,1,1,0,0,1,0,0,1,1,0,0,1
112,1.37428543357351,0.52477434602017,AR,2023-01-14,1,1,0,0,1,1,1,0,1,0,0,0,1,1
113,1.72452534673701,0.80512888810816,AR,2023-01-15,1,1,0,0,0,1,1,0,1,0,0,0,1,1
114,3.62806033510388,0.56013088451938,AR,2023-01-16,0,1,0,1,0,1,1,0,0,0,1,0,1,1
115,3.03403913067434,0.264274747233791,AR,2023-01-17,1,1,1,1,0,1,1,0,0,0,1,0,1,1
116,1.91975060639547,0.29807497224174,AR,2023-01-18,1,1,1,1,0,1,1,0,0,0,1,0,1,1
117,1.64974081818246,0.3105233411787745,AR,2023-01-19,1,1,1,1,0,1,1,0,0,0,1,0,1,1
118,1.29767132895171,0.2926132208187615,AR,2023-01-20,1,1,1,1,1,0,0,1,1,0,1,1,0,0
119,1.08847674837929,0.81044165703183,AR,2023-01-21,1,1,0,1,0,1,1,1,1,0,1,0,1,1
120,0.803982514786762,0.2850090228664055,AR,2023-01-22,1,1,1,1,0,1,1,1,1,0,1,0,1,1
121,2.55275227505532,0.2253135898831035,AR,2023-01-23,1,1,1,1,0,0,1,0,1,1,1,0,0,0
122,5.30384057969033,0.418537667716833,AR,2023-01-24,1,1,0,1,0,1,1,1,0,0,1,0,1,1
123,3.29928717414916,0.357258116033699,AR,2023-01-25,1,1,0,1,0,1,1,0,0,0,1,0,1,1
124,2.51045890605676,0.2497836439466745,AR,2023-01-26,1,1,1,1,0,0,1,1,0,0,1,0,0,1
125,1.50502124999382,0.247659509819586,AR,2023-01-27,1,1,1,1,0,1,1,0,0,1,1,0,1,1
126,0.061702024501583,0.017057920729252,AR,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1.72330672512306,0.2174077600346665,AZ,2022-12-18,1,1,1,1,1,1,1,0,0,0,1,1,1,1
128,3.18512894154755,0.2425703035107555,AZ,2022-12-19,1,1,1,1,1,1,1,0,0,0,0,0,1,0
129,2.91742026003066,0.283088600005873,AZ,2022-12-20,0,0,1,1,1,1,1,0,0,0,0,1,1,1
130,2.51919487211362,0.2753785709432765,AZ,2022-12-21,0,0,1,1,1,1,1,0,1,0,0,0,1,1
131,3.02769100434225,0.209706671619443,AZ,2022-12-22,0,1,0,1,0,1,1,0,1,1,0,0,1,1
132,1.57037392112339,0.242741949763723,AZ,2022-12-23,1,1,1,0,1,1,1,0,0,0,0,1,1,0
133,0.679128285385009,0.23131172415719,AZ,2022-12-24,1,1,1,1,1,1,1,0,0,0,1,1,1,1
