...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,other_95_CI
63,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.709209945640653,0.390861998258318,AL,2023-07-31,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
66,0.984823220669712,0.4416038990984895,AL,2023-08-01,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
67,0.670913993974795,0.369833391158933,AL,2023-08-02,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
68,0.432440443495171,0.310610733104467,AL,2023-08-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
69,0.788359106233867,0.54391196708195,AL,2023-08-04,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
70,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.781649228587062,0.545669797290555,AL,2023-08-08,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
74,0.429550017230063,0.3155154347594205,AL,2023-08-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.429090624100588,0.31636603419759,AL,2023-08-10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
76,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.463662969673255,0.3435890298753405,AL,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
80,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.935340020382331,0.469152233094793,AL,2023-08-16,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1
82,0.509050197801857,0.331668547914243,AL,2023-08-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
83,1.16338981968244,0.3916615502512575,AL,2023-08-18,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
84,1.07418638297927,0.3383224920852975,AL,2023-08-19,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
85,NA,NA,AR,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1.94571404185124,0.58034765142597,AR,2023-07-10,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
87,NA,NA,AR,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,0.21222701278234,0.1553093116652665,AR,2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.216598700456526,0.161008786298881,AR,2023-07-17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
94,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.759645326839778,0.38533711687026,AR,2023-07-19,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
96,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.621929942670988,0.429486860755201,AR,2023-07-21,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
98,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.992725349553292,0.501713810978955,AR,2023-07-26,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
103,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1.66306323008953,0.4887581838002415,AR,2023-07-28,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
105,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.570584373716374,0.416800531394171,AR,2023-07-31,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
108,1.9831006787126,0.468301573189672,AR,2023-08-01,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
109,1.58700359097141,0.390460988237773,AR,2023-08-02,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
110,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.756866309502727,0.51984602036098,AR,2023-08-04,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
112,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.811108527257852,0.567728254126155,AR,2023-08-07,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
115,2.32537267328655,0.4486901551973635,AR,2023-08-08,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
116,1.70401229585555,0.4733981660728125,AR,2023-08-09,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1
117,0.265608568461111,0.1973768920417625,AR,2023-08-10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
118,0.452678517811349,0.302224881303221,AR,2023-08-11,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
119,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.436892917584583,0.3037360432334355,AR,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
122,0.945113630488509,0.480191680937946,AR,2023-08-15,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1
123,1.05485410664688,0.3890126522446575,AR,2023-08-16,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1
124,1.49453982571416,0.3528350139168765,AR,2023-08-17,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
125,0.793581221665564,0.3509474441492075,AR,2023-08-18,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
126,0.822081028464864,0.57674149286959,AR,2023-08-19,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,4.24279399193505,0.3988603682484435,AZ,2023-07-09,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1
128,1.92167952681585,0.38052834617839,AZ,2023-07-10,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
129,2.57609491438072,0.387930183819415,AZ,2023-07-11,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
130,1.73464918653361,0.374123416459161,AZ,2023-07-12,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
131,2.5398845067879,0.358602748100644,AZ,2023-07-13,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
132,1.02749566449586,0.3873757353485215,AZ,2023-07-14,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1
133,1.95409510709565,0.4221361574289225,AZ,2023-07-15,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1
134,1.60455820346872,0.351426999308243,AZ,2023-07-16,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
135,2.98074062493571,0.3851152047003845,AZ,2023-07-17,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1
136,1.94754049461309,0.397035513144762,AZ,2023-07-18,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
137,1.79015006712747,0.3579500472181685,AZ,2023-07-19,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
138,1.37463394629001,0.403989900243898,AZ,2023-07-20,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1
139,1.67983900374292,0.368569870530006,AZ,2023-07-21,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
140,1.12467971337776,0.3429018736286885,AZ,2023-07-22,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
141,0.794823454436783,0.409018893271937,AZ,2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
142,3.40749113281513,0.399758958048242,AZ,2023-07-24,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1
143,3.67024293825809,0.4259048252930525,AZ,2023-07-25,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1
144,2.20460093654622,0.425330993822815,AZ,2023-07-26,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0
145,1.57531313317479,0.446923870892296,AZ,2023-07-27,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
146,0.79202680781316,0.3566223204364755,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
147,0.610414587687808,0.370396440150578,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
148,7.21302057632769,0.428980451545738,AZ,2023-07-30,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
149,3.26095900860764,0.4262730303463355,AZ,2023-07-31,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
150,1.71322949584527,0.3831651219364555,AZ,2023-08-01,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1
151,3.00985656085748,0.391891215198989,AZ,2023-08-02,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1
152,2.06477113739739,0.3798958539823665,AZ,2023-08-03,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
153,0.760061509836868,0.403973259231573,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
154,1.96904720743072,0.3836979819730695,AZ,2023-08-05,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
155,0.842796414811312,0.3733459364520905,AZ,2023-08-06,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
156,2.44322830642629,0.3833706213304825,AZ,2023-08-07,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
157,8.59153361258271,0.433573203156587,AZ,2023-08-08,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
158,3.48506470625803,0.428977521489898,AZ,2023-08-09,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
159,1.03413134313429,0.450300185945556,AZ,2023-08-10,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
160,0.897816322391915,0.436342207918299,AZ,2023-08-11,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
161,0.407396743553959,0.2709057186950955,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
162,1.816964021017,0.382301346502115,AZ,2023-08-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1
163,6.14465773281978,0.432727597523078,AZ,2023-08-14,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
164,3.9239325554174602,0.3861509959657415,AZ,2023-08-15,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
165,4.86479425096304,0.411420335372493,AZ,2023-08-16,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1
166,1.74084464074481,0.4428594970316005,AZ,2023-08-17,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
167,1.27345342687072,0.4115970909799295,AZ,2023-08-18,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1
168,0.847384593038615,0.3733878329926205,AZ,2023-08-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
169,0.716252498535469,0.39761660835943,CA,2023-07-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
170,2.49630065829146,0.389410211385753,CA,2023-07-10,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1
