...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.253447208626496,0.175685445213857,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.745589201883174,0.2293513082245035,AK,2023-01-16,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
3,2.22258381117202,0.26272626928833,AK,2023-01-17,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1
4,1.70206697653386,0.2566903078475905,AK,2023-01-18,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
5,0.715942925999023,0.301035211455397,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
6,2.07584284763464,0.2306167416751155,AK,2023-01-20,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.300032292169022,0.2698136328388915,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
9,0.809551850555292,0.2112045361741885,AK,2023-01-23,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
10,2.24054620702294,0.2824879364438035,AK,2023-01-24,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
11,1.72854197046022,0.353878649503096,AK,2023-01-25,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
12,3.38559116926674,0.2347943769518475,AK,2023-01-26,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
13,0.801359580515133,0.322986079165655,AK,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
14,0.335968479180448,0.2360818545838785,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
15,0.548454949332308,0.2560858181329115,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
16,1.4269026817401,0.24627073985908501,AK,2023-01-30,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
17,0.959240808391973,0.2641697800629965,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
18,0.798278574067209,0.268015734552259,AK,2023-02-01,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
19,1.91218546876418,0.262101652711758,AK,2023-02-02,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
20,0.865504925522627,0.358069799556741,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
21,1.1517353262919101,0.2629255159299585,AK,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
22,1.13758314374911,0.2472393294126235,AK,2023-02-05,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
23,4.66457363141834,0.245369525575236,AK,2023-02-06,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
24,1.27665027501658,0.3161480847830985,AK,2023-02-07,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
25,1.26942594032352,0.300455565250396,AK,2023-02-08,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
26,0.35097400335512,0.2616546475343535,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
27,2.63606933802785,0.2273711630506755,AK,2023-02-10,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
28,1.27603727888732,0.236842735716384,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
29,1.36489202308757,0.22152933559405,AK,2023-02-12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
30,1.66069972488441,0.284305340553659,AK,2023-02-13,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
31,0.88800671375447,0.247271039000314,AK,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
32,0.766753897060382,0.2531133449828785,AK,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
33,2.26575806935448,0.213464726326525,AK,2023-02-16,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
34,1.44554593809881,0.226681114143676,AK,2023-02-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
35,0.681738114530261,0.237130784180495,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
36,0.419052871598961,0.263283251193644,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
37,3.00219752415473,0.224097043222191,AK,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
38,1.66491993144059,0.22298957576891,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
39,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1.05446640519071,0.2093948770026975,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.908679196936978,0.431527895075867,AK,2023-02-24,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
42,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.42705262943763,0.2530801759958035,AL,2023-01-18,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
47,0.239450213741939,0.1636724484774605,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
48,0.248472655852847,0.171283810446024,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
49,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.289968283924582,0.1966446341813955,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
52,0.303264140010013,0.205885956099639,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
53,0.458379128184437,0.317784145523591,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
54,0.892046556914988,0.4436443274256725,AL,2023-01-26,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0.833682249686475,0.2694016254916385,AL,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
56,0.929417179098609,0.66785353150769,AL,2023-01-28,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
57,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.40098557027353,0.2557319695666285,AL,2023-01-30,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
59,0.357454017721414,0.24447399499277,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
60,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.764590104432327,0.33682902790194,AL,2023-02-02,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
62,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.309652298239149,0.2039116428693025,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
64,0.447806708011808,0.333656438170669,AL,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
65,0.315593318910295,0.265444842933,AL,2023-02-06,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
66,0.48270887648181,0.3553372865696145,AL,2023-02-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
67,1.41347537056769,0.1704899102294995,AL,2023-02-08,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1
68,0.945624349376965,0.68100284839079,AL,2023-02-09,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
69,0.248209965693481,0.156262623001696,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
