...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
1,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1.33042810135129,0.289070651379563,AK,2022-10-10,1,1,0,0,1,1,1,1,0,0,0,0,1,1
3,0.017433717652651,0.0137984503626388,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.0682399281762416,0.01663481641486595,AK,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0256443021726185,0.0170383587631853,AK,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,NA,NA,AK,2022-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0255376280435673,0.01903709197349085,AK,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2022-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2022-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2022-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1.07814983570322,0.758581667053535,AK,2022-10-30,1,1,0,1,0,1,1,1,1,0,1,0,1,1
23,NA,NA,AK,2022-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.109089571842628,0.02270812508492435,AK,2022-11-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,NA,NA,AK,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2022-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1.00837041720199,0.712080369579515,AK,2022-11-14,1,1,0,1,0,1,1,1,1,0,1,0,1,1
38,NA,NA,AK,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2022-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0446618541782475,0.03164262701616795,AK,2022-11-17,1,1,1,1,1,1,1,1,1,0,1,1,1,0
41,NA,NA,AK,2022-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.216473403618276,0.02642133397036025,AL,2022-10-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.123295689220245,0.026304653078634,AL,2022-10-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.222978126081759,0.02619086564145645,AL,2022-10-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1
46,2.15163818674646,0.409182837916779,AL,2022-10-12,1,1,0,1,0,1,1,1,1,0,1,0,1,1
47,0.378155798513089,0.1622125542090885,AL,2022-10-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0.35029864242507,0.02587080534058805,AL,2022-10-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0.0383879219947456,0.0257727124720004,AL,2022-10-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.869014193669127,0.1868839329683405,AL,2022-10-16,1,1,1,0,1,1,1,1,1,0,0,1,1,1
51,1.03031258660029,0.428395331859441,AL,2022-10-17,1,1,1,0,1,1,1,1,1,0,0,1,1,1
52,0.0353618726680359,0.0255116973107078,AL,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.122272107354429,0.0254379039354292,AL,2022-10-19,1,1,1,1,1,1,1,1,0,0,1,1,1,1
54,0.0331379511309262,0.0253719293047978,AL,2022-10-20,1,1,1,1,1,1,1,1,0,0,1,1,1,1
55,0.0382596669639214,0.02531460341807305,AL,2022-10-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0.0365715768050413,0.02526683299884515,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0.123924308671391,0.0252296083063909,AL,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0.0364421762623852,0.02520401062992015,AL,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
