...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.780059525650981,0.3916524511561555,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
2,1.0644640913887,0.2650988330103125,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
3,1.60393875326011,0.256842719253065,AK,2023-01-03,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.92288388441662,0.2407537985585105,AK,2023-01-04,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
5,0.978763444363786,0.148290552356396,AK,2023-01-05,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
6,0.916814243854038,0.3164063857914765,AK,2023-01-06,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
7,0.413445846757414,0.3014289780238875,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
8,0.244271253631739,0.1613604776681745,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
9,0.934792848396099,0.3131093535558255,AK,2023-01-09,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
10,1.500307503536,0.2115533013085955,AK,2023-01-10,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
11,1.47898882623184,0.310917452609082,AK,2023-01-11,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1
12,1.68130223928143,0.1811698773293565,AK,2023-01-12,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
13,1.02551048976105,0.2522934057584555,AK,2023-01-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
14,0.305126659270074,0.1915156031870045,AK,2023-01-14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
15,0.328214148222462,0.1966905370957625,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.898642799843654,0.240696792918416,AK,2023-01-16,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
17,3.00808161369131,0.273840664607897,AK,2023-01-17,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1
18,2.23919312081898,0.2678929121545585,AK,2023-01-18,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
19,0.543646967498415,0.294827318607029,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
20,2.55607202673968,0.245042784322225,AK,2023-01-20,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1
21,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.337388275494898,0.272362818743734,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
23,0.989152285612682,0.2355578056753175,AK,2023-01-23,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
24,2.90660736281388,0.298279013055016,AK,2023-01-24,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
25,2.18326546639601,0.361381285729252,AK,2023-01-25,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
26,4.14704503564585,0.253182988104694,AK,2023-01-26,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
27,0.90576040227344,0.3178266548443885,AK,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
28,0.499586284983115,0.256440057385731,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.809172385100619,0.2660434636768095,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
30,1.7444590409364,0.2641045678193295,AK,2023-01-30,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
31,1.1834939941045,0.268666418270526,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
32,0.489168973377651,0.2654634252567895,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
33,1.8485322807517,0.266208941619257,AK,2023-02-02,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
34,0.969195023034076,0.362098225754313,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
35,1.66959297555389,0.2704363434323965,AK,2023-02-04,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
36,0.669802978893061,0.2514265706517575,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
37,2.8963142916462,0.2510893682581925,AK,2023-02-06,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
38,1.15829535901347,0.3220674424603665,AK,2023-02-07,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
39,1.38994156442282,0.306827203094803,AK,2023-02-08,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
40,0.49701894026175,0.269364847822024,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
41,1.53207571675569,0.235485048757523,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
42,1.00334131093868,0.2449063754316725,AK,2023-02-11,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
43,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.84620288521322,0.23500578002288,AL,2023-01-02,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1
45,1.95877310797646,0.241715024408049,AL,2023-01-03,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1
46,1.77895222080598,0.3457373301095355,AL,2023-01-04,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
47,1.49063095487847,0.253157427503222,AL,2023-01-05,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
48,1.52494992628402,0.379540790102009,AL,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1
49,1.72778720405784,0.417297264876883,AL,2023-01-07,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
50,1.30209157996438,0.61157573152297,AL,2023-01-08,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1
51,0.913838419385585,0.2959040888103175,AL,2023-01-09,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
52,1.03129725263343,0.2439456052121835,AL,2023-01-10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
53,0.429576960545739,0.3036174956426115,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
54,0.892290624896439,0.415325662770525,AL,2023-01-12,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
55,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1.56339991868602,0.264149987625874,AL,2023-01-18,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
61,0.274875499804524,0.1869163987155595,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
62,0.301989707316694,0.1949177291668475,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
