...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
1,0.0109291979456201,0.00977062818224135,AK,2023-04-09,1,1,1,1,1,1,1,1,1,0,1,0,1,1
2,1.23053120565693,0.86494533192657,AK,2023-04-10,1,1,0,0,1,1,1,1,1,0,0,1,1,1
3,0.129173931347301,0.01045803851313665,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.0141661206505464,0.01084570666828305,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.135591771260907,0.0112641861672024,AK,2023-04-13,1,1,1,1,1,1,1,1,0,0,1,1,1,1
6,0.0143883784536009,0.01171470421200305,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.0136996847347064,0.0121985688977434,AK,2023-04-15,1,1,1,1,1,1,1,0,1,0,1,1,1,1
8,0.0149817683213141,0.01271717039547145,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.10863994381091,0.4380629291139675,AK,2023-04-17,1,1,0,1,1,0,1,1,1,1,1,1,0,0
10,0.0573106723530248,0.0138645660710362,AK,2023-04-18,1,1,1,1,1,1,1,0,1,0,1,1,1,1
11,NA,NA,AK,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.0191387783696736,0.01516973847675185,AK,2023-04-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
13,NA,NA,AK,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
