...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
64,NA,NA,AL,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.0354572755093302,0.00791188134300515,AL,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
67,0.111373931375879,0.0078859229549137,AL,2023-03-15,1,1,1,1,1,1,1,1,0,1,1,0
68,0.0400206881128892,0.0079358064458781,AL,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
69,0.0379514391145851,0.00806558423611015,AL,2023-03-17,1,1,1,1,1,1,1,1,0,1,0,1
70,NA,NA,AL,2023-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.984557663390164,0.4488849943791185,AL,2023-03-20,1,1,1,1,1,0,1,1,0,1,1,0
73,NA,NA,AL,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.0498661459415665,0.0101378238941708,AL,2023-03-22,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.0560621832487273,0.01179105808385505,AL,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
77,0.959282304315773,0.444090805678095,AL,2023-03-25,1,1,1,1,1,0,1,1,0,1,1,0
78,NA,NA,AL,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.176229787960869,0.01537721185739545,AL,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.356923212318054,0.08502770239082,AR,2023-02-19,1,1,1,1,1,1,0,1,0,1,1,1
86,0.966041348513753,0.3333907124755515,AR,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1
87,2.41384509697974,0.2779447258433305,AR,2023-02-21,1,1,1,0,1,1,0,1,0,0,1,0
88,2.10365455347927,0.334671698099471,AR,2023-02-22,0,1,0,1,1,1,0,1,0,1,1,0
89,0.685942937578798,0.191928537673633,AR,2023-02-23,1,1,1,1,1,1,0,1,0,1,1,0
90,0.727774584621655,0.19236602542611,AR,2023-02-24,1,1,1,1,1,1,0,1,0,1,1,1
91,NA,NA,AR,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.489885728371003,0.245793748029865,AR,2023-02-26,1,1,1,1,1,1,0,1,0,1,1,1
93,5.37398660906891,0.365948190288605,AR,2023-02-27,0,1,0,1,1,1,0,0,0,1,1,0
94,1.68937874625885,0.403968122656377,AR,2023-02-28,1,1,0,1,1,0,1,1,0,1,1,0
95,0.551099581223403,0.02707272970542075,AR,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
