...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.273337033427961,0.1793499958979655,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.969638860817643,0.318015959342139,AK,2023-01-09,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
3,1.66504257022353,0.2270389851796505,AK,2023-01-10,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
4,1.56511507539357,0.3208907181426485,AK,2023-01-11,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1
5,1.81652775395091,0.210014516778427,AK,2023-01-12,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
6,1.07901454313281,0.262485283865671,AK,2023-01-13,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
7,0.325596255065498,0.229008709879089,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
8,0.339549055779072,0.239518685734711,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.970630183703043,0.2636058043656735,AK,2023-01-16,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,3.10334820439735,0.2953320806384395,AK,2023-01-17,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1
11,2.47451640011327,0.306688651512187,AK,2023-01-18,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
12,0.528621890839949,0.2663628990990665,AK,2023-01-19,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
13,2.83639350117321,0.2888507105195145,AK,2023-01-20,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.30396843533541,0.2714583829060085,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
16,1.03902600213249,0.349207577135981,AK,2023-01-23,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
17,3.16605635564474,0.379122932336997,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
18,1.96464183807879,0.401064655226001,AK,2023-01-25,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0
19,4.62225486810895,0.372765042933227,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
20,0.748576648880315,0.3131133120001735,AK,2023-01-27,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
21,0.542399012574331,0.434669263655996,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
22,0.88742027009266,0.3420017377671295,AK,2023-01-29,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
23,1.94230894508427,0.468908064074745,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,1.0482656498184,0.2674167683996915,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
25,0.473542638076549,0.0958871078432665,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1.5086586631748,0.231455866040366,AK,2023-02-02,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
27,0.862466488073426,0.3505965968384855,AK,2023-02-03,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
28,1.7730399380609,0.3445994013779955,AK,2023-02-04,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
29,0.650835087374011,0.0711058998417155,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,2.55147821229947,0.1025205952413895,AK,2023-02-06,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
31,1.02621312969507,0.264825726835411,AK,2023-02-07,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
32,1.19518750310189,0.276953656403514,AK,2023-02-08,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
33,0.521668044622471,0.3295205499511585,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
34,1.4184569088407,0.0525028568261075,AK,2023-02-10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
35,0.791338391336821,0.145168483834661,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
36,0.742696924192946,0.04770336299333525,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,2.16306627914159,0.3042186457648875,AK,2023-02-13,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
