...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
1,1.2911259458215,0.279276086154135,AK,2023-02-05,1,0,1,0,1,1,1,1,0,1,0,1,1,1
2,5.96108467149538,0.273936523651097,AK,2023-02-06,1,0,1,0,1,1,1,0,0,1,0,1,1,0
3,1.34395913129022,0.331913119853552,AK,2023-02-07,1,1,1,1,0,1,1,1,0,1,1,0,1,1
4,1.26115952246,0.3106578828634135,AK,2023-02-08,1,1,0,1,1,1,1,0,0,0,0,1,1,1
5,0.278068094553566,0.26420828870349,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,3.11805210571712,0.262111980180722,AK,2023-02-10,1,0,1,0,1,1,1,1,0,1,0,1,1,1
7,1.41298203928148,0.260832732411582,AK,2023-02-11,1,1,1,0,1,1,1,0,0,1,0,1,1,0
8,1.61686059110608,0.256419778448659,AK,2023-02-12,1,0,1,0,1,1,1,1,0,1,0,1,1,1
9,1.30595709198399,0.293413177214571,AK,2023-02-13,1,1,1,1,1,1,0,1,0,1,0,0,1,0
10,0.774764439859197,0.2599242030483745,AK,2023-02-14,1,1,1,1,1,1,1,0,0,1,1,1,1,1
11,0.606946383903323,0.261229808629763,AK,2023-02-15,1,1,1,1,1,1,1,1,0,1,0,1,1,1
12,2.72843542567317,0.246947289930009,AK,2023-02-16,1,0,1,0,1,1,1,0,0,1,0,1,1,1
13,1.64075911243922,0.2505332556287555,AK,2023-02-17,1,1,1,0,1,1,1,1,0,1,0,0,1,1
14,0.628905536289676,0.2538499832680265,AK,2023-02-18,1,1,1,1,1,1,1,0,0,1,0,1,1,1
15,0.317143119742973,0.264684320747976,AK,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,3.62009771998443,0.2465727469528515,AK,2023-02-20,1,0,1,0,1,1,1,1,0,0,0,1,1,0
17,1.93007651432364,0.2451621810516625,AK,2023-02-21,1,1,1,0,1,1,1,0,0,1,0,1,1,1
18,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1.2898741471002,0.2362589941631305,AK,2023-02-23,1,1,1,0,1,1,1,0,0,1,0,1,1,1
