...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.418174810214967,0.259782896719559,AK,2023-01-29,1,1,1,1,1,1,1,1,0,0,1,1
2,1.1245619719462,0.258830488958135,AK,2023-01-30,1,0,1,1,1,1,1,0,1,1,0,1
3,1.28542867331102,0.2618410790850895,AK,2023-01-31,1,1,1,0,1,1,0,0,0,0,1,1
4,1.1018431241847,0.2581771013827225,AK,2023-02-01,1,1,1,0,1,1,1,1,0,0,1,1
5,2.92910302282432,0.2596217038327785,AK,2023-02-02,1,1,1,0,1,1,0,1,0,0,1,0
6,1.00943114544244,0.3499737896453785,AK,2023-02-03,1,1,0,1,1,1,1,0,0,0,1,1
7,0.871863257628707,0.26384175527750803,AK,2023-02-04,1,1,1,1,1,1,1,0,0,0,1,0
8,1.69930143524779,0.246960934797587,AK,2023-02-05,1,0,1,0,1,1,1,0,1,0,1,1
9,7.50726745354903,0.247176133606051,AK,2023-02-06,1,0,1,0,1,1,0,0,0,0,1,0
10,1.88109301780357,0.318084718225752,AK,2023-02-07,1,0,1,0,0,1,1,0,0,0,0,1
11,1.83125213171792,0.2991919276110455,AK,2023-02-08,1,1,1,0,1,1,1,0,1,0,1,0
12,0.311091495515965,0.2628432895314445,AK,2023-02-09,1,1,1,1,1,1,0,0,0,0,1,1
13,4.13656684210746,0.237226013729108,AK,2023-02-10,1,0,1,0,1,1,1,0,0,0,0,1
14,2.27509311176537,0.24495413031318,AK,2023-02-11,1,0,1,0,1,1,0,0,0,0,1,0
15,2.22115641715732,0.234483181837464,AK,2023-02-12,1,0,1,0,1,1,0,0,1,0,1,1
16,2.07501786814612,0.2876603258144745,AK,2023-02-13,1,1,1,0,1,1,1,0,0,0,0,1
17,1.27778193999852,0.253517702924277,AK,2023-02-14,1,1,1,0,1,1,1,1,1,1,1,1
18,0.878651291938553,0.2578265564668975,AK,2023-02-15,1,1,1,1,1,1,1,0,1,1,1,0
19,3.8600490699012,0.2306507776797355,AK,2023-02-16,1,0,1,0,1,1,0,0,1,0,0,1
20,2.64210292069324,0.2400246044777815,AK,2023-02-17,1,0,1,0,1,1,0,0,0,0,1,1
21,1.03789218824037,0.247454195281203,AK,2023-02-18,1,1,1,0,1,1,0,1,1,0,0,1
22,0.326133473880104,0.265843338614852,AK,2023-02-19,1,1,1,1,1,1,1,1,1,0,0,1
23,5.95817808255089,0.2386802133834205,AK,2023-02-20,1,0,1,0,1,1,1,0,0,0,0,0
24,3.21202526743336,0.2379673738278875,AK,2023-02-21,1,0,1,0,1,1,0,0,1,0,1,0
25,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2.06476686680105,0.2281312878778455,AK,2023-02-23,1,0,1,0,1,1,1,0,0,0,1,1
27,0.991235769301956,0.436517543020036,AK,2023-02-24,1,1,1,1,0,1,1,1,1,1,1,1
28,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.435681382344832,0.2284948893065395,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.429620501420846,0.230894195324877,AK,2023-03-05,1,1,1,1,1,1,1,1,1,0,0,1
37,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.89660513590976,0.232740807348495,AK,2023-03-08,1,1,1,0,1,1,1,0,0,0,1,1
40,0.42971724777052,0.233422610687988,AK,2023-03-09,1,1,1,1,1,1,1,1,1,0,0,1
41,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.11404906028885,0.226892689886875,AL,2023-01-30,1,1,1,0,1,1,1,0,1,0,1,1
45,0.240621635132689,0.2127369898288805,AL,2023-01-31,1,1,1,1,1,1,1,0,1,0,1,1
46,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.699193072011595,0.33439577531028303,AL,2023-02-02,0,1,1,1,1,1,0,0,1,1,1,1
48,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.183820765643272,0.160317395239754,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
50,0.619143687430336,0.3967643641166995,AL,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
51,0.357917990213946,0.2761205966698675,AL,2023-02-06,1,1,1,1,1,1,1,0,1,0,1,1
52,0.686780628948988,0.4335080156801695,AL,2023-02-07,1,0,1,1,1,1,1,0,1,0,1,1
53,1.04301237719951,0.116466764735242,AL,2023-02-08,1,1,1,0,1,1,1,0,1,0,1,1
54,1.01709430464404,0.71216434220975,AL,2023-02-09,1,1,1,1,0,1,1,1,1,0,0,1
55,0.131113945427634,0.098250225931042,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1
56,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0929720824063272,0.075644031214227,AL,2023-02-13,1,1,1,1,1,1,0,1,1,0,1,1
